遗传代数,参数,VAF
0,"{'max_depth': 8, 'learning_rate': 0.051661680329463916, 'subsample': 0.4335243023367913, 'colsample_bytree': 0.8603040964856833}",95.4314048769583
1,"{'max_depth': 8, 'learning_rate': 0.051661680329463916, 'subsample': 0.4335243023367913, 'colsample_bytree': 0.8603040964856833}",95.4314048769583
2,"{'max_depth': 8, 'learning_rate': 0.25425789177375685, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.8859678631864887}",95.72560603725316
3,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.8859678631864887}",96.02671229944151
4,"{'max_depth': 8, 'learning_rate': 0.08628103757426049, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.8603040964856833}",96.56492631974088
5,"{'max_depth': 8, 'learning_rate': 0.08628103757426049, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.8603040964856833}",96.56492631974088
6,"{'max_depth': 8, 'learning_rate': 0.051661680329463916, 'subsample': 0.6491606976012884, 'colsample_bytree': 0.9082191086516651}",96.36209824466235
7,"{'max_depth': 9, 'learning_rate': 0.051661680329463916, 'subsample': 0.7005778100343977, 'colsample_bytree': 0.9606029206323976}",96.45309664348012
8,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7005778100343977, 'colsample_bytree': 0.9606029206323976}",96.51473984552254
9,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.4335243023367913, 'colsample_bytree': 0.7494171948207615}",96.68298701117402
10,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.9295846725279154}",96.68298701117402
11,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.9295846725279154}",96.68298701117402
12,"{'max_depth': 8, 'learning_rate': 0.055936065429007004, 'subsample': 0.4335243023367913, 'colsample_bytree': 0.9295846725279154}",96.91260307461555
13,"{'max_depth': 8, 'learning_rate': 0.055936065429007004, 'subsample': 0.4335243023367913, 'colsample_bytree': 0.9295846725279154}",96.91260307461555
14,"{'max_depth': 8, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.9295846725279154}",96.5743826866514
15,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.4335243023367913, 'colsample_bytree': 0.7494171948207615}",96.5743826866514
16,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.56376596138855
17,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.9295846725279154}",96.56376596138855
18,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.9295846725279154}",96.56376596138855
19,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.9295846725279154}",96.56376596138855
20,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.9295846725279154}",96.56376596138855
21,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.9295846725279154}",96.56376596138855
22,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.9295846725279154}",96.56376596138855
23,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.56376596138855
24,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.56376596138855
25,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.56376596138855
26,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.56376596138855
27,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.51678011966473
28,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.14996057593402
29,"{'max_depth': 8, 'learning_rate': 0.055936065429007004, 'subsample': 0.7183993865372755, 'colsample_bytree': 0.7494171948207615}",96.14996057593402
30,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7290903151421531}",96.14996057593402
31,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.14996057593402
32,"{'max_depth': 9, 'learning_rate': 0.26061365931445124, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.34957872586838
33,"{'max_depth': 8, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.6311634960869238}",96.22103295312293
34,"{'max_depth': 9, 'learning_rate': 0.2993643139792166, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.34957872586838
35,"{'max_depth': 9, 'learning_rate': 0.24455831427773317, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.34957872586838
36,"{'max_depth': 9, 'learning_rate': 0.10746345992997788, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.794278983239
37,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.8232173022654659, 'colsample_bytree': 0.7494171948207615}",96.71598179569666
38,"{'max_depth': 8, 'learning_rate': 0.27514103651317745, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.26121323525554
39,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.87241487000632
40,"{'max_depth': 9, 'learning_rate': 0.1861497211666527, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.3568517291591
41,"{'max_depth': 8, 'learning_rate': 0.15487296900234623, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.90550925043273
42,"{'max_depth': 8, 'learning_rate': 0.23073012656876782, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.90550925043273
43,"{'max_depth': 8, 'learning_rate': 0.25223781552977986, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.90550925043273
44,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",97.11643345896005
45,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.60034609274133
46,"{'max_depth': 8, 'learning_rate': 0.1763590163854438, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.34742372801504
47,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.14996057593402
48,"{'max_depth': 8, 'learning_rate': 0.2922586053426417, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.14996057593402
49,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.14996057593402
50,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.14996057593402
51,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.14996057593402
52,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.14996057593402
53,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.14996057593402
54,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
55,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
56,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
57,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
58,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
59,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
60,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
61,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7072489582097327, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
