遗传代数,参数,R平方
0,"{'max_depth': 9, 'learning_rate': 0.0885116249582915, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.969960969936802
1,"{'max_depth': 9, 'learning_rate': 0.22628529351321464, 'subsample': 0.11214880868481208, 'colsample_bytree': 0.7668478887925074}",0.9710675477258719
2,"{'max_depth': 9, 'learning_rate': 0.0885116249582915, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.969960969936802
3,"{'max_depth': 9, 'learning_rate': 0.0885116249582915, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9704916913106921
4,"{'max_depth': 9, 'learning_rate': 0.0885116249582915, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9704916913106921
5,"{'max_depth': 10, 'learning_rate': 0.09828500170312304, 'subsample': 0.6286395847821661, 'colsample_bytree': 0.8537827660707765}",0.9714739243143198
6,"{'max_depth': 10, 'learning_rate': 0.04628875900377577, 'subsample': 0.6286395847821661, 'colsample_bytree': 0.8537827660707765}",0.9714739243143198
7,"{'max_depth': 10, 'learning_rate': 0.04628875900377577, 'subsample': 0.6286395847821661, 'colsample_bytree': 0.8537827660707765}",0.9714739243143198
8,"{'max_depth': 10, 'learning_rate': 0.2049073013323745, 'subsample': 0.8802988569153702, 'colsample_bytree': 0.8537827660707765}",0.9714739243143198
9,"{'max_depth': 10, 'learning_rate': 0.2049073013323745, 'subsample': 0.8802988569153702, 'colsample_bytree': 0.8537827660707765}",0.9714739243143198
10,"{'max_depth': 10, 'learning_rate': 0.12696589177777953, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9719889233755437
11,"{'max_depth': 8, 'learning_rate': 0.0885116249582915, 'subsample': 0.8802988569153702, 'colsample_bytree': 0.8537827660707765}",0.9704916913106921
12,"{'max_depth': 8, 'learning_rate': 0.0885116249582915, 'subsample': 0.8802988569153702, 'colsample_bytree': 0.8537827660707765}",0.9696992731026159
13,"{'max_depth': 8, 'learning_rate': 0.0885116249582915, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.9653179920095452}",0.9691112533075474
14,"{'max_depth': 8, 'learning_rate': 0.0885116249582915, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9704916913106921
15,"{'max_depth': 10, 'learning_rate': 0.2049073013323745, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
16,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
17,"{'max_depth': 10, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9706296178643671
18,"{'max_depth': 8, 'learning_rate': 0.0885116249582915, 'subsample': 0.8802988569153702, 'colsample_bytree': 0.9653179920095452}",0.9710467605386589
19,"{'max_depth': 8, 'learning_rate': 0.0885116249582915, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.8537827660707765}",0.9731925473191422
20,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.9380117213920826, 'colsample_bytree': 0.8537827660707765}",0.9727965003681441
21,"{'max_depth': 10, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9714248799755187
22,"{'max_depth': 8, 'learning_rate': 0.0885116249582915, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9714248799755187
23,"{'max_depth': 8, 'learning_rate': 0.0885116249582915, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.8537827660707765}",0.9728770877351569
24,"{'max_depth': 10, 'learning_rate': 0.0885116249582915, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.8537827660707765}",0.9731925473191422
25,"{'max_depth': 8, 'learning_rate': 0.08377987218411471, 'subsample': 0.9380117213920826, 'colsample_bytree': 0.8537827660707765}",0.9728770877351569
26,"{'max_depth': 8, 'learning_rate': 0.08377987218411471, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.8537827660707765}",0.9728770877351569
27,"{'max_depth': 10, 'learning_rate': 0.08377987218411471, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.8537827660707765}",0.9735288587649684
28,"{'max_depth': 8, 'learning_rate': 0.08377987218411471, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.8537827660707765}",0.9735288587649684
29,"{'max_depth': 8, 'learning_rate': 0.08377987218411471, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.8537827660707765}",0.9735288587649684
30,"{'max_depth': 10, 'learning_rate': 0.09828500170312304, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.8537827660707765}",0.9751804625564746
31,"{'max_depth': 10, 'learning_rate': 0.09828500170312304, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.7215093430267023}",0.9751804625564746
32,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9751804625564746
33,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.9450366306941275, 'colsample_bytree': 0.8537827660707765}",0.9735288587649684
34,"{'max_depth': 10, 'learning_rate': 0.08377987218411471, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.8537827660707765}",0.9735288587649684
35,"{'max_depth': 10, 'learning_rate': 0.08377987218411471, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9735288587649684
36,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9727965003681441
37,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.8537827660707765}",0.9727965003681441
38,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9716009107655825
39,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
40,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
41,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
42,"{'max_depth': 8, 'learning_rate': 0.22334534562431668, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.8537827660707765}",0.9712477491921687
43,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9712477491921687
44,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
45,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
46,"{'max_depth': 8, 'learning_rate': 0.22334534562431668, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9728116634685031
47,"{'max_depth': 8, 'learning_rate': 0.08377987218411471, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.793125018670364}",0.9728116634685031
48,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9728116634685031
49,"{'max_depth': 8, 'learning_rate': 0.08377987218411471, 'subsample': 0.9404388762872722, 'colsample_bytree': 0.793125018670364}",0.9728116634685031
50,"{'max_depth': 8, 'learning_rate': 0.22334534562431668, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9728116634685031
51,"{'max_depth': 7, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9728116634685031
52,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
53,"{'max_depth': 7, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
54,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
55,"{'max_depth': 8, 'learning_rate': 0.22334534562431668, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
56,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
57,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9717962614311767
58,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
59,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
60,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
61,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
62,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
63,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
64,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
65,"{'max_depth': 8, 'learning_rate': 0.253032846185772, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9722489301034648
66,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
67,"{'max_depth': 8, 'learning_rate': 0.253032846185772, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9729586551144067
