ytest,ypred
46.34,46.2389
38.44,38.474796
44.9,44.642365
41.61,42.88883
46.34,45.9104
46.75,46.756714
41.61,39.131397
44.9,44.862167
44.9,44.787888
44.9,44.751385
31.8,31.03996
44.86,45.46046
45.53,45.569202
44.17,44.317055
38.96,38.94424
38.44,38.316536
45.53,45.471
46.75,47.088898
31.8,32.80493
45.53,45.545486
44.86,45.27186
38.96,38.916008
38.44,38.12874
41.61,41.369217
31.8,31.840382
38.44,38.816757
31.8,32.577984
44.86,45.21354
44.86,44.93345
44.17,43.804043
46.75,46.366226
38.96,38.819477
45.61,45.825752
45.61,45.746983
44.86,45.168148
38.44,38.619095
41.61,41.795307
46.34,45.650352
31.8,34.432846
46.34,46.25651
45.61,45.574474
41.61,42.170216
31.8,30.98889
46.75,46.833973
44.17,44.074055
45.61,45.511692
44.17,44.50523
38.44,38.11385
44.17,44.066936
44.9,44.62335
31.8,31.59729
41.61,41.385822
31.8,33.509388
31.8,40.437042
44.86,43.017143
44.17,44.211754
46.34,45.4013
44.17,43.208633
38.44,38.039066
46.75,46.728745
