ytest,ypred
221.53,215.08113
193.0,192.70074
256.95,259.1828
196.86,195.36617
221.53,201.46642
227.69,228.67513
196.86,172.43317
256.95,256.6367
256.95,252.77284
256.95,255.18153
127.49,128.12695
164.25,169.2059
258.88,264.71222
365.95,366.66995
228.4,229.65443
193.0,195.70956
258.88,258.96448
227.69,227.20793
127.49,134.66148
258.88,265.89432
164.25,168.11504
228.4,231.51169
193.0,191.01549
196.86,183.02077
127.49,128.33163
193.0,192.07166
127.49,129.17302
164.25,164.34627
164.25,164.06383
365.95,374.11588
227.69,227.33415
228.4,229.70651
167.66,167.10559
167.66,167.60086
164.25,171.84558
193.0,192.09348
196.86,190.47917
221.53,202.93387
127.49,130.02316
221.53,221.41905
167.66,165.5877
196.86,195.15344
127.49,128.69893
227.69,228.57922
365.95,365.5287
167.66,167.97768
365.95,360.4583
193.0,191.82837
365.95,364.68668
256.95,255.31892
127.49,128.66722
196.86,196.88303
127.49,144.90392
127.49,162.37848
164.25,170.26675
365.95,363.0715
221.53,201.78337
365.95,365.26166
193.0,191.65654
227.69,228.54323
