ytest,ypred
65.0,63.93388
62.0,62.00179
67.0,68.23507
45.7,44.34726
65.0,62.671276
70.0,70.1858
45.7,40.221638
67.0,67.08133
67.0,67.303955
67.0,67.19469
32.4,31.225388
58.0,57.946217
71.0,71.29054
72.0,71.96591
68.0,67.97346
62.0,61.866043
71.0,71.47118
70.0,69.92276
32.4,31.208666
71.0,74.07759
58.0,59.278885
68.0,68.00226
62.0,61.967266
45.7,44.883614
32.4,32.243683
62.0,61.48182
32.4,33.28935
58.0,57.82836
58.0,57.043304
72.0,71.84292
70.0,69.29389
68.0,67.79342
44.0,48.58258
44.0,42.91474
58.0,57.97095
62.0,61.828957
45.7,46.257065
65.0,63.46239
32.4,34.78956
65.0,64.9664
44.0,43.987595
45.7,45.930676
32.4,30.772213
70.0,70.419975
72.0,71.110306
44.0,44.453846
72.0,71.37123
62.0,62.102444
72.0,72.203636
67.0,68.07726
32.4,32.26577
45.7,46.246235
32.4,35.43324
32.4,39.118046
58.0,59.93651
72.0,71.17774
65.0,64.40285
72.0,71.84714
62.0,62.004086
70.0,69.95969
