ytest,ypred
117.2,116.24221
115.7,115.67611
118.1,118.87566
110.9,110.77625
117.2,115.20553
122.8,122.66637
110.9,111.41199
118.1,118.07931
118.1,118.69611
118.1,118.774635
113.4,113.562256
111.5,111.65054
124.7,124.70037
119.5,119.48911
120.2,120.217606
115.7,115.85108
124.7,124.5709
122.8,122.75094
113.4,113.2193
124.7,124.83633
111.5,112.38704
120.2,120.2142
115.7,115.70945
110.9,111.075615
113.4,113.56797
115.7,115.75246
113.4,113.263885
111.5,110.175255
111.5,111.60435
119.5,119.01329
122.8,122.09705
120.2,120.26417
109.6,110.48136
109.6,109.801636
111.5,111.354095
115.7,115.63509
110.9,110.702965
117.2,116.03702
113.4,112.365074
117.2,116.78452
109.6,109.557434
110.9,110.883865
113.4,113.295715
122.8,122.39809
119.5,119.44422
109.6,109.65274
119.5,119.306435
115.7,116.153854
119.5,119.48872
118.1,118.39783
113.4,113.53338
110.9,110.85504
113.4,112.72587
113.4,111.8187
111.5,111.56864
119.5,119.46497
117.2,116.087
119.5,118.862625
115.7,115.621216
122.8,122.70896
