ytest,ypred
2.09,2.321897
2.08,2.0793824
2.06,2.0382519
11.68,11.497033
2.09,2.2306027
1.16,1.154358
11.68,13.871081
2.06,2.090227
2.06,2.0398166
2.06,2.0470018
18.47,18.567099
2.97,2.9921415
1.14,1.1358945
1.87,1.8643242
1.25,1.2513814
2.08,2.0793824
1.14,1.1341467
1.16,1.1611559
18.47,18.269642
1.14,1.1399988
2.97,2.8595326
1.25,1.2491055
2.08,2.078866
11.68,12.202352
18.47,18.366781
2.08,2.0737066
18.47,19.168772
2.97,3.015515
2.97,2.8959455
1.87,1.8873099
1.16,1.2184074
1.25,1.276913
14.49,14.534921
14.49,14.457846
2.97,2.8951979
2.08,2.0793824
11.68,11.764427
2.09,2.4353871
18.47,18.055805
2.09,2.3829076
14.49,14.492944
11.68,11.678563
18.47,18.191423
1.16,1.2489853
1.87,1.8902112
14.49,14.531065
1.87,1.9104952
2.08,2.0798545
1.87,1.8656408
2.06,2.0435224
18.47,18.437645
11.68,11.264978
18.47,16.857628
18.47,14.263963
2.97,2.772908
1.87,1.8778692
2.09,2.307073
1.87,1.8859342
2.08,2.0802155
1.16,1.1575638
