ytest,ypred
3.28,3.4089642
2.86,2.8776293
3.45,3.5909023
2.64,2.6572773
3.28,3.5828495
2.53,2.5233626
2.64,2.640797
3.45,3.4828215
3.45,3.3887622
3.45,3.5848305
2.74,2.7434149
3.87,3.8749523
3.06,3.0605826
4.32,4.3462844
3.81,3.8103476
2.86,2.8452418
3.06,3.0782645
2.53,2.5331302
2.74,2.6972098
3.06,3.0573986
3.87,3.8223364
3.81,3.8071444
2.86,2.8330395
2.64,2.6547856
2.74,2.7236922
2.86,2.9030416
2.74,2.6645792
3.87,3.9246109
3.87,3.8500648
4.32,4.286695
2.53,2.658696
3.81,3.7707934
3.67,3.7087235
3.67,3.5922582
3.87,3.895923
2.86,2.9248393
2.64,2.630978
3.28,3.3602362
2.74,2.6989703
3.28,3.354043
3.67,3.6707535
2.64,2.617866
2.74,2.7363296
2.53,2.5280857
4.32,4.325289
3.67,3.6448815
4.32,4.298686
2.86,2.8855462
4.32,4.315939
3.45,3.5481892
2.74,2.717624
2.64,2.652161
2.74,2.6927507
2.74,2.6992192
3.87,3.812015
4.32,4.312942
3.28,3.2743464
4.32,4.379473
2.86,2.8461342
2.53,2.5315561
