ytest,ypred
58.62,58.48223
53.58,53.662693
72.11,70.391396
32.55,32.882435
58.62,52.201466
55.01,55.29683
32.55,31.675224
72.11,72.50335
72.11,71.853
72.11,71.99636
29.81,29.714525
47.03,48.592564
77.85,77.66215
53.87,53.930298
85.21,85.28605
53.58,54.008034
77.85,78.46898
55.01,55.491974
29.81,29.764492
77.85,77.71956
47.03,47.536293
85.21,84.99827
53.58,53.635796
32.55,31.718822
29.81,29.951773
53.58,53.640236
29.81,30.115496
47.03,45.41852
47.03,47.010155
53.87,54.176735
55.01,55.161602
85.21,84.7648
31.54,33.5097
31.54,30.97391
47.03,46.90129
53.58,53.198975
32.55,32.467144
58.62,55.046295
29.81,29.947308
58.62,56.72837
31.54,31.65624
32.55,32.674095
29.81,29.439556
55.01,54.5301
53.87,53.294968
31.54,32.247875
53.87,58.46816
53.58,53.912617
53.87,54.012535
72.11,70.14729
29.81,29.703676
32.55,32.222015
29.81,30.462349
29.81,30.72793
47.03,48.36877
53.87,54.171944
58.62,52.788883
53.87,53.45367
53.58,53.24514
55.01,54.79263
