ytest,ypred
10.68,10.376149
6.65,7.046889
12.67,10.300108
4.72,4.6490335
10.68,8.404555
7.45,7.5110765
4.72,4.2463837
12.67,12.821299
12.67,11.44526
12.67,13.073024
3.11,3.0229497
4.96,5.076898
7.74,7.7330184
5.76,5.744997
6.84,6.8053794
6.65,6.995125
7.74,7.547158
7.45,7.3610787
3.11,3.1757967
7.74,7.726054
4.96,4.9564238
6.84,6.8019714
6.65,6.614445
4.72,4.605999
3.11,3.1423945
6.65,6.880824
3.11,3.108021
4.96,4.789326
4.96,4.8763227
5.76,5.8173156
7.45,7.3090267
6.84,6.814978
4.56,5.06931
4.56,4.4617715
4.96,4.9493117
6.65,6.636317
4.72,4.7746663
10.68,8.964236
3.11,3.3866773
10.68,9.637174
4.56,4.597165
4.72,4.715417
3.11,3.1476252
7.45,7.401873
5.76,6.7241797
4.56,4.63196
5.76,6.4598856
6.65,6.6772685
5.76,5.666427
12.67,11.592249
3.11,3.103356
4.72,4.6628184
3.11,3.4899015
3.11,4.2738953
4.96,4.863674
5.76,5.8703756
10.68,10.739233
5.76,5.5969186
6.65,6.698264
7.45,7.5105124
