ytest,ypred
57.99,57.95934
60.21,60.075188
63.23,63.21995
55.67,55.89588
57.99,57.85119
66.72,66.67354
55.67,54.96837
63.23,63.274742
63.23,63.170322
63.23,63.17639
53.31,52.89935
57.14,57.284313
65.07,65.02293
63.54,63.543373
56.53,56.661743
60.21,60.60079
65.07,65.067215
66.72,66.54711
53.31,53.16614
65.07,65.45088
57.14,57.190323
56.53,56.618225
60.21,60.32737
55.67,55.481113
53.31,53.33394
60.21,60.44708
53.31,53.4595
57.14,57.09739
57.14,57.556667
63.54,63.588604
66.72,66.595726
56.53,56.35709
57.11,57.257122
57.11,56.959427
57.14,57.05984
60.21,60.22957
55.67,55.86509
57.99,57.758682
53.31,53.559555
57.99,57.716526
57.11,57.179615
55.67,55.67533
53.31,52.634937
66.72,66.66635
63.54,63.445175
57.11,57.427273
63.54,63.51199
60.21,59.11079
63.54,63.55211
63.23,63.348965
53.31,53.302883
55.67,55.70238
53.31,53.669464
53.31,54.797295
57.14,57.03117
63.54,63.526535
57.99,57.80459
63.54,63.554283
60.21,60.26094
66.72,66.72735
