ytest,ypred
0.33,0.31941214
0.26,0.26040784
0.27,0.2649152
0.27,0.27189633
0.33,0.29264203
0.19,0.19002928
0.27,0.2629518
0.27,0.2706518
0.27,0.26395765
0.27,0.26149198
0.24,0.24177194
0.24,0.2481758
0.21,0.21003358
0.23,0.22712131
0.26,0.25980967
0.26,0.27362707
0.21,0.20906365
0.19,0.19118388
0.24,0.24741386
0.21,0.20773067
0.24,0.24443294
0.26,0.26001403
0.26,0.2571018
0.27,0.2591025
0.24,0.24035114
0.26,0.26016584
0.24,0.24158904
0.24,0.24182306
0.24,0.23422517
0.23,0.24030755
0.19,0.19129407
0.26,0.26465532
0.28,0.28457436
0.28,0.27867848
0.24,0.24157901
0.26,0.25712675
0.27,0.26180348
0.33,0.30031425
0.24,0.24009857
0.33,0.3133817
0.28,0.27894998
0.27,0.26816428
0.24,0.25048968
0.19,0.18968955
0.23,0.23116292
0.28,0.28021026
0.23,0.2312475
0.26,0.25840256
0.23,0.23092876
0.27,0.26972482
0.24,0.2423377
0.27,0.2709297
0.24,0.25233763
0.24,0.255731
0.24,0.25311288
0.23,0.2346313
0.33,0.3122099
0.23,0.23867236
0.26,0.25999495
0.19,0.18974677
