ytest,ypred
5.24,5.2352276
5.49,5.49459
6.76,5.6171274
3.43,3.4047265
5.24,5.2388024
5.1,5.1037493
3.43,3.3331122
6.76,6.7951674
6.76,6.7988076
6.76,6.7494082
2.97,2.8965957
5.31,5.287031
6.58,6.5586734
4.72,4.7045436
6.41,6.4016438
5.49,5.4314265
6.58,6.4436707
5.1,5.1332912
2.97,3.0428345
6.58,6.634314
5.31,5.332414
6.41,6.4150805
5.49,5.498754
3.43,3.2406874
2.97,2.9917421
5.49,5.411321
2.97,3.0016773
5.31,5.3756866
5.31,5.431621
4.72,4.951819
5.1,5.072633
6.41,6.563811
5.95,5.4777718
5.95,5.9685807
5.31,5.3989215
5.49,5.4557357
3.43,3.4684393
5.24,5.2248306
2.97,3.102732
5.24,5.274735
5.95,5.914794
3.43,3.435365
2.97,2.9190824
5.1,5.1495113
4.72,4.78339
5.95,5.9210043
4.72,5.2698064
5.49,5.494354
4.72,4.677296
6.76,5.7147164
2.97,2.9781196
3.43,3.4155045
2.97,3.0659611
2.97,3.2364016
5.31,5.2964897
4.72,4.682713
5.24,5.2572875
4.72,4.7526526
5.49,5.5885463
5.1,5.1105
