ytest,ypred
221.53,212.82951
193.0,192.03781
256.95,260.47675
196.86,196.07227
221.53,194.62486
227.69,228.08142
196.86,172.65034
256.95,256.0819
256.95,245.76317
256.95,252.73596
127.49,127.626434
164.25,166.682
258.88,259.07568
365.95,369.85007
228.4,228.76604
193.0,199.40306
258.88,259.4575
227.69,227.6028
127.49,133.34558
258.88,259.18317
164.25,173.3326
228.4,229.0389
193.0,191.49962
196.86,176.37704
127.49,126.110016
193.0,190.49135
127.49,129.8682
164.25,163.52765
164.25,165.4322
365.95,356.45575
227.69,227.76103
228.4,228.97102
167.66,173.13876
167.66,168.55219
164.25,172.30876
193.0,191.52948
196.86,186.18121
221.53,200.57118
127.49,132.24107
221.53,223.36908
167.66,165.42468
196.86,197.93483
127.49,127.85252
227.69,230.19977
365.95,375.43567
167.66,167.69481
365.95,355.1182
193.0,191.77365
365.95,365.57336
256.95,259.85114
127.49,125.981415
196.86,196.15341
127.49,149.02815
127.49,156.0345
164.25,173.04395
365.95,365.75528
221.53,200.08894
365.95,356.9458
193.0,192.98561
227.69,227.69714
127.49,133.64244
227.69,226.41664
167.66,167.7468
227.69,228.0055
221.53,224.87097
227.69,227.62895
258.88,259.10016
256.95,259.08054
167.66,167.33092
196.86,198.13527
221.53,222.78204
365.95,366.4779
196.86,179.97293
365.95,365.55997
127.49,126.844505
167.66,167.19005
127.49,133.8912
227.69,226.41339
193.0,191.68367
221.53,204.26254
164.25,175.76767
196.86,189.24063
164.25,164.7721
256.95,257.08005
258.88,258.7327
164.25,166.70691
256.95,259.0899
258.88,259.03268
127.49,130.65791
193.0,190.26216
193.0,196.89383
167.66,169.18858
196.86,200.14113
256.95,289.0426
227.69,228.06448
164.25,158.27733
167.66,175.28671
365.95,359.64465
193.0,192.54124
365.95,359.64465
365.95,367.37512
196.86,195.55757
167.66,168.44733
127.49,145.1033
221.53,221.20737
221.53,222.55072
196.86,186.31075
164.25,163.32921
196.86,187.38971
193.0,191.83235
256.95,260.59903
167.66,165.84227
221.53,226.31569
167.66,166.83472
256.95,255.58638
221.53,216.08994
127.49,125.968414
221.53,222.44531
256.95,268.05328
193.0,188.84366
127.49,126.67161
127.49,127.23004
258.88,258.94507
227.69,227.89235
164.25,165.66551
258.88,259.05063
365.95,366.0894
228.4,227.81003
258.88,250.46667
193.0,192.62013
196.86,199.22136
193.0,195.80057
221.53,208.25504
127.49,128.01872
227.69,227.39568
228.4,225.18256
164.25,163.06915
256.95,257.1119
164.25,163.93652
227.69,229.80809
227.69,228.01591
258.88,263.1933
221.53,227.21747
164.25,158.63135
256.95,251.84984
258.88,258.63593
256.95,238.07808
221.53,218.1123
258.88,258.38153
256.95,242.07973
196.86,196.83093
365.95,372.81992
127.49,132.71176
164.25,164.30975
258.88,260.49255
256.95,285.4226
167.66,168.09084
164.25,165.94136
228.4,228.43481
256.95,297.24335
196.86,150.11447
256.95,255.54376
164.25,161.46675
227.69,227.47408
221.53,221.55815
227.69,227.6545
258.88,263.48047
127.49,126.993004
256.95,262.40356
193.0,191.07848
196.86,146.02283
164.25,161.77312
365.95,362.1468
221.53,222.38506
227.69,226.82869
127.49,133.54865
258.88,259.06845
164.25,163.47154
221.53,226.66553
193.0,191.60765
221.53,218.47493
196.86,153.17693
258.88,259.1038
256.95,258.81476
221.53,225.39023
365.95,367.30347
193.0,193.132
167.66,167.48654
256.95,263.48727
164.25,165.4881
196.86,196.50581
365.95,368.71445
167.66,167.2649
228.4,228.4743
193.0,198.99998
365.95,365.2036
228.4,227.81403
127.49,127.68176
365.95,365.63083
127.49,137.42206
127.49,129.01411
227.69,228.67877
256.95,254.65208
193.0,197.19182
127.49,122.90869
164.25,163.13254
193.0,196.8143
196.86,195.08147
227.69,228.02263
258.88,260.69662
167.66,166.33769
193.0,192.20189
228.4,227.79564
164.25,161.18602
127.49,123.014404
256.95,254.13512
365.95,365.98898
193.0,199.46336
196.86,197.9583
164.25,166.81479
127.49,126.298035
127.49,121.8086
258.88,258.97113
193.0,191.64813
196.86,174.8444
221.53,217.29468
227.69,228.33235
164.25,166.3998
167.66,165.8846
258.88,258.93985
365.95,361.4531
193.0,203.03773
164.25,163.1763
258.88,261.11554
221.53,212.58168
228.4,229.75488
221.53,205.76149
164.25,164.83577
258.88,259.74133
196.86,197.78665
258.88,257.63245
256.95,255.61575
127.49,126.61051
221.53,222.51564
127.49,127.81027
193.0,197.13116
164.25,162.91125
365.95,367.32474
256.95,256.20206
365.95,367.10007
221.53,223.26031
167.66,167.07542
167.66,167.28462
164.25,159.57784
228.4,227.18015
228.4,228.78473
164.25,170.66267
196.86,197.06348
258.88,258.8103
256.95,285.61124
127.49,135.35762
256.95,257.72116
