ytest,ypred
65.0,63.66623
62.0,61.86731
67.0,67.833954
45.7,44.320503
65.0,63.44284
70.0,70.0644
45.7,40.087246
67.0,67.154724
67.0,67.268654
67.0,66.91914
32.4,31.974781
58.0,57.324024
71.0,71.083755
72.0,71.8555
68.0,68.012
62.0,62.202232
71.0,70.97377
70.0,69.98196
32.4,31.26973
71.0,71.00983
58.0,59.107788
68.0,68.04872
62.0,61.951805
45.7,44.917534
32.4,32.89976
62.0,61.826653
32.4,33.858242
58.0,57.722637
58.0,57.782402
72.0,71.895485
70.0,69.24004
68.0,67.32737
44.0,48.094624
44.0,43.51329
58.0,58.29856
62.0,62.035458
45.7,45.929
65.0,61.986786
32.4,35.40656
65.0,64.96745
44.0,44.06408
45.7,45.631577
32.4,31.209234
70.0,69.66683
72.0,71.86924
44.0,44.311382
72.0,71.51891
62.0,61.87115
72.0,71.9299
67.0,67.8712
32.4,32.491646
45.7,46.616634
32.4,35.893753
32.4,39.11991
58.0,59.619823
72.0,71.31759
65.0,62.6564
72.0,71.89956
62.0,61.842022
70.0,70.06416
32.4,33.41666
70.0,69.146645
44.0,43.817646
70.0,69.95798
65.0,64.934685
70.0,69.94829
71.0,71.023834
67.0,67.01338
44.0,45.24592
45.7,45.519608
65.0,65.67377
72.0,72.12421
45.7,45.493713
72.0,71.969315
32.4,32.11163
44.0,44.792553
32.4,39.310856
70.0,70.025475
62.0,61.94572
65.0,64.08598
58.0,60.80181
45.7,45.846474
58.0,57.511395
67.0,67.062515
71.0,70.94853
58.0,58.02062
67.0,66.99821
71.0,71.05013
32.4,32.29176
62.0,61.94119
62.0,62.06099
44.0,44.73928
45.7,45.59563
67.0,70.03511
70.0,69.95088
58.0,58.102917
44.0,42.993675
72.0,72.08892
62.0,61.9135
72.0,72.08892
72.0,71.9638
45.7,45.87961
44.0,42.308804
32.4,34.20837
65.0,60.22979
65.0,65.048874
45.7,46.78946
58.0,58.10669
45.7,45.074142
62.0,62.032135
67.0,67.22098
44.0,41.407
65.0,64.68253
44.0,43.706306
67.0,67.78571
65.0,64.72741
32.4,32.426205
65.0,65.05236
67.0,66.97041
62.0,62.008038
32.4,34.096283
32.4,32.090282
71.0,71.02165
70.0,70.05383
58.0,57.9499
71.0,70.95355
72.0,72.05232
68.0,68.12999
71.0,70.85454
62.0,61.952507
45.7,46.703068
62.0,61.854946
65.0,64.61843
32.4,33.328716
70.0,69.907555
68.0,68.06558
58.0,56.712948
67.0,66.9357
58.0,57.471806
70.0,69.49523
70.0,70.29847
71.0,70.94176
65.0,64.448494
58.0,57.06338
67.0,66.72605
71.0,70.90122
67.0,67.23705
65.0,64.7495
71.0,70.89347
67.0,66.647446
45.7,45.211956
72.0,71.8996
32.4,34.065334
58.0,57.05441
71.0,71.02932
67.0,67.76551
44.0,43.465816
58.0,58.138245
68.0,67.94719
67.0,67.665054
45.7,35.984287
67.0,67.25342
58.0,58.185207
70.0,69.932335
65.0,64.72859
70.0,69.740944
71.0,70.3069
32.4,32.50969
67.0,67.22651
62.0,61.873962
45.7,39.578773
58.0,55.26827
72.0,71.79418
65.0,64.594124
70.0,70.05973
32.4,33.48509
71.0,71.10678
58.0,58.315308
65.0,65.37817
62.0,62.040974
65.0,64.95128
45.7,38.269165
71.0,71.06353
67.0,67.26794
65.0,64.7516
72.0,72.02479
62.0,62.02803
44.0,44.114403
67.0,66.908516
58.0,58.170204
45.7,46.265205
72.0,71.672806
44.0,44.308384
68.0,67.941284
62.0,62.61303
72.0,71.97269
68.0,68.03007
32.4,32.597397
72.0,71.96499
32.4,34.456573
32.4,35.041496
70.0,69.587456
67.0,67.68874
62.0,62.217636
32.4,33.507088
58.0,58.412918
62.0,61.921745
45.7,55.44352
70.0,69.962944
71.0,70.4231
44.0,43.729362
62.0,61.781635
68.0,68.01422
58.0,57.750553
32.4,32.43482
67.0,68.21274
72.0,71.99735
62.0,62.004166
45.7,46.342133
58.0,58.519325
32.4,32.33258
32.4,32.01887
71.0,70.27359
62.0,61.943222
45.7,42.300194
65.0,64.710945
70.0,70.034294
58.0,57.762665
44.0,49.009773
71.0,71.02755
72.0,71.24408
62.0,63.51564
58.0,60.004707
71.0,70.97922
65.0,60.00491
68.0,67.99167
65.0,59.79995
58.0,58.40971
71.0,71.06353
45.7,45.677223
71.0,70.67503
67.0,66.98485
32.4,32.21814
65.0,65.06643
32.4,32.492306
62.0,62.15926
58.0,57.718838
72.0,71.773094
67.0,67.07087
72.0,71.81673
65.0,64.10071
44.0,52.04199
44.0,44.54144
58.0,58.080555
68.0,67.92226
68.0,67.77225
58.0,58.729485
45.7,45.701584
71.0,71.15413
67.0,68.330734
32.4,32.37969
67.0,66.80716
