ytest,ypred
117.2,116.04837
115.7,115.64033
118.1,118.35991
110.9,110.73962
117.2,115.84668
122.8,122.85267
110.9,111.64218
118.1,118.14457
118.1,118.24651
118.1,118.214066
113.4,113.70855
111.5,111.18011
124.7,124.69091
119.5,119.524994
120.2,120.112915
115.7,115.63216
124.7,124.78146
122.8,122.92868
113.4,112.89483
124.7,124.89095
111.5,112.23691
120.2,120.14975
115.7,115.69512
110.9,111.34868
113.4,113.377686
115.7,115.89346
113.4,113.49862
111.5,110.416214
111.5,111.53058
119.5,119.33929
122.8,122.66995
120.2,118.73715
109.6,110.3138
109.6,110.327835
111.5,111.351974
115.7,115.67115
110.9,110.93898
117.2,116.12475
113.4,113.16014
117.2,117.40994
109.6,109.75031
110.9,111.046844
113.4,113.325516
122.8,122.52465
119.5,119.05301
109.6,109.69388
119.5,119.24382
115.7,115.82258
119.5,119.50071
118.1,118.33936
113.4,113.53144
110.9,110.714584
113.4,112.73314
113.4,111.84953
111.5,111.41516
119.5,119.416855
117.2,116.62995
119.5,119.34948
115.7,115.698006
122.8,122.87279
113.4,113.30293
122.8,122.7595
109.6,109.69156
122.8,122.774124
117.2,117.28198
122.8,122.6973
124.7,124.84829
118.1,118.229164
109.6,110.0155
110.9,110.69809
117.2,116.87497
119.5,119.57451
110.9,110.99435
119.5,119.54981
113.4,114.37281
109.6,109.99309
113.4,112.2884
122.8,122.78258
115.7,115.65577
117.2,116.405334
111.5,112.75461
110.9,110.767334
111.5,111.10267
118.1,117.83068
124.7,124.739685
111.5,111.46768
118.1,118.3983
124.7,124.6905
113.4,112.824745
115.7,115.76432
115.7,115.72521
109.6,109.962135
110.9,111.09163
118.1,119.3906
122.8,122.97269
111.5,111.23154
109.6,110.00912
119.5,119.19467
115.7,115.72651
119.5,119.19467
119.5,119.42122
110.9,110.89228
109.6,109.733696
113.4,112.57915
117.2,115.12675
117.2,117.52509
110.9,111.004364
111.5,111.85083
110.9,111.32709
115.7,115.79287
118.1,118.524734
109.6,109.47009
117.2,117.23955
109.6,109.74443
118.1,118.46339
117.2,116.96737
113.4,113.35126
117.2,117.63563
118.1,118.22269
115.7,115.643265
113.4,112.93971
113.4,113.36597
124.7,124.70759
122.8,122.2867
111.5,111.92165
124.7,124.76596
119.5,119.55717
120.2,120.11194
124.7,124.56178
115.7,115.60559
110.9,110.86494
115.7,115.693436
117.2,116.86708
113.4,113.46841
122.8,122.78328
120.2,120.14266
111.5,111.529884
118.1,118.70886
111.5,111.60862
122.8,122.85388
122.8,122.65048
124.7,124.700035
117.2,118.177185
111.5,111.68469
118.1,118.26262
124.7,122.06978
118.1,118.21816
117.2,117.59348
124.7,124.84694
118.1,117.95581
110.9,111.07915
119.5,119.288376
113.4,112.75701
111.5,111.312126
124.7,124.74039
118.1,118.30561
109.6,109.35509
111.5,112.02575
120.2,120.185265
118.1,118.441345
110.9,112.97131
118.1,118.36751
111.5,111.097755
122.8,122.80767
117.2,116.81495
122.8,122.67621
124.7,121.74381
113.4,113.2942
118.1,118.30504
115.7,115.77152
110.9,112.61502
111.5,111.652916
119.5,119.415375
117.2,116.94428
122.8,122.84469
113.4,113.45925
124.7,124.90271
111.5,111.49575
117.2,117.80361
115.7,115.75024
117.2,117.2875
110.9,113.14807
124.7,124.71403
118.1,118.21266
117.2,117.19388
119.5,119.46575
115.7,115.676765
109.6,109.61926
118.1,117.36621
111.5,111.872696
110.9,111.03031
119.5,119.47237
109.6,109.42851
120.2,120.04278
115.7,115.69835
119.5,119.45533
120.2,120.05754
113.4,113.460686
119.5,119.578674
113.4,113.28133
113.4,113.44268
122.8,122.704765
118.1,118.19392
115.7,115.71412
113.4,113.26727
111.5,111.70133
115.7,115.76784
110.9,111.01684
122.8,122.45917
124.7,123.62205
109.6,109.45491
115.7,115.59998
120.2,120.18977
111.5,110.71984
113.4,113.49143
118.1,118.51363
119.5,119.51713
115.7,115.96036
110.9,111.05352
111.5,111.87076
113.4,113.48769
113.4,113.58467
124.7,121.72246
115.7,115.71852
110.9,112.11134
117.2,117.49682
122.8,122.700714
111.5,111.85929
109.6,110.698944
124.7,124.75993
119.5,119.33055
115.7,115.968254
111.5,111.892494
124.7,124.733604
117.2,116.38462
120.2,120.05774
117.2,114.78843
111.5,111.1699
124.7,124.70099
110.9,111.14153
124.7,124.730835
118.1,118.26095
113.4,113.44771
117.2,116.516235
113.4,113.26202
115.7,116.30475
111.5,111.35866
119.5,119.58183
118.1,118.38908
119.5,119.38989
117.2,117.45943
109.6,111.37736
109.6,109.35279
111.5,110.617165
120.2,120.25422
120.2,120.11778
111.5,111.31783
110.9,110.863594
124.7,124.55605
118.1,118.22225
113.4,113.316475
118.1,117.9456
