ytest,ypred
2.09,2.3129387
2.08,2.079236
2.06,2.0379367
11.68,11.703508
2.09,2.1782126
1.16,1.1565746
11.68,13.972169
2.06,2.0537179
2.06,2.0359685
2.06,2.0463367
18.47,18.466084
2.97,2.9563768
1.14,1.1407797
1.87,1.8731889
1.25,1.2537313
2.08,2.0760746
1.14,1.1387337
1.16,1.1606487
18.47,18.325796
1.14,1.1284488
2.97,2.8239279
1.25,1.2531035
2.08,2.0805
11.68,11.927829
18.47,18.311916
2.08,2.0664647
18.47,18.82956
2.97,2.9960256
2.97,2.8630059
1.87,1.868072
1.16,1.1784643
1.25,1.4865028
14.49,14.400693
14.49,14.488062
2.97,2.9201267
2.08,2.0853758
11.68,11.873081
2.09,2.4163823
18.47,17.863117
2.09,2.384839
14.49,14.422378
11.68,11.74428
18.47,18.221035
1.16,1.2718334
1.87,1.8820788
14.49,14.498858
1.87,1.9075752
2.08,2.0746953
1.87,1.863356
2.06,2.05035
18.47,18.52095
11.68,11.207756
18.47,17.029829
18.47,14.161923
2.97,2.780653
1.87,1.8858392
2.09,2.3241408
1.87,1.8795412
2.08,2.075228
1.16,1.161098
18.47,18.91114
1.16,1.1383846
14.49,14.338721
1.16,1.1609411
2.09,2.079575
1.16,1.1606052
1.14,1.1310959
2.06,2.0759354
14.49,14.145839
11.68,11.411843
2.09,2.0691853
1.87,1.8787457
11.68,11.536971
1.87,1.8637543
18.47,19.57554
14.49,13.461605
18.47,16.674152
1.16,1.1608243
2.08,2.0747786
2.09,2.0636463
2.97,2.9409845
11.68,11.698692
2.97,3.1275702
2.06,2.1192193
1.14,1.1467192
2.97,2.9758961
2.06,2.039741
1.14,1.1366256
18.47,18.38446
2.08,2.0872297
2.08,2.0581927
14.49,14.374985
11.68,11.76536
2.06,1.9552596
1.16,1.1680982
2.97,3.1491456
14.49,14.337381
1.87,1.8604273
2.08,2.0747163
1.87,1.8604273
1.87,1.8754973
11.68,11.891236
14.49,14.482645
18.47,16.756805
2.09,2.147737
2.09,2.0495253
11.68,11.506236
2.97,3.0951214
11.68,12.145437
2.08,2.0780244
2.06,2.05216
14.49,14.502909
2.09,2.2314026
14.49,14.490416
2.06,2.031677
2.09,2.057901
18.47,18.474287
2.09,2.079892
2.06,2.0412855
2.08,2.4759104
18.47,17.864979
18.47,18.50895
1.14,1.1388469
1.16,1.1598507
2.97,3.1428878
1.14,1.1426679
1.87,1.8683867
1.25,1.253047
1.14,1.144597
2.08,2.078747
11.68,11.796108
2.08,2.0772772
2.09,2.1372476
18.47,18.534735
1.16,1.1601003
1.25,1.2551758
2.97,3.0262377
2.06,1.8604398
2.97,2.8974507
1.16,1.177577
1.16,1.1547819
1.14,1.1460989
2.09,2.3025208
2.97,4.7091813
2.06,2.0604534
1.14,1.1517625
2.06,2.0494957
2.09,2.0986493
1.14,1.1424528
2.06,2.0585306
11.68,11.9364395
1.87,1.8712091
18.47,18.284628
2.97,2.9946754
1.14,1.1426679
2.06,1.9879644
14.49,14.497373
2.97,3.0179884
1.25,1.2526133
2.06,2.0299103
11.68,16.613338
2.06,2.0206296
2.97,3.050314
1.16,1.1719139
2.09,1.9725266
1.16,1.1557649
1.14,1.1579115
18.47,18.501022
2.06,2.0363798
2.08,2.073156
11.68,15.132847
2.97,2.9756339
1.87,1.8761714
2.09,2.0912185
1.16,1.1856626
18.47,18.548637
1.14,1.1540791
2.97,2.8908923
2.09,2.1198585
2.08,2.0793056
2.09,2.368968
11.68,18.043112
1.14,1.1426679
2.06,2.0386574
2.09,2.0918543
1.87,1.8677689
2.08,2.0793114
14.49,14.528712
2.06,2.0669746
2.97,2.8301065
11.68,11.587482
1.87,1.8673959
14.49,14.530044
1.25,1.2551309
2.08,2.075776
1.87,1.9006071
1.25,1.2446934
18.47,18.416588
1.87,1.8626987
18.47,17.983446
18.47,17.47029
1.16,1.1811113
2.06,2.0746875
2.08,2.0792136
18.47,18.585844
2.97,3.1410663
2.08,2.0769088
11.68,4.703241
1.16,1.197233
1.14,1.1387337
14.49,14.552108
2.08,2.0806243
1.25,1.2468189
2.97,3.078995
18.47,18.511957
2.06,2.0152762
1.87,1.8724625
2.08,2.1418076
11.68,11.955849
2.97,2.8193069
18.47,18.479824
18.47,19.07725
1.14,1.1459428
2.08,2.080906
11.68,14.56983
2.09,2.1511455
1.16,1.1676912
2.97,2.950074
14.49,9.996147
1.14,1.1405314
1.87,1.8961335
2.08,2.0763497
2.97,2.885328
1.14,1.1385138
2.09,2.0619638
1.25,1.2463821
2.09,2.4398973
2.97,3.0008364
1.14,1.1426679
11.68,11.40051
1.14,1.1437995
2.06,2.060366
18.47,18.51474
2.09,2.0901353
18.47,18.470629
2.08,2.066445
2.97,1.7778606
1.87,1.8634924
2.06,2.0961401
1.87,1.8789
2.09,2.1173403
14.49,11.62809
14.49,14.528615
2.97,2.7933443
1.25,1.2462754
1.25,1.2467484
2.97,2.8680475
11.68,11.763631
1.14,1.1404164
2.06,2.0522418
18.47,17.334797
2.06,2.0688553
