ytest,ypred
3.28,3.3555236
2.86,2.8655548
3.45,3.6390567
2.64,2.6362813
3.28,3.5722365
2.53,2.5328543
2.64,2.6330838
3.45,3.395459
3.45,3.3426208
3.45,3.5005198
2.74,2.7476256
3.87,3.8618057
3.06,3.0970495
4.32,4.3821163
3.81,3.8196049
2.86,2.8446264
3.06,3.062064
2.53,2.5112538
2.74,2.7113976
3.06,3.0633435
3.87,3.7702184
3.81,3.8111303
2.86,2.8228486
2.64,2.6783304
2.74,2.7177474
2.86,2.8897016
2.74,2.709064
3.87,3.8721902
3.87,3.8471246
4.32,4.2965937
2.53,2.565223
3.81,3.7723255
3.67,3.69961
3.67,3.630221
3.87,3.8538368
2.86,2.8636935
2.64,2.6421902
3.28,3.449511
2.74,2.7111766
3.28,3.4263813
3.67,3.712828
2.64,2.6170082
2.74,2.743719
2.53,2.5316093
4.32,4.3203335
3.67,3.6673017
4.32,4.2844176
2.86,2.8520942
4.32,4.3271556
3.45,3.5741084
2.74,2.7163556
2.64,2.6499205
2.74,2.7029164
2.74,2.6848857
3.87,3.7238414
4.32,4.3136864
3.28,3.349825
4.32,4.484762
2.86,2.8761742
2.53,2.5222087
2.74,2.7686486
2.53,2.5140307
3.67,3.784907
2.53,2.5453522
3.28,3.3490007
2.53,2.5359905
3.06,3.0700707
3.45,3.469964
3.67,3.6325862
2.64,2.650965
3.28,3.1305091
4.32,4.3321757
2.64,2.6432824
4.32,4.3157253
2.74,2.774242
3.67,3.574061
2.74,2.6863275
2.53,2.5509102
2.86,2.8452544
3.28,3.2138495
3.87,3.7983246
2.64,2.6385963
3.87,3.909954
3.45,3.4075117
3.06,3.0196965
3.87,3.842368
3.45,3.5480392
3.06,3.056721
2.74,2.776058
2.86,2.8908205
2.86,2.942289
3.67,3.4106781
2.64,2.6563654
3.45,3.7950814
2.53,2.542069
3.87,3.771076
3.67,3.6462653
4.32,4.292178
2.86,2.8646295
4.32,4.292178
4.32,4.3787785
2.64,2.6356401
3.67,3.6509671
2.74,2.7198236
3.28,3.378241
3.28,3.115869
2.64,2.6528726
3.87,3.8664901
2.64,2.6644156
2.86,2.8544097
3.45,3.4178903
3.67,3.5696201
3.28,3.3995779
3.67,3.6004539
3.45,3.3885474
3.28,3.4717326
2.74,2.7413783
3.28,3.2841914
3.45,3.401277
2.86,2.926119
2.74,2.7405047
2.74,2.7328484
3.06,3.0601456
2.53,2.5171604
3.87,3.8148916
3.06,3.0619829
4.32,4.3148623
3.81,3.8118107
3.06,3.054282
2.86,2.8728406
2.64,2.6565864
2.86,2.849861
3.28,3.4653127
2.74,2.7263932
2.53,2.5272195
3.81,3.882442
3.87,3.8441544
3.45,3.452408
3.87,3.785345
2.53,2.619417
2.53,2.5310926
3.06,3.0608582
3.28,3.3182845
3.87,3.8772445
3.45,3.4834366
3.06,3.086928
3.45,3.2742743
3.28,3.4425845
3.06,3.0527403
3.45,3.5320597
2.64,2.660966
4.32,4.342461
2.74,2.7243714
3.87,3.8702924
3.06,3.0601165
3.45,3.7283463
3.67,3.7060947
3.87,3.792421
3.81,3.7924786
3.45,3.7926457
2.64,2.7041004
3.45,3.4624002
3.87,3.908953
2.53,2.5234618
3.28,3.0756748
2.53,2.524363
3.06,3.0986152
2.74,2.731394
3.45,3.5156286
2.86,2.8586009
2.64,2.684031
3.87,3.8504012
4.32,4.3111987
3.28,3.3174434
2.53,2.5108712
2.74,2.729258
3.06,3.056715
3.87,3.8606186
3.28,3.8390436
2.86,2.8578992
3.28,3.2392795
2.64,2.7098522
3.06,3.064719
3.45,3.4919026
3.28,3.2772973
4.32,4.3308935
2.86,2.8688612
3.67,3.687042
3.45,3.402221
3.87,3.822826
2.64,2.6381154
4.32,4.424137
3.67,3.710339
3.81,3.8101556
2.86,2.8334873
4.32,4.313585
3.81,3.7524211
2.74,2.744315
4.32,4.326419
2.74,2.7344246
2.74,2.7416253
2.53,2.5700355
3.45,3.4754696
2.86,2.9080646
2.74,2.7349646
3.87,3.8516376
2.86,2.8809707
2.64,2.846849
2.53,2.5336866
3.06,3.070939
3.67,3.6902025
2.86,2.8311455
3.81,3.8266947
3.87,3.842284
2.74,2.7474396
3.45,3.5141642
4.32,4.348966
2.86,2.8387356
2.64,2.6651173
3.87,3.7852826
2.74,2.724483
2.74,2.7780886
3.06,3.0801427
2.86,2.898317
2.64,2.6894164
3.28,3.3170652
2.53,2.5394483
3.87,3.859118
3.67,3.83045
3.06,3.0662975
4.32,4.2042623
2.86,2.8914552
3.87,3.7961504
3.06,3.0547383
3.28,3.4931393
3.81,3.8384693
3.28,3.373709
3.87,3.9128811
3.06,3.0609534
2.64,2.6253173
3.06,3.0303557
3.45,3.405863
2.74,2.7301414
3.28,3.3096364
2.74,2.7456467
2.86,2.996461
3.87,3.8868802
4.32,4.353088
3.45,3.4801235
4.32,4.3146105
3.28,3.4149108
3.67,3.78204
3.67,3.7030697
3.87,3.7955527
3.81,3.8229647
3.81,3.7722764
3.87,3.8317158
2.64,2.6449342
3.06,3.043616
3.45,3.6043906
2.74,2.7208097
3.45,3.4426737
