ytest,ypred
58.62,58.18409
53.58,53.550835
72.11,64.97404
32.55,33.07206
58.62,53.393337
55.01,55.097965
32.55,31.338997
72.11,71.80936
72.11,72.43895
72.11,72.13821
29.81,29.66487
47.03,47.481148
77.85,77.884674
53.87,53.78503
85.21,85.28566
53.58,54.090973
77.85,77.71791
55.01,56.15534
29.81,30.05713
77.85,77.8345
47.03,47.061
85.21,85.32717
53.58,53.309837
32.55,31.831467
29.81,29.740273
53.58,54.11664
29.81,30.517866
47.03,47.227364
47.03,47.621017
53.87,56.16916
55.01,54.896915
85.21,85.20506
31.54,34.914005
31.54,31.163084
47.03,47.18656
53.58,53.312954
32.55,32.79491
58.62,56.435116
29.81,30.137115
58.62,58.35084
31.54,31.34988
32.55,32.544456
29.81,29.352627
55.01,54.804337
53.87,54.96536
31.54,31.038996
53.87,57.29277
53.58,53.86852
53.87,54.45641
72.11,70.381195
29.81,29.710796
32.55,32.256004
29.81,30.375113
29.81,31.505375
47.03,48.0178
53.87,54.197697
58.62,56.886765
53.87,54.251137
53.58,53.99686
55.01,54.96983
29.81,29.58528
55.01,54.88753
31.54,31.50145
55.01,59.47863
58.62,59.035225
55.01,55.00866
77.85,78.20587
72.11,72.606865
31.54,30.604908
32.55,32.520706
58.62,57.213306
53.87,54.001236
32.55,32.77857
53.87,53.88458
29.81,29.418192
31.54,31.00605
29.81,31.29202
55.01,55.20126
53.58,53.831173
58.62,57.303604
47.03,48.899498
32.55,32.766716
47.03,46.527233
72.11,71.391
77.85,82.05459
47.03,47.131866
72.11,71.43832
77.85,77.743034
29.81,29.93165
53.58,53.208374
53.58,53.61124
31.54,31.932907
32.55,32.66143
72.11,56.001606
55.01,55.18419
47.03,46.701878
31.54,36.681927
53.87,52.507343
53.58,53.842953
53.87,52.507343
53.87,54.178543
32.55,32.4863
31.54,31.716297
29.81,30.572977
58.62,53.689312
58.62,58.849937
32.55,32.174446
47.03,47.28645
32.55,32.60711
53.58,53.47508
72.11,71.746056
31.54,30.946182
58.62,58.498623
31.54,31.457762
72.11,69.79979
58.62,58.06487
29.81,29.950697
58.62,59.4324
72.11,71.775185
53.58,53.26051
29.81,29.696259
29.81,30.340448
77.85,77.37816
55.01,54.894962
47.03,50.154476
77.85,77.91465
53.87,54.065456
85.21,85.15193
77.85,78.23788
53.58,53.54313
32.55,33.001877
53.58,53.738426
58.62,56.17904
29.81,29.737442
55.01,54.775417
85.21,85.29506
47.03,46.884655
72.11,72.4226
47.03,47.7405
55.01,54.967216
55.01,54.957344
77.85,77.7952
58.62,58.791553
47.03,38.937847
72.11,72.55446
77.85,77.50853
72.11,75.23609
58.62,58.18391
77.85,78.29955
72.11,73.09553
32.55,32.702316
53.87,54.29483
29.81,30.028038
47.03,46.68044
77.85,77.64724
72.11,67.62004
31.54,31.378553
47.03,48.867287
85.21,85.27498
72.11,71.908516
32.55,31.069748
72.11,72.0895
47.03,45.854523
55.01,56.432972
58.62,57.25109
55.01,55.05151
77.85,76.3241
29.81,30.08957
72.11,71.54825
53.58,53.159634
32.55,31.198578
47.03,46.918167
53.87,53.70718
58.62,58.935104
55.01,55.13563
29.81,29.96908
77.85,77.76231
47.03,47.845207
58.62,58.32489
53.58,53.553383
58.62,59.729145
32.55,30.297098
77.85,77.70408
72.11,72.3108
58.62,58.98478
53.87,53.996346
53.58,53.98947
31.54,32.012714
72.11,73.4717
47.03,48.265446
32.55,32.584846
53.87,53.273678
31.54,31.784416
85.21,85.30436
53.58,54.203148
53.87,53.966667
85.21,85.55736
29.81,29.769594
53.87,53.77503
29.81,30.092138
29.81,29.723188
55.01,54.602936
72.11,72.34069
53.58,53.83073
29.81,29.927616
47.03,46.66953
53.58,53.848137
32.55,38.388824
55.01,55.189083
77.85,77.813774
31.54,31.260817
53.58,53.654152
85.21,85.007866
47.03,44.23729
29.81,29.84736
72.11,71.114624
53.87,54.048965
53.58,54.78644
32.55,32.536697
47.03,48.88561
29.81,29.917078
29.81,30.03419
77.85,77.56147
53.58,53.410107
32.55,31.983044
58.62,58.877953
55.01,54.8576
47.03,47.046074
31.54,40.69288
77.85,77.832245
53.87,54.88406
53.58,53.598286
47.03,49.721825
77.85,77.807335
58.62,53.70037
85.21,85.0142
58.62,53.26911
47.03,45.786385
77.85,77.63859
32.55,32.58335
77.85,77.211075
72.11,72.62775
29.81,29.646093
58.62,58.45098
29.81,30.514393
53.58,53.842144
47.03,45.587925
53.87,52.04414
72.11,72.46637
53.87,54.559486
58.62,58.54604
31.54,40.721504
31.54,30.669077
47.03,48.104637
85.21,85.19895
85.21,85.30453
47.03,47.16795
32.55,32.71229
77.85,77.55677
72.11,68.426
29.81,30.186377
72.11,71.91094
