ytest,ypred
10.68,10.120532
6.65,6.939805
12.67,10.588166
4.72,4.655475
10.68,8.824052
7.45,7.539247
4.72,4.113476
12.67,12.990175
12.67,11.73538
12.67,11.808381
3.11,3.0200205
4.96,5.0473037
7.74,7.698654
5.76,5.7663217
6.84,6.8282065
6.65,7.0076494
7.74,7.9430943
7.45,7.8797317
3.11,3.1610162
7.74,7.7439876
4.96,5.3159447
6.84,6.837656
6.65,6.6562777
4.72,4.673135
3.11,3.0120242
6.65,6.943437
3.11,3.1910262
4.96,4.8251314
4.96,4.8865824
5.76,5.918428
7.45,7.2386336
6.84,7.027398
4.56,5.2720037
4.56,4.511221
4.96,4.931329
6.65,6.6503468
4.72,4.7353935
10.68,9.452837
3.11,3.4080727
10.68,9.624195
4.56,4.62495
4.72,4.665944
3.11,3.1525517
7.45,7.5057163
5.76,7.0368705
4.56,4.6122546
5.76,6.829606
6.65,6.86258
5.76,5.9530334
12.67,11.870519
3.11,3.1297712
4.72,4.77215
3.11,3.3687897
3.11,4.1050196
4.96,4.983513
5.76,6.2807274
10.68,10.64649
5.76,5.9003844
6.65,6.7234
7.45,7.4677587
3.11,3.1968942
7.45,7.47747
4.56,4.6072826
7.45,7.319971
10.68,10.7979965
7.45,7.6927686
7.74,7.767649
12.67,12.316239
4.56,4.3524528
4.72,4.87507
10.68,10.32478
5.76,6.0088916
4.72,4.804147
5.76,5.7566957
3.11,3.0484984
4.56,5.0044
3.11,4.0177536
7.45,8.202224
6.65,6.5360336
10.68,10.297647
4.96,5.4475174
4.72,4.713737
4.96,4.879494
12.67,12.808104
7.74,7.7786317
4.96,4.9551954
12.67,12.467157
7.74,7.7353997
3.11,3.1692913
6.65,6.4457893
6.65,6.75198
4.56,4.7587557
4.72,4.739412
12.67,8.3646965
7.45,7.61599
4.96,4.348445
4.56,4.5435433
5.76,5.8920565
6.65,6.5806265
5.76,5.8920565
5.76,6.164181
4.72,4.770462
4.56,4.529711
3.11,3.1877785
10.68,9.686446
10.68,10.01806
4.72,4.846627
4.96,4.9324913
4.72,4.7013493
6.65,6.624296
12.67,12.602582
4.56,4.573673
10.68,9.727388
4.56,4.758343
12.67,12.929928
10.68,10.035535
3.11,3.0813367
10.68,11.072963
12.67,12.093121
6.65,7.08968
3.11,3.2267964
3.11,3.171245
7.74,7.6805625
7.45,7.4432154
4.96,4.8456006
7.74,7.695275
5.76,5.841289
6.84,6.898508
7.74,7.9977436
6.65,6.4500017
4.72,4.812448
6.65,6.7244086
10.68,9.48807
3.11,3.0794983
7.45,7.513876
6.84,7.001046
4.96,4.823077
12.67,12.352044
4.96,5.0101023
7.45,7.308376
7.45,7.44086
7.74,7.69608
10.68,10.901012
4.96,4.8960676
12.67,11.382746
7.74,7.7266083
12.67,13.171054
10.68,10.668579
7.74,7.801223
12.67,12.400235
4.72,4.740649
5.76,6.2491655
3.11,3.2614264
4.96,5.173217
7.74,7.6150813
12.67,9.531932
4.56,4.8709483
4.96,4.913307
6.84,6.7131367
12.67,11.075467
4.72,3.5711365
12.67,12.703613
4.96,4.8491163
7.45,7.3334565
10.68,10.12805
7.45,7.1971674
7.74,7.797414
3.11,3.1566138
12.67,12.63095
6.65,6.38471
4.72,3.693322
4.96,4.965728
5.76,6.975982
10.68,10.709989
7.45,7.1103187
3.11,3.2382178
7.74,7.749045
4.96,4.9010634
10.68,9.36204
6.65,6.651602
10.68,11.220851
4.72,3.4680357
7.74,7.7129693
12.67,12.573973
10.68,10.96439
5.76,5.955792
6.65,6.7454195
4.56,4.4122715
12.67,13.003511
4.96,5.3208
4.72,4.758656
5.76,6.498754
4.56,4.551853
6.84,6.85427
6.65,6.9670835
5.76,5.8179283
6.84,6.841737
3.11,3.1978483
5.76,5.87766
3.11,3.3390386
3.11,3.1533976
7.45,7.439435
12.67,12.875454
6.65,6.79056
3.11,3.076532
4.96,4.887452
6.65,6.8976727
4.72,4.882078
7.45,7.413624
7.74,7.623218
4.56,4.639522
6.65,6.73353
6.84,6.8349414
4.96,4.789679
3.11,3.1246104
12.67,9.98503
5.76,5.6520076
6.65,6.82636
4.72,4.724432
4.96,5.8819203
3.11,3.0271842
3.11,2.9708345
7.74,7.5310063
6.65,6.651152
4.72,4.2527294
10.68,10.583403
7.45,7.499375
4.96,5.0737104
4.56,4.629945
7.74,7.63068
5.76,6.855051
6.65,8.018189
4.96,6.4187317
7.74,7.715155
10.68,10.386082
6.84,8.539096
10.68,6.93173
4.96,4.9228926
7.74,7.3935947
4.72,4.730822
7.74,7.5865192
12.67,12.965613
3.11,3.074774
10.68,10.998385
3.11,3.114462
6.65,6.776183
4.96,4.9994135
5.76,6.399539
12.67,12.909772
5.76,5.6559
10.68,10.539362
4.56,4.474104
4.56,4.5686426
4.96,5.29464
6.84,6.786078
6.84,6.8076944
4.96,4.976986
4.72,4.757486
7.74,7.8127036
12.67,10.191936
3.11,3.2747867
12.67,12.763421
