ytest,ypred
57.99,57.94429
60.21,60.396957
63.23,63.29949
55.67,55.972923
57.99,57.71705
66.72,66.72048
55.67,55.172607
63.23,63.21442
63.23,63.216465
63.23,63.22835
53.31,53.468327
57.14,57.21307
65.07,65.126045
63.54,63.559666
56.53,56.705414
60.21,60.21405
65.07,63.93482
66.72,66.673065
53.31,53.688168
65.07,65.13871
57.14,57.09186
56.53,56.595
60.21,60.049614
55.67,55.057858
53.31,53.36625
60.21,60.37648
53.31,53.003918
57.14,56.89471
57.14,57.362316
63.54,63.48122
66.72,66.56499
56.53,56.333035
57.11,57.167446
57.11,57.295612
57.14,57.22654
60.21,60.114807
55.67,55.840565
57.99,57.69308
53.31,53.7388
57.99,57.999268
57.11,57.094753
55.67,55.65673
53.31,52.901756
66.72,66.71688
63.54,63.55571
57.11,57.06369
63.54,63.516552
60.21,60.80469
63.54,63.506397
63.23,63.354645
53.31,53.177845
55.67,55.584007
53.31,54.067776
53.31,54.319767
57.14,57.19097
63.54,63.534176
57.99,57.644222
63.54,63.38888
60.21,60.193275
66.72,66.76772
53.31,53.083954
66.72,66.70122
57.11,57.049843
66.72,66.28932
57.99,58.004803
66.72,66.700356
65.07,65.12639
63.23,63.239525
57.11,57.082607
55.67,55.83848
57.99,59.015038
63.54,63.621437
55.67,55.799767
63.54,63.502472
53.31,51.918495
57.11,57.711716
53.31,54.88848
66.72,66.704506
60.21,60.041798
57.99,58.967644
57.14,57.530697
55.67,55.91795
57.14,57.059303
63.23,63.32392
65.07,64.82298
57.14,57.19123
63.23,63.249336
65.07,65.0842
53.31,53.356525
60.21,60.41624
60.21,59.696297
57.11,56.89579
55.67,55.797806
63.23,63.498295
66.72,66.67945
57.14,57.134647
57.11,57.529797
63.54,63.505955
60.21,60.125027
63.54,63.505955
63.54,63.56431
55.67,55.683052
57.11,57.0309
53.31,53.84737
57.99,57.485863
57.99,58.37221
55.67,55.526535
57.14,57.09795
55.67,55.736286
60.21,60.220047
63.23,63.24916
57.11,57.09522
57.99,57.809433
57.11,57.18668
63.23,63.236202
57.99,57.613384
53.31,53.153423
57.99,58.0716
63.23,63.269268
60.21,59.80406
53.31,53.56752
53.31,53.267673
65.07,65.057785
66.72,66.73085
57.14,57.194977
65.07,65.16713
63.54,63.522877
56.53,56.4449
65.07,65.480606
60.21,60.05861
55.67,55.778427
60.21,60.01212
57.99,57.616413
53.31,53.104053
66.72,66.72688
56.53,56.722145
57.14,56.773556
63.23,63.253937
57.14,56.979164
66.72,66.60644
66.72,66.73824
65.07,65.32823
57.99,57.5353
57.14,57.187687
63.23,63.201466
65.07,64.78844
63.23,63.28474
57.99,58.078846
65.07,65.703186
63.23,63.29766
55.67,55.79269
63.54,63.60305
53.31,53.707287
57.14,57.111
65.07,65.11428
63.23,63.36948
57.11,57.17769
57.14,57.23719
56.53,56.368618
63.23,63.281487
55.67,54.094494
63.23,63.206684
57.14,57.068825
66.72,65.19104
57.99,59.357346
66.72,66.69904
65.07,64.457436
53.31,53.361786
63.23,63.218784
60.21,60.336494
55.67,54.587955
57.14,57.173214
63.54,63.447983
57.99,57.97016
66.72,66.755875
53.31,53.357944
65.07,65.21096
57.14,57.111027
57.99,58.06224
60.21,59.935696
57.99,58.19441
55.67,54.02468
65.07,65.0393
63.23,63.158394
57.99,57.97487
63.54,63.564835
60.21,60.51536
57.11,57.168537
63.23,63.21635
57.14,57.218555
55.67,56.062687
63.54,63.49697
57.11,57.116314
56.53,56.49125
60.21,59.61381
63.54,63.5368
56.53,56.516922
53.31,53.222256
63.54,63.57002
53.31,53.542606
53.31,53.347702
66.72,66.6552
63.23,63.237892
60.21,60.340202
53.31,53.23469
57.14,57.083344
60.21,59.96746
55.67,56.539356
66.72,66.690544
65.07,63.84452
57.11,56.995644
60.21,60.310036
56.53,58.448494
57.14,57.237064
53.31,53.196423
63.23,63.309174
63.54,63.590496
60.21,58.279896
55.67,55.510174
57.14,57.392197
53.31,53.222095
53.31,53.197544
65.07,64.236465
60.21,60.135365
55.67,55.038746
57.99,57.877842
66.72,66.753426
57.14,57.18075
57.11,57.109375
65.07,65.16015
63.54,63.47341
60.21,60.292164
57.14,57.18074
65.07,64.97781
57.99,57.8766
56.53,59.04001
57.99,57.44208
57.14,57.187943
65.07,65.03743
55.67,55.633568
65.07,65.41295
63.23,63.242798
53.31,53.321945
57.99,57.821148
53.31,53.20175
60.21,58.576405
57.14,57.251022
63.54,63.54374
63.23,63.16376
63.54,63.525333
57.99,57.919823
57.11,57.112858
57.11,57.06361
57.14,57.152744
56.53,56.539646
56.53,56.27071
57.14,57.21706
55.67,55.854008
65.07,65.10321
63.23,63.251064
53.31,53.879448
63.23,63.25294
