ytest,ypred
0.33,0.32732552
0.26,0.25803784
0.27,0.25179777
0.27,0.2694219
0.33,0.31265518
0.19,0.19035688
0.27,0.26239863
0.27,0.27544335
0.27,0.2665291
0.27,0.26386458
0.24,0.23987949
0.24,0.24481171
0.21,0.21001169
0.23,0.22715466
0.26,0.26230302
0.26,0.26215723
0.21,0.2187892
0.19,0.19000569
0.24,0.24644911
0.21,0.20700046
0.24,0.24145396
0.26,0.2613123
0.26,0.25962773
0.27,0.25742236
0.24,0.24051376
0.26,0.25535107
0.24,0.24401039
0.24,0.24360141
0.24,0.24145804
0.23,0.23069368
0.19,0.19178869
0.26,0.25926742
0.28,0.27520558
0.28,0.26900223
0.24,0.24129649
0.26,0.26006067
0.27,0.26186937
0.33,0.2998492
0.24,0.23844866
0.33,0.31260356
0.28,0.27480236
0.27,0.26798657
0.24,0.2478907
0.19,0.19011611
0.23,0.22893852
0.28,0.2778875
0.23,0.23004226
0.26,0.2604754
0.23,0.2304621
0.27,0.26337215
0.24,0.2397678
0.27,0.26469302
0.24,0.25087428
0.24,0.25840023
0.24,0.26472792
0.23,0.23270687
0.33,0.3086385
0.23,0.23309933
0.26,0.25778493
0.19,0.1904915
0.24,0.23774709
0.19,0.18718715
0.28,0.2807628
0.19,0.1910405
0.33,0.3261851
0.19,0.19051352
0.21,0.20967159
0.27,0.26682687
0.28,0.2832981
0.27,0.2664121
0.33,0.3168176
0.23,0.23308757
0.27,0.26986375
0.23,0.22840412
0.24,0.23161215
0.28,0.28144416
0.24,0.2519589
0.19,0.1904771
0.26,0.26027745
0.33,0.32112554
0.24,0.2709975
0.27,0.27236405
0.24,0.2364874
0.27,0.26752073
0.21,0.21062505
0.24,0.24104536
0.27,0.2633907
0.21,0.21046413
0.24,0.24371304
0.26,0.2567604
0.26,0.2628858
0.28,0.274927
0.27,0.2707628
0.27,0.2608856
0.19,0.19203709
0.24,0.24132402
0.28,0.28311545
0.23,0.2290545
0.26,0.25888163
0.23,0.2290545
0.23,0.23107505
0.27,0.26949808
0.28,0.2771383
0.24,0.24271186
0.33,0.3235089
0.33,0.33139685
0.27,0.26335445
0.24,0.24006373
0.27,0.27246076
0.26,0.26059908
0.27,0.26815945
0.28,0.28221706
0.33,0.3083402
0.28,0.28966168
0.27,0.26217538
0.33,0.3236965
0.24,0.23606849
0.33,0.33150068
0.27,0.2684889
0.26,0.26023406
0.24,0.241393
0.24,0.239731
0.21,0.21037503
0.19,0.19054241
0.24,0.24545045
0.21,0.21004762
0.23,0.22993945
0.26,0.2599151
0.21,0.21428017
0.26,0.2586215
0.27,0.2708437
0.26,0.26479015
0.33,0.30140105
0.24,0.23912843
0.19,0.19090351
0.26,0.2604445
0.24,0.23867483
0.27,0.27163523
0.24,0.24529861
0.19,0.19020362
0.19,0.19186682
0.21,0.21014586
0.33,0.3282523
0.24,0.239397
0.27,0.2713842
0.21,0.22750665
0.27,0.2795819
0.33,0.33192718
0.21,0.20120111
0.27,0.26486376
0.27,0.27912048
0.23,0.23254618
0.24,0.24666284
0.24,0.23803969
0.21,0.2115578
0.27,0.2641762
0.28,0.2801927
0.24,0.23695529
0.26,0.25937173
0.27,0.254196
0.27,0.24654542
0.27,0.2657591
0.24,0.22974831
0.19,0.18974255
0.33,0.3188178
0.19,0.18841045
0.21,0.22629224
0.24,0.23907766
0.27,0.26791188
0.26,0.25776577
0.27,0.2428103
0.24,0.23922834
0.23,0.23250814
0.33,0.32952008
0.19,0.19262433
0.24,0.24162413
0.21,0.2064492
0.24,0.26214117
0.33,0.2932906
0.26,0.25842357
0.33,0.33084604
0.27,0.24626966
0.21,0.21258062
0.27,0.26442075
0.33,0.33094394
0.23,0.22928914
0.26,0.25795096
0.28,0.27843004
0.27,0.27221987
0.24,0.24769683
0.27,0.27139068
0.23,0.23409216
0.28,0.27867076
0.26,0.2604912
0.26,0.2618184
0.23,0.22994159
0.26,0.25916183
0.24,0.23743866
0.23,0.23062703
0.24,0.24289969
0.24,0.24007465
0.19,0.19072641
0.27,0.27085117
0.26,0.26279402
0.24,0.23735872
0.24,0.23928806
0.26,0.26339534
0.27,0.2658574
0.19,0.19015898
0.21,0.21919084
0.28,0.27562198
0.26,0.2590144
0.26,0.25973997
0.24,0.24403255
0.24,0.23728727
0.27,0.26653564
0.23,0.23002428
0.26,0.27655065
0.27,0.26579127
0.24,0.26612246
0.24,0.23898159
0.24,0.23429847
0.21,0.22831702
0.26,0.26054162
0.27,0.25461543
0.33,0.3015508
0.19,0.1913326
0.24,0.24643518
0.28,0.2746845
0.21,0.2052876
0.23,0.24039464
0.26,0.26316118
0.24,0.25707006
0.21,0.21064903
0.33,0.33008936
0.26,0.25998914
0.33,0.32062623
0.24,0.23386435
0.21,0.21241018
0.27,0.26719728
0.21,0.20882525
0.27,0.27294135
0.24,0.23626873
0.33,0.33019474
0.24,0.2398725
0.26,0.27873626
0.24,0.23827878
0.23,0.23135073
0.27,0.27534938
0.23,0.23101963
0.33,0.32722571
0.28,0.2637084
0.28,0.2756831
0.24,0.24146657
0.26,0.26216206
0.26,0.26005262
0.24,0.25171643
0.27,0.2701881
0.21,0.20894264
0.27,0.26308534
0.24,0.24434069
0.27,0.2664614
