ytest,ypred
5.24,5.252355
5.49,5.50963
6.76,5.8656077
3.43,3.4766169
5.24,5.2648697
5.1,5.0962605
3.43,3.378975
6.76,6.740431
6.76,6.7534547
6.76,6.744148
2.97,2.9458458
5.31,5.28804
6.58,6.5687013
4.72,4.6911325
6.41,6.406463
5.49,5.5027127
6.58,6.5817804
5.1,5.0986133
2.97,2.92843
6.58,6.566524
5.31,5.3048024
6.41,6.4020424
5.49,5.5189605
3.43,3.2402053
2.97,3.007054
5.49,5.4075074
2.97,2.9511976
5.31,5.3578625
5.31,5.337016
4.72,4.9160204
5.1,5.11013
6.41,6.393391
5.95,5.664111
5.95,5.947176
5.31,5.37129
5.49,5.468419
3.43,3.4642437
5.24,5.236271
2.97,3.1099515
5.24,5.3205123
5.95,5.920778
3.43,3.372738
2.97,2.971616
5.1,5.127294
4.72,5.0015078
5.95,5.9021244
4.72,5.156995
5.49,5.5005403
4.72,4.713429
6.76,6.311912
2.97,2.9570832
3.43,3.4099197
2.97,3.1286962
2.97,3.258939
5.31,5.3546762
4.72,4.7506156
5.24,5.247795
4.72,4.8733172
5.49,5.525184
5.1,5.080123
2.97,2.9388974
5.1,5.133541
5.95,5.926449
5.1,5.217579
5.24,5.2375336
5.1,5.1279683
6.58,6.616362
6.76,6.8159933
5.95,5.957282
3.43,3.4339876
5.24,5.240549
4.72,4.7062507
3.43,3.4374769
4.72,4.6993523
2.97,2.925478
5.95,5.979742
2.97,3.1494255
5.1,5.1583247
5.49,5.5229826
5.24,5.300274
5.31,5.3120346
3.43,3.4368165
5.31,5.3721786
6.76,6.774753
6.58,6.8349314
5.31,5.320518
6.76,6.6512527
6.58,6.5819087
2.97,3.0330982
5.49,5.399564
5.49,5.5357704
5.95,5.5078673
3.43,3.4236116
6.76,4.876422
5.1,5.1014886
5.31,5.348082
5.95,5.9359016
4.72,4.816814
5.49,5.4811797
4.72,4.816814
4.72,4.654157
3.43,3.4318125
5.95,5.9262524
2.97,3.0472772
5.24,5.550837
5.24,5.1520514
3.43,3.400259
5.31,5.317894
3.43,3.4430552
5.49,5.4668045
6.76,6.7911315
5.95,5.955388
5.24,5.254971
5.95,6.0682573
6.76,6.6287403
5.24,5.286848
2.97,2.9449146
5.24,5.230894
6.76,6.7931514
5.49,5.432256
2.97,3.0044348
2.97,2.957711
6.58,6.5636673
5.1,5.1071887
5.31,5.284903
6.58,6.5776477
4.72,4.715632
6.41,6.41828
6.58,6.561189
5.49,5.5490184
3.43,3.476682
5.49,5.5104294
5.24,5.369147
2.97,2.9499722
5.1,5.079207
6.41,6.392148
5.31,5.295814
6.76,6.7425523
5.31,5.3637114
5.1,5.0477543
5.1,5.118334
6.58,6.602856
5.24,5.2285657
5.31,5.3206444
6.76,6.8193
6.58,6.60931
6.76,6.897209
5.24,5.237977
6.58,6.560011
6.76,6.7453547
3.43,3.4237125
4.72,4.696911
2.97,3.0303001
5.31,5.2949643
6.58,6.5749927
6.76,6.111137
5.95,5.9561462
5.31,5.2898054
6.41,6.4262853
6.76,6.7757006
3.43,3.159888
6.76,6.656901
5.31,5.3535
5.1,5.106686
5.24,5.233566
5.1,5.124481
6.58,6.54597
2.97,2.9672332
6.76,6.777364
5.49,5.4575434
3.43,3.1602902
5.31,5.325793
4.72,4.8081355
5.24,5.229998
5.1,5.060897
2.97,2.9613326
6.58,6.613206
5.31,5.3363705
5.24,4.8999114
5.49,5.4899173
5.24,5.2252474
3.43,3.074963
6.58,6.5786533
6.76,6.84142
5.24,5.242802
4.72,4.711894
5.49,5.510664
5.95,5.939379
6.76,6.786109
5.31,5.3373857
3.43,3.436856
4.72,4.724582
5.95,5.9684315
6.41,6.411425
5.49,5.477709
4.72,4.7493196
6.41,6.4628487
2.97,2.9907303
4.72,4.7293177
2.97,2.998988
2.97,2.8593812
5.1,5.183051
6.76,6.6158113
5.49,5.4613132
2.97,2.999753
5.31,5.3429418
5.49,5.5433025
3.43,3.9643204
5.1,5.119055
6.58,6.584713
5.95,5.950848
5.49,5.500023
6.41,6.472405
5.31,5.3032084
2.97,2.9742913
6.76,6.716007
4.72,4.704238
5.49,5.4254375
3.43,3.4207325
5.31,5.2606378
2.97,2.94994
2.97,2.963607
6.58,6.5871615
5.49,5.4968805
3.43,3.273877
5.24,5.3395896
5.1,5.1076946
5.31,5.299117
5.95,5.7295074
6.58,6.5379777
4.72,4.648538
5.49,5.412808
5.31,5.2937217
6.58,6.5524783
5.24,5.2390485
6.41,6.426834
5.24,5.2962065
5.31,5.3820167
6.58,6.568946
3.43,3.50348
6.58,6.560822
6.76,6.765846
2.97,2.9573505
5.24,5.2331176
2.97,2.977502
5.49,5.428077
5.31,5.2616925
4.72,4.7311654
6.76,6.8433275
4.72,4.7161226
5.24,5.225338
5.95,5.453793
5.95,5.9564424
5.31,5.353015
6.41,6.4075236
6.41,6.2931724
5.31,5.3415475
3.43,3.4363358
6.58,6.6130376
6.76,6.0578446
2.97,3.072329
6.76,6.7719045
