ytest,ypred
0.143,0.16018377
0.153,0.15033063
0.147,0.13910855
0.207,0.2064268
0.143,0.16854768
0.123,0.12469533
0.207,0.20210011
0.147,0.14760198
0.147,0.14556107
0.147,0.14464024
0.187,0.1852665
0.218,0.21916184
0.119,0.11831188
0.121,0.12110088
0.149,0.14925276
0.153,0.1511082
0.119,0.12031005
0.123,0.12646198
0.187,0.19126165
0.119,0.1175022
0.218,0.21126366
0.149,0.14898603
0.153,0.1548712
0.207,0.20417084
0.187,0.18495306
0.153,0.15107812
0.187,0.18658172
0.218,0.23751304
0.218,0.21491995
0.121,0.12395663
0.123,0.12670115
0.149,0.14952907
0.235,0.23615341
0.235,0.2259001
0.218,0.21757226
0.153,0.15623382
0.207,0.21033405
0.143,0.16393735
0.187,0.19149365
0.143,0.13913444
0.235,0.23481113
0.207,0.2065532
0.187,0.18631943
0.123,0.12107817
0.121,0.12022129
0.235,0.2391669
0.121,0.124094985
0.153,0.15156972
0.121,0.12029582
0.147,0.1418296
0.187,0.18549144
0.207,0.20715977
0.187,0.19173023
0.187,0.20170385
0.218,0.20788603
0.121,0.12293237
0.143,0.16881467
0.121,0.124548554
0.153,0.15324517
0.123,0.121288836
0.187,0.1878554
0.123,0.12492977
0.235,0.23285434
0.123,0.12369573
0.143,0.14733997
0.123,0.12551743
0.119,0.11878891
0.147,0.14714707
0.235,0.22514144
0.207,0.20820273
0.143,0.13961555
0.121,0.12173015
0.207,0.20595211
0.121,0.12069365
0.187,0.18068057
0.235,0.22019675
0.187,0.19432789
0.123,0.12486343
0.153,0.15302779
0.143,0.14559667
0.218,0.19768395
0.207,0.20809157
0.218,0.2241643
0.147,0.14584453
0.119,0.119653456
0.218,0.21662335
0.147,0.14295258
0.119,0.11871558
0.187,0.19236603
0.153,0.1544655
0.153,0.15201327
0.235,0.23470859
0.207,0.20730053
0.147,0.12971865
0.123,0.1254252
0.218,0.22143894
0.235,0.21741824
0.121,0.11926696
0.153,0.15368128
0.121,0.11926696
0.121,0.12116254
0.207,0.20740114
0.235,0.25807855
0.187,0.1914293
0.143,0.1690793
0.143,0.14110342
0.207,0.20608029
0.218,0.21536621
0.207,0.20884337
0.153,0.15182813
0.147,0.14564602
0.235,0.24278481
0.143,0.1569708
0.235,0.2507325
0.147,0.14524262
0.143,0.15386645
0.187,0.18661086
0.143,0.13935131
0.147,0.1453456
0.153,0.15580481
0.187,0.19117212
0.187,0.1860519
0.119,0.11861313
0.123,0.12563208
0.218,0.21037011
0.119,0.11915551
0.121,0.12116812
0.149,0.14876033
0.119,0.12025872
0.153,0.15238367
0.207,0.20921971
0.153,0.15257739
0.143,0.15879814
0.187,0.18662617
0.123,0.124632776
0.149,0.15054029
0.218,0.21823914
0.147,0.14258775
0.218,0.22676592
0.123,0.12939565
0.123,0.12826805
0.119,0.1195835
0.143,0.13284239
0.218,0.2152962
0.147,0.14465089
0.119,0.1267202
0.147,0.14948502
0.143,0.14493905
0.119,0.1162695
0.147,0.14729805
0.207,0.20756055
0.121,0.12247674
0.187,0.19016504
0.218,0.21464527
0.119,0.119584605
0.147,0.13947728
0.235,0.2350216
0.218,0.21859944
0.149,0.14913195
0.147,0.14275774
0.207,0.19225278
0.147,0.14502773
0.218,0.22707506
0.123,0.124109544
0.143,0.1406122
0.123,0.12839368
0.119,0.14919244
0.187,0.18636361
0.147,0.14526306
0.153,0.15252648
0.207,0.19051889
0.218,0.21724227
0.121,0.12974985
0.143,0.1385333
0.123,0.12400002
0.187,0.18971309
0.119,0.11815612
0.218,0.21828862
0.143,0.13561946
0.153,0.15255441
0.143,0.14205687
0.207,0.19175714
0.119,0.119564645
0.147,0.14473002
0.143,0.14421237
0.121,0.12162786
0.153,0.15083373
0.235,0.23612528
0.147,0.15452181
0.218,0.2149114
0.207,0.20741288
0.121,0.12397521
0.235,0.24337456
0.149,0.14964083
0.153,0.15156761
0.121,0.12136252
0.149,0.15017816
0.187,0.18931518
0.121,0.120978415
0.187,0.18957272
0.187,0.19116952
0.123,0.12696147
0.147,0.14490595
0.153,0.15333453
0.187,0.18565193
0.218,0.21324177
0.153,0.1532498
0.207,0.20723383
0.123,0.123158835
0.119,0.1247954
0.235,0.23732202
0.153,0.15370183
0.149,0.14697471
0.218,0.22920686
0.187,0.18577152
0.147,0.1390172
0.121,0.121328145
0.153,0.15398055
0.207,0.20719811
0.218,0.20756339
0.187,0.18643865
0.187,0.18526615
0.119,0.13050939
0.153,0.15459456
0.207,0.19596383
0.143,0.15406935
0.123,0.12536351
0.218,0.21834585
0.235,0.23419178
0.119,0.118440576
0.121,0.13282314
0.153,0.14129767
0.218,0.21724188
0.119,0.11933077
0.143,0.16649683
0.149,0.14771229
0.143,0.17672075
0.218,0.22273313
0.119,0.11950193
0.207,0.20782794
0.119,0.11633221
0.147,0.1469578
0.187,0.18741016
0.143,0.14961606
0.187,0.18713379
0.153,0.15346934
0.218,0.21623734
0.121,0.11937248
0.147,0.14564179
0.121,0.123521976
0.143,0.15521102
0.235,0.22477642
0.235,0.24215189
0.218,0.22179057
0.149,0.14921078
0.149,0.14887972
0.218,0.21423963
0.207,0.20714325
0.119,0.11815777
0.147,0.14240424
0.187,0.1925412
0.147,0.14715955
