ytest,ypred
71.5,71.33747
101.4,101.24186
67.9,68.09166
64.5,65.07201
71.5,69.18942
78.1,78.02933
64.5,65.519966
67.9,68.150406
67.9,68.4888
67.9,68.380325
68.7,68.59995
69.3,68.99791
75.2,75.118744
72.9,73.11716
70.8,70.53914
101.4,101.61528
75.2,74.58531
78.1,77.218636
68.7,66.8947
75.2,75.29154
69.3,69.148964
70.8,70.90517
101.4,101.573006
64.5,66.06331
68.7,68.757065
101.4,96.88371
68.7,68.70776
69.3,69.043755
69.3,69.3694
72.9,71.75149
78.1,77.77111
70.8,70.512436
65.7,66.5832
65.7,66.62676
69.3,68.74188
101.4,101.40697
64.5,65.33758
71.5,70.70153
68.7,68.52253
71.5,70.47844
65.7,66.36288
64.5,64.2312
68.7,68.58285
78.1,78.129456
72.9,72.61593
65.7,64.78869
72.9,71.849266
101.4,102.092155
72.9,72.771904
67.9,67.65353
68.7,68.783165
64.5,64.464165
68.7,67.9361
68.7,65.679184
69.3,69.631096
72.9,72.91398
71.5,68.98185
72.9,72.03988
101.4,101.66421
78.1,78.02243
68.7,67.75383
78.1,78.17767
65.7,66.31068
78.1,78.27502
71.5,71.34002
78.1,78.0475
75.2,75.31031
67.9,67.48504
65.7,66.00547
64.5,64.179474
71.5,74.690834
72.9,72.65187
64.5,64.947685
72.9,72.99242
68.7,67.59579
65.7,67.48502
68.7,67.929276
78.1,78.17499
101.4,102.0812
71.5,73.49023
69.3,69.46855
64.5,64.25775
69.3,70.648315
67.9,67.98136
75.2,74.90145
69.3,69.53755
67.9,68.26484
75.2,75.310295
68.7,68.59651
101.4,101.81744
101.4,98.531784
65.7,66.29346
64.5,64.676605
67.9,69.90613
78.1,76.463585
69.3,66.244446
65.7,66.57513
72.9,71.97763
101.4,101.64476
72.9,71.97763
72.9,73.09976
64.5,64.23524
65.7,65.887566
68.7,67.42959
71.5,69.47818
71.5,72.26304
64.5,64.585724
69.3,69.605965
64.5,64.33753
101.4,101.378975
67.9,67.56779
65.7,65.59467
71.5,70.00588
65.7,65.59169
67.9,69.00283
71.5,69.94165
68.7,68.684654
71.5,72.530334
67.9,67.68598
101.4,101.12541
68.7,68.86065
68.7,68.75087
75.2,75.16746
78.1,78.05904
69.3,69.05557
75.2,75.29891
72.9,73.10394
70.8,70.66822
75.2,75.13442
101.4,99.35152
64.5,64.98079
101.4,101.751175
71.5,69.79239
68.7,68.81744
78.1,78.083115
70.8,70.83916
69.3,68.73941
67.9,68.1132
69.3,69.10071
78.1,77.93073
78.1,77.83118
75.2,75.164246
71.5,69.4968
69.3,67.98542
67.9,68.61701
75.2,74.63098
67.9,67.993065
71.5,72.03209
75.2,75.666885
67.9,67.90306
64.5,64.58615
72.9,73.027534
68.7,67.945335
69.3,69.10439
75.2,75.116806
67.9,68.09729
65.7,65.69954
69.3,69.934525
70.8,70.77977
67.9,69.30064
64.5,67.32919
67.9,68.366745
69.3,69.74295
78.1,77.97659
71.5,75.341156
78.1,78.45926
75.2,74.109795
68.7,68.931496
67.9,67.44377
101.4,98.05933
64.5,65.588745
69.3,69.197716
72.9,70.915184
71.5,70.97014
78.1,77.95388
68.7,68.69967
75.2,75.34783
69.3,69.633484
71.5,71.45249
101.4,101.70015
71.5,72.03311
64.5,67.53086
75.2,75.07306
67.9,68.67112
71.5,70.7103
72.9,72.85136
101.4,99.75434
65.7,65.85556
67.9,67.68085
69.3,71.849236
64.5,64.393265
72.9,73.21354
65.7,64.98464
70.8,70.53296
101.4,101.49601
72.9,72.8673
70.8,70.832855
68.7,68.657166
72.9,73.232765
68.7,68.34623
68.7,69.246506
78.1,77.87226
67.9,67.8426
101.4,99.863235
68.7,68.38647
69.3,69.37282
101.4,97.11296
64.5,65.06074
78.1,78.0998
75.2,74.19841
65.7,65.58617
101.4,101.94798
70.8,70.523865
69.3,69.35257
68.7,69.07501
67.9,68.911545
72.9,72.881744
101.4,102.327995
64.5,64.59151
69.3,68.388756
68.7,68.982056
68.7,68.85751
75.2,74.131065
101.4,99.35163
64.5,65.74589
71.5,71.174385
78.1,78.20082
69.3,69.31478
65.7,67.62029
75.2,75.44651
72.9,70.43841
101.4,91.548096
69.3,68.898315
75.2,75.21153
71.5,71.00082
70.8,70.858215
71.5,69.183235
69.3,68.19346
75.2,75.01311
64.5,64.576385
75.2,75.09848
67.9,67.66202
68.7,68.66671
71.5,71.50787
68.7,68.86423
101.4,97.58554
69.3,69.56317
72.9,73.159065
67.9,67.857185
72.9,72.81232
71.5,70.66524
65.7,68.2168
65.7,65.834755
69.3,68.82994
70.8,70.72205
70.8,70.65697
69.3,69.15831
64.5,64.450165
75.2,75.09403
67.9,68.93199
68.7,68.373955
67.9,67.39704
