ytest,ypred
2.8,2.720295
2.4,2.3960257
2.6,2.7313685
1.9,1.8394715
2.8,2.3712273
3.2,3.1997936
1.9,1.7064239
2.6,2.5891275
2.6,2.6072183
2.6,2.615425
1.3,1.2647848
1.8,1.7366258
3.3,3.3035312
2.9,2.8986154
2.5,2.4985752
2.4,2.3972287
3.3,3.1967804
3.2,3.195018
1.3,1.313615
3.3,3.3096569
1.8,1.8383536
2.5,2.514088
2.4,2.3973088
1.9,1.8254958
1.3,1.283354
2.4,2.392892
1.3,1.3200806
1.8,1.7533193
1.8,1.8112072
2.9,2.8713958
3.2,3.1649911
2.5,2.4966464
1.7,1.7781609
1.7,1.9003242
1.8,1.8109491
2.4,2.3971808
1.9,1.8639077
2.8,2.5249052
1.3,1.3241941
2.8,2.816048
1.7,1.7060145
1.9,1.9036263
1.3,1.3062223
3.2,3.2452896
2.9,2.8900807
1.7,1.5829798
2.9,2.874669
2.4,2.4042566
2.9,2.9015036
2.6,2.7241254
1.3,1.2772666
1.9,1.9000517
1.3,1.5044992
1.3,1.644906
1.8,2.0420344
2.9,2.8963451
2.8,2.6764686
2.9,2.8736925
2.4,2.4017117
3.2,3.2114403
1.3,1.3300782
3.2,3.2021947
1.7,1.7016896
3.2,3.2044928
2.8,2.8752794
3.2,3.182837
3.3,3.3077192
2.6,2.580418
1.7,1.8168062
1.9,1.9099195
2.8,2.8162913
2.9,2.9210472
1.9,1.8396038
2.9,2.901851
1.3,1.2875762
1.7,1.7423638
1.3,1.5026222
3.2,3.1930845
2.4,2.3980362
2.8,2.796005
1.8,2.061835
1.9,1.9170351
1.8,1.7351131
2.6,2.5999494
3.3,3.301399
1.8,1.8270485
2.6,2.6264923
3.3,3.2988749
1.3,1.3082842
2.4,2.3940933
2.4,2.4157147
1.7,1.8088272
1.9,1.9013418
2.6,2.8495555
3.2,3.2177339
1.8,1.7775952
1.7,1.7413099
2.9,2.9009132
2.4,2.3987541
2.9,2.9009132
2.9,2.900712
1.9,1.8955593
1.7,1.672681
1.3,1.3733394
2.8,2.6741533
2.8,2.7982488
1.9,1.8683164
1.8,1.778781
1.9,1.8908442
2.4,2.3974655
2.6,2.6031535
1.7,1.5525239
2.8,2.9276774
1.7,1.7078832
2.6,2.6441512
2.8,2.7973938
1.3,1.2989165
2.8,2.8234153
2.6,2.5892751
2.4,2.402161
1.3,1.3256505
1.3,1.3050736
3.3,3.3004162
3.2,3.126383
1.8,1.7557731
3.3,3.2972116
2.9,2.899726
2.5,2.5009792
3.3,3.3449743
2.4,2.3970048
1.9,1.9193859
2.4,2.417603
2.8,2.7087338
1.3,1.3058108
3.2,3.1941836
2.5,2.5013368
1.8,1.7416439
2.6,2.6106157
1.8,1.7828405
3.2,3.1491692
3.2,3.1481113
3.3,3.3019407
2.8,2.867997
1.8,1.7569808
2.6,2.6380274
3.3,3.175499
2.6,2.5824246
2.8,2.6524134
3.3,3.3503988
2.6,2.599087
1.9,1.8974066
2.9,2.9182062
1.3,1.324064
1.8,1.7675279
3.3,3.2994468
2.6,2.7273536
1.7,1.6843653
1.8,1.7884817
2.5,2.5086217
2.6,2.664432
1.9,1.5596668
2.6,2.6172228
1.8,1.7801927
3.2,3.2023559
2.8,2.8071005
3.2,3.1953416
3.3,3.0923288
1.3,1.3022531
2.6,2.6024902
2.4,2.391421
1.9,1.4193007
1.8,1.8098631
2.9,2.7738767
2.8,2.7776961
3.2,3.2245915
1.3,1.3431203
3.3,3.343587
1.8,1.7531009
2.8,2.814184
2.4,2.404484
2.8,2.7963095
1.9,1.4559032
3.3,3.2975693
2.6,2.6096084
2.8,2.77612
2.9,2.909205
2.4,2.4056866
1.7,1.6888739
2.6,2.5475242
1.8,1.9228219
1.9,1.9274981
2.9,2.8841186
1.7,1.6803252
2.5,2.4909198
2.4,2.4324553
2.9,2.8936129
2.5,2.4981987
1.3,1.3113058
2.9,2.901645
1.3,1.444329
1.3,1.3185929
3.2,3.1595562
2.6,2.605271
2.4,2.4332542
1.3,1.2970171
1.8,1.7480944
2.4,2.406961
1.9,1.8675319
3.2,3.1776648
3.3,3.0910895
1.7,1.6784004
2.4,2.3996272
2.5,2.5167363
1.8,1.7825402
1.3,1.3025109
2.6,2.6535308
2.9,2.902608
2.4,2.413266
1.9,1.899877
1.8,1.8874443
1.3,1.2930505
1.3,1.2872846
3.3,3.1709242
2.4,2.399594
1.9,1.7166765
2.8,2.7910545
3.2,3.1792371
1.8,1.8171291
1.7,1.7119915
3.3,3.3067553
2.9,2.8289587
2.4,2.6642823
1.8,1.8497858
3.3,3.297718
2.8,2.5573416
2.5,2.5002372
2.8,2.3125849
1.8,1.7577668
3.3,3.2995083
1.9,1.8824455
3.3,3.3516793
2.6,2.5951884
1.3,1.2916368
2.8,2.8085427
1.3,1.310589
2.4,2.3842795
1.8,1.7633352
2.9,2.8939285
2.6,2.6124241
2.9,2.8984754
2.8,2.8254635
1.7,1.8200886
1.7,1.7003534
1.8,1.709184
2.5,2.4878342
2.5,2.500933
1.8,1.8478165
1.9,1.9298267
3.3,3.3150012
2.6,2.6550322
1.3,1.3068318
2.6,2.5907977
