ytest,ypred
117.49,110.77116
110.95,110.88131
126.65,133.47803
61.84,61.047977
117.49,109.167595
131.05,131.58293
61.84,50.08872
126.65,126.60849
126.65,126.94933
126.65,127.231155
39.96,39.031776
48.66,50.619648
192.15,193.02275
164.87,167.35275
129.06,129.32562
110.95,110.992744
192.15,191.93384
131.05,131.09473
39.96,40.4144
192.15,191.95639
48.66,47.924053
129.06,129.9717
110.95,110.81814
61.84,55.57326
39.96,39.904465
110.95,111.63589
39.96,40.810238
48.66,44.256813
48.66,49.777035
164.87,167.62466
131.05,130.55768
129.06,128.8443
53.53,54.849636
53.53,54.620964
48.66,51.087814
110.95,110.92571
61.84,60.162533
117.49,91.80797
39.96,41.47362
117.49,115.10649
53.53,50.681995
61.84,61.76948
39.96,38.41679
131.05,132.20622
164.87,167.40372
53.53,54.858776
164.87,166.08289
110.95,110.91409
164.87,166.0391
126.65,131.38449
39.96,40.564663
61.84,61.329594
39.96,45.50702
39.96,51.02712
48.66,58.92239
164.87,164.61891
117.49,111.375404
164.87,170.03438
110.95,111.40364
131.05,132.38011
39.96,43.752205
131.05,130.53601
53.53,54.333317
131.05,130.83981
117.49,119.31366
131.05,130.86935
192.15,191.92749
126.65,126.574554
53.53,50.372955
61.84,61.24552
117.49,115.971085
164.87,166.6716
61.84,61.11998
164.87,165.05421
39.96,37.801594
53.53,56.065872
39.96,54.72545
131.05,131.19278
110.95,111.44449
117.49,115.42948
48.66,50.182102
61.84,62.830616
48.66,49.365093
126.65,126.39914
192.15,192.82573
48.66,50.58179
126.65,126.69026
192.15,192.19255
39.96,40.18812
110.95,111.16169
110.95,111.08378
53.53,53.175137
61.84,62.12917
126.65,135.29767
131.05,130.37979
48.66,49.18757
53.53,50.406956
164.87,164.00206
110.95,111.03085
164.87,164.00206
164.87,164.76065
61.84,62.22804
53.53,50.473362
39.96,46.431824
117.49,115.59115
117.49,115.37469
61.84,61.413166
48.66,47.75361
61.84,59.343643
110.95,111.78205
126.65,127.294205
53.53,46.75781
117.49,109.531166
53.53,52.77098
126.65,127.73298
117.49,100.23013
39.96,40.189682
117.49,120.22112
126.65,126.84473
110.95,111.06686
39.96,40.185043
39.96,40.648956
192.15,192.70801
131.05,130.67967
48.66,49.55807
192.15,192.36754
164.87,164.99944
129.06,129.13277
192.15,192.36711
110.95,110.806694
61.84,63.284054
110.95,111.305115
117.49,106.003845
39.96,40.571865
131.05,130.42679
129.06,129.13896
48.66,46.85427
126.65,126.993256
48.66,48.811283
131.05,130.61862
131.05,130.32365
192.15,192.01437
117.49,126.04936
48.66,48.551216
126.65,128.86176
192.15,192.34218
126.65,122.29624
117.49,117.64327
192.15,192.01274
126.65,130.99089
61.84,61.12807
164.87,166.78166
39.96,39.458878
48.66,48.069843
192.15,192.38834
126.65,141.03775
53.53,53.05218
48.66,48.198215
129.06,131.21252
126.65,137.20134
61.84,48.54578
126.65,127.61658
48.66,48.81812
131.05,131.34033
117.49,114.87953
131.05,131.14319
192.15,181.38359
39.96,39.36113
126.65,128.05185
110.95,110.89195
61.84,52.972404
48.66,49.070034
164.87,163.22823
117.49,120.4748
131.05,130.32462
39.96,40.69076
192.15,191.9725
48.66,49.85825
117.49,119.135895
110.95,110.86308
117.49,115.7786
61.84,42.91573
192.15,191.80867
126.65,126.67806
117.49,118.993195
164.87,164.1511
110.95,110.82871
53.53,52.784107
126.65,127.47962
48.66,49.260334
61.84,63.181973
164.87,165.39378
53.53,53.106415
129.06,128.6856
110.95,111.02106
164.87,164.90807
129.06,129.02744
39.96,38.987938
164.87,164.76964
39.96,48.694683
39.96,40.81575
131.05,130.7778
126.65,125.87813
110.95,111.059906
39.96,39.798946
48.66,48.465157
110.95,110.83072
61.84,59.42069
131.05,130.94958
192.15,191.69073
53.53,51.336826
110.95,110.60134
129.06,129.26003
48.66,48.526485
39.96,38.69731
126.65,124.042496
164.87,164.89886
110.95,111.330696
61.84,59.96752
48.66,42.02554
39.96,40.07263
39.96,39.836956
192.15,191.47444
110.95,110.95991
61.84,57.470783
117.49,119.714714
131.05,130.2642
48.66,48.836014
53.53,51.950226
192.15,193.54962
164.87,163.83694
110.95,111.29527
48.66,52.9043
192.15,191.80988
117.49,110.27281
129.06,128.91962
117.49,94.56032
48.66,48.518936
192.15,191.89265
61.84,61.637295
192.15,191.47418
126.65,126.402374
39.96,39.28898
117.49,117.42242
39.96,40.56853
110.95,110.99751
48.66,48.3259
164.87,164.23795
126.65,125.521675
164.87,164.01485
117.49,116.40425
53.53,52.386078
53.53,50.58049
48.66,48.73637
129.06,128.86177
129.06,127.74983
48.66,54.52041
61.84,63.141193
192.15,192.12148
126.65,127.11519
39.96,39.981094
126.65,126.49441
