ytest,ypred
13.53,14.671171
11.85,11.757023
21.09,19.396158
13.75,13.886485
13.53,14.975447
20.8,20.768919
13.75,14.822109
21.09,21.13977
21.09,20.372522
21.09,21.134424
16.99,17.316896
18.04,17.777258
17.81,17.683666
12.01,11.670356
21.22,21.220358
11.85,11.8076105
17.81,17.95185
20.8,20.821362
16.99,16.800886
17.81,17.710752
18.04,17.708927
21.22,21.185724
11.85,11.686153
13.75,14.991101
16.99,16.159212
11.85,12.3083
16.99,17.04675
18.04,17.200735
18.04,18.119505
12.01,11.907702
20.8,20.870731
21.22,21.316563
8.02,8.158848
8.02,8.230502
18.04,17.95823
11.85,11.769977
13.75,13.658828
13.53,15.2759
16.99,15.408512
13.53,12.379958
8.02,7.861013
13.75,13.8060665
16.99,17.08552
20.8,20.77347
12.01,12.084635
8.02,8.196261
12.01,12.49062
11.85,11.767885
12.01,12.165056
21.09,20.915236
16.99,16.355701
13.75,14.040985
16.99,16.648525
16.99,15.027852
18.04,17.394505
12.01,12.892455
13.53,14.08943
12.01,12.008186
11.85,11.955433
20.8,20.799974
16.99,17.313559
20.8,20.749666
8.02,8.244717
20.8,20.803404
13.53,12.766261
20.8,20.874363
17.81,17.766855
21.09,21.27127
8.02,8.044218
13.75,13.914881
13.53,13.536396
12.01,12.031744
13.75,13.693205
12.01,11.922698
16.99,18.418406
8.02,8.065385
16.99,15.646816
20.8,20.892797
11.85,11.882172
13.53,13.815683
18.04,15.437559
13.75,13.761088
18.04,17.723808
21.09,21.136671
17.81,17.809925
18.04,17.945751
21.09,20.992474
17.81,17.809187
16.99,16.87519
11.85,11.757138
11.85,12.323134
8.02,11.161885
13.75,13.771313
21.09,18.177807
20.8,20.887775
18.04,16.760254
8.02,7.7120166
12.01,12.197522
11.85,11.919418
12.01,12.197522
12.01,12.224055
13.75,13.684942
8.02,8.600494
16.99,15.253853
13.53,10.710425
13.53,13.24106
13.75,14.15236
18.04,18.15941
13.75,13.668098
11.85,11.866918
21.09,21.089186
8.02,7.9922633
13.53,14.321396
8.02,8.081222
21.09,21.402393
13.53,13.648901
16.99,17.134735
13.53,13.379944
21.09,21.092033
11.85,12.169318
16.99,16.805971
16.99,16.803482
17.81,17.6992
20.8,20.796621
18.04,17.943792
17.81,17.717308
12.01,12.110209
21.22,21.16434
17.81,18.11586
11.85,11.960116
13.75,13.808833
11.85,11.850279
13.53,14.240947
16.99,16.951582
20.8,20.55407
21.22,21.31431
18.04,17.764742
21.09,21.140795
18.04,16.625162
20.8,20.84124
20.8,20.839968
17.81,17.809973
13.53,13.294397
18.04,16.615915
21.09,21.413876
17.81,17.83633
21.09,22.076727
13.53,12.996586
17.81,17.80007
21.09,21.129791
13.75,13.94602
12.01,11.860204
16.99,16.868675
18.04,18.141928
17.81,17.807459
21.09,17.132818
8.02,7.9737473
18.04,17.468258
21.22,21.183586
21.09,19.227682
13.75,15.350239
21.09,21.125822
18.04,18.765175
20.8,20.783232
13.53,12.839852
20.8,20.725643
17.81,18.067324
16.99,17.033108
21.09,20.877506
11.85,12.043105
13.75,15.404678
18.04,16.675121
12.01,12.593572
13.53,13.8193
20.8,20.794163
16.99,16.938337
17.81,17.818464
18.04,16.611221
13.53,12.6698475
11.85,11.797705
13.53,13.588353
13.75,16.298817
17.81,17.81551
21.09,21.053839
13.53,13.484674
12.01,11.925603
11.85,12.116746
8.02,7.9515467
21.09,21.194984
18.04,16.761702
13.75,13.882672
12.01,11.7331
8.02,8.046916
21.22,21.232641
11.85,11.912201
12.01,12.279406
21.22,21.33411
16.99,16.687098
12.01,12.046367
16.99,16.050528
16.99,15.806391
20.8,20.866716
21.09,21.087442
11.85,11.688583
16.99,16.973555
18.04,17.984621
11.85,11.916133
13.75,14.148435
20.8,20.716705
17.81,17.810896
8.02,8.006626
11.85,11.794917
21.22,21.241453
18.04,18.79058
16.99,17.388304
21.09,21.592718
12.01,11.757137
11.85,12.440794
13.75,13.98279
18.04,17.141556
16.99,16.973982
16.99,17.392527
17.81,17.905958
11.85,11.830227
13.75,14.993099
13.53,14.796702
20.8,20.887087
18.04,17.846756
8.02,12.178618
17.81,17.653234
12.01,13.061374
11.85,12.126139
18.04,18.052977
17.81,17.808681
13.53,13.99113
21.22,21.213434
13.53,14.286633
18.04,19.174427
17.81,17.825212
13.75,14.593867
17.81,17.521751
21.09,21.12906
16.99,17.092772
13.53,14.076325
16.99,17.04123
11.85,12.914121
18.04,18.30063
12.01,11.927027
21.09,21.256224
12.01,12.067908
13.53,13.789921
8.02,9.508269
8.02,8.135699
18.04,17.963663
21.22,21.156445
21.22,21.332958
18.04,17.967403
13.75,13.19633
17.81,17.863482
21.09,16.311344
16.99,16.65396
21.09,21.082937
