ytest,ypred
0.00229,0.0021426268
0.00176,0.0016645553
0.00058,0.0043612006
0.09265,0.08581297
0.00229,0.009248211
0.0234,0.02626984
0.09265,0.11523621
0.00058,0.0009381987
0.00058,0.0015831087
0.00058,0.0012257706
0.15382,0.15301104
0.00323,0.0023680576
0.02872,0.028633928
0.0026,0.002289199
0.00097,0.000993985
0.00176,0.001903279
0.02872,0.028428933
0.0234,0.021080738
0.15382,0.145107
0.02872,0.029299548
0.00323,0.0017819061
0.00097,0.0007929774
0.00176,0.0017900438
0.09265,0.099844925
0.15382,0.15408492
0.00176,0.0017794819
0.15382,0.15227355
0.00323,0.027366491
0.00323,0.0035651282
0.0026,0.0018921496
0.0234,0.020587314
0.00097,0.0016137919
0.117604,0.07397338
0.117604,0.11767558
0.00323,0.0025455512
0.00176,0.0024900106
0.09265,0.09272849
0.00229,0.0026858472
0.15382,0.14488119
0.00229,0.0058329455
0.117604,0.11460701
0.09265,0.08986606
0.15382,0.18182918
0.0234,0.033462286
0.0026,0.0019233964
0.117604,0.104580276
0.0026,0.0019447651
0.00176,0.0017871058
0.0026,0.0028625475
0.00058,0.00468839
0.15382,0.1550685
0.09265,0.082386166
0.15382,0.14109507
0.15382,0.1318684
0.00323,0.0035262422
0.0026,0.0019187131
0.00229,0.0026250442
0.0026,0.0018921496
0.00176,0.0015124346
0.0234,0.02535537
