ytest,ypred
0.143,0.15918045
0.153,0.15168835
0.147,0.14245397
0.207,0.20752466
0.143,0.17426565
0.123,0.12221359
0.207,0.20298953
0.147,0.14777684
0.147,0.14818497
0.147,0.14597504
0.187,0.18528208
0.218,0.21824144
0.119,0.11905654
0.121,0.12075247
0.149,0.14944747
0.153,0.15038244
0.119,0.12226873
0.123,0.12573291
0.187,0.1906495
0.119,0.11829919
0.218,0.21466172
0.149,0.14924343
0.153,0.15335906
0.207,0.20409356
0.187,0.18659016
0.153,0.1512553
0.187,0.18780509
0.218,0.24507326
0.218,0.21610527
0.121,0.12720446
0.123,0.12601349
0.149,0.1486392
0.235,0.23559791
0.235,0.23180707
0.218,0.21263523
0.153,0.15222986
0.207,0.20762749
0.143,0.16891566
0.187,0.19836913
0.143,0.14383826
0.235,0.23406562
0.207,0.2077492
0.187,0.18746439
0.123,0.12807898
0.121,0.12377238
0.235,0.23948441
0.121,0.12110971
0.153,0.15279357
0.121,0.12124472
0.147,0.14486064
0.187,0.18606532
0.207,0.20781475
0.187,0.18991624
0.187,0.19901478
0.218,0.20734
0.121,0.12856904
0.143,0.16038051
0.121,0.12700222
0.153,0.15384789
0.123,0.12297431
