ytrain,ypred
38.44,38.36204
44.17,44.349003
45.53,45.374477
41.61,41.63369
45.53,45.55079
46.75,46.74999
46.34,46.609623
45.61,45.694042
44.86,44.997654
44.86,45.09521
46.34,46.194054
46.34,46.206005
45.61,45.549603
31.8,32.258667
45.53,45.566906
45.53,45.527504
46.75,46.41167
38.44,38.414528
38.44,38.672516
31.8,31.882318
31.8,32.16101
31.8,32.194138
38.96,39.292953
46.34,46.109196
38.44,38.387634
44.9,44.861763
38.44,38.45534
46.34,46.326027
44.17,44.631245
41.61,41.495945
38.96,38.93844
38.96,38.83755
45.53,45.547337
45.61,45.554924
38.96,39.01992
45.61,45.71773
38.96,38.90034
45.53,45.499947
44.17,44.220604
44.17,44.17153
46.34,46.36064
44.86,44.638157
38.96,38.935307
41.61,41.729378
45.61,45.698456
45.61,45.65319
46.75,46.74823
44.86,44.822395
41.61,41.487507
38.96,38.874214
46.34,46.142014
45.61,45.51143
44.9,44.824604
44.86,44.94214
44.9,44.83034
46.34,46.133698
44.86,44.8256
44.9,44.911827
45.53,45.537174
46.34,46.01101
44.9,44.508034
38.44,38.48611
38.44,38.355213
31.8,31.754042
46.34,46.276527
44.86,44.935352
44.17,44.369186
44.17,44.19738
31.8,31.758072
44.17,44.184788
46.75,46.778378
46.75,46.752422
46.75,46.768818
31.8,31.701471
31.8,31.877687
41.61,41.81295
38.96,38.936848
41.61,41.61432
44.9,44.936466
46.75,46.72986
45.53,45.55785
38.96,39.1064
45.53,45.602406
41.61,41.855686
46.75,46.768944
44.9,44.945293
31.8,31.927061
44.86,44.46587
46.75,46.644974
31.8,31.738958
44.9,44.76983
31.8,31.93693
46.34,46.345013
31.8,31.808401
38.96,38.963596
44.17,44.194847
38.44,39.001896
44.17,44.208363
44.86,44.687046
41.61,41.66418
44.9,44.884792
44.17,44.07764
44.17,44.15373
41.61,41.43568
44.17,44.211723
38.96,38.972713
44.17,44.380196
46.75,46.74149
38.44,38.421917
45.61,45.745678
44.17,44.319458
45.53,45.53761
31.8,31.953379
46.34,46.228973
46.75,46.626926
44.86,45.0574
44.17,44.35464
45.61,45.5342
45.53,45.524136
41.61,41.486214
45.53,45.56355
46.34,46.36414
46.75,46.77585
38.96,39.017754
46.34,46.38398
38.96,38.938057
46.34,46.1057
46.75,46.80339
46.34,46.27572
46.34,46.24003
44.9,44.850662
44.9,44.899662
44.17,44.236362
31.8,31.981304
41.61,41.58197
31.8,31.884539
45.61,45.645443
38.96,38.981113
45.53,45.547752
45.53,45.5534
45.61,45.607456
45.53,45.53827
31.8,31.875084
41.61,41.49338
44.9,44.903652
38.44,38.29306
45.61,45.647133
45.61,45.564144
45.53,45.555542
44.86,44.70869
45.53,45.515476
46.34,46.03934
31.8,31.818342
41.61,41.361023
45.53,45.579906
44.9,44.75909
44.86,44.782967
44.9,44.778183
38.96,39.106213
44.17,44.17153
44.86,44.902927
44.9,44.663418
46.34,46.303856
38.44,38.48517
44.9,44.834854
38.96,38.940025
31.8,31.971807
41.61,41.652576
45.61,45.716522
41.61,41.576412
44.17,44.16266
45.61,45.64084
45.61,45.727383
41.61,41.44435
44.17,44.351402
44.9,44.343723
38.96,39.355663
44.9,44.464897
44.17,44.1794
45.53,45.25241
44.17,44.252697
46.75,46.73483
41.61,41.681206
31.8,31.83126
38.44,38.843357
38.44,38.391605
46.75,46.71231
44.17,44.196583
44.86,44.95347
38.96,39.018703
46.75,46.74762
41.61,41.735203
45.53,45.485317
31.8,31.749409
38.44,38.609894
44.9,44.325287
44.9,44.972477
44.17,44.438713
44.9,44.13939
45.53,45.567444
44.17,44.077225
44.86,44.912983
44.86,44.64723
38.44,38.65556
44.9,44.92902
44.17,44.169746
38.44,38.85311
31.8,32.111496
46.75,46.679447
44.9,44.880848
38.44,38.356537
38.96,38.95982
31.8,31.914316
46.34,45.91583
45.61,45.583015
38.96,38.994904
44.86,44.863194
38.44,38.622696
44.9,44.915432
45.53,45.57802
38.44,38.142986
46.75,46.73792
46.75,46.639164
31.8,31.829788
44.9,44.743843
46.75,46.726646
46.75,46.81297
41.61,41.54894
45.61,45.58444
46.75,46.685654
41.61,41.347404
31.8,32.057014
46.75,46.65861
41.61,41.48078
44.17,44.318558
44.86,45.00556
31.8,31.652357
45.53,45.542065
31.8,31.972631
45.61,45.843502
38.44,38.37687
38.44,38.48978
45.61,45.670803
41.61,41.249756
44.9,44.814194
46.75,46.756172
45.61,45.61477
38.44,38.534298
46.75,46.4515
45.53,45.542664
31.8,31.72562
45.53,45.518806
44.17,44.15173
38.96,39.01555
38.96,39.033035
38.44,38.62542
38.96,39.07475
44.9,43.482655
44.86,44.755646
31.8,31.782936
46.75,46.729084
38.44,38.290684
46.75,46.80482
46.34,46.248535
38.44,38.745182
45.53,45.380955
38.44,38.367287
46.34,46.38358
44.86,45.182728
46.34,46.26249
41.61,41.69518
38.96,38.807858
45.61,45.606583
46.34,46.406685
46.34,46.324234
44.17,44.232677
44.86,44.98472
45.61,45.71633
31.8,31.765093
44.86,44.599983
45.61,45.676937
45.53,45.527546
46.34,46.107635
38.44,38.60614
31.8,31.741644
31.8,31.860308
38.44,38.487648
44.9,44.72477
44.17,44.186142
44.9,44.766453
46.34,46.240475
44.17,44.246433
45.53,45.53674
31.8,31.655203
44.86,45.26896
44.9,45.210526
45.53,45.657234
45.61,45.722645
44.17,44.07764
45.61,45.56012
38.96,38.987534
44.86,45.204315
44.17,44.46536
44.86,44.286945
31.8,32.00102
38.96,38.88821
38.96,39.0004
41.61,41.511078
44.17,44.420734
44.9,44.894627
44.86,44.938774
46.75,46.71844
44.86,44.7642
45.61,45.702217
46.75,46.741436
38.96,39.04847
31.8,31.93864
45.53,45.442825
44.17,44.169746
44.17,44.31617
44.17,44.26457
45.61,45.568554
44.9,44.70179
38.96,38.82252
44.17,44.10485
44.9,44.934673
45.61,45.520386
38.96,38.90816
44.17,44.207245
38.96,39.069958
41.61,41.46822
41.61,41.491184
38.96,39.044014
45.53,45.632088
46.75,46.794605
41.61,41.665874
46.75,46.676662
46.34,46.150074
31.8,31.88323
44.86,44.89896
38.44,38.27683
46.75,46.68663
44.86,45.005215
46.75,46.74168
31.8,31.635439
31.8,31.658613
44.9,45.024227
41.61,41.955116
38.96,38.96981
38.44,38.525455
38.44,38.43617
38.44,38.647167
31.8,31.842611
31.8,31.894796
46.75,46.763294
38.96,38.88465
38.44,38.360966
44.17,44.20046
41.61,41.597454
38.96,39.037292
45.53,45.52082
46.75,46.974827
38.44,38.299786
44.17,43.963062
41.61,41.34349
46.34,45.70621
41.61,41.50838
38.96,38.996613
44.9,44.992657
41.61,41.57241
45.53,45.511696
45.61,45.7063
38.44,38.685802
38.96,39.16967
38.44,38.418728
45.53,45.486874
44.9,44.715813
44.9,44.60589
46.75,46.77187
38.96,39.06232
46.34,46.38842
38.96,38.925587
41.61,41.67058
31.8,31.597763
38.44,38.161983
44.17,44.37707
45.53,45.56074
45.61,45.568832
46.34,46.27952
41.61,41.398643
44.9,44.97586
41.61,41.574932
31.8,31.596998
44.9,44.902054
46.34,46.315777
44.86,44.953667
44.17,44.150692
38.44,38.638264
38.96,38.98303
38.44,38.531376
45.53,45.355618
45.61,45.6942
38.44,38.39947
31.8,31.92163
31.8,31.779154
38.96,38.96218
38.44,38.380917
44.9,44.903027
44.9,44.88832
38.44,38.846428
44.9,44.728024
46.75,46.75281
44.9,44.96027
46.34,46.18073
44.86,44.7866
38.96,38.922466
45.61,45.74913
38.96,39.088696
45.61,45.502296
38.44,38.381046
38.44,38.66664
45.53,45.379333
38.44,38.502995
38.96,38.908188
46.75,46.638306
44.9,44.98633
41.61,41.589745
38.44,38.444077
44.9,44.752213
45.61,45.59285
46.34,46.106514
44.86,44.83513
45.61,45.594223
31.8,31.705523
46.75,46.76256
41.61,41.74885
46.75,46.733448
38.44,38.295513
44.9,44.99154
46.75,46.762028
44.86,44.56585
46.75,46.791264
38.44,38.441826
45.61,45.65815
38.44,38.68062
38.96,39.070793
44.9,44.82764
45.61,45.53464
44.17,44.155502
46.34,46.161106
45.53,45.542072
45.61,45.617954
46.34,46.333664
41.61,41.484077
46.75,46.76769
31.8,31.705875
44.9,44.94368
44.9,44.9417
44.17,44.266376
38.44,38.51096
46.34,46.19957
31.8,31.893518
46.75,46.766594
45.61,45.857185
45.53,45.303093
46.75,46.392265
44.86,44.793102
31.8,31.826403
46.34,46.455635
38.44,38.655815
45.53,45.349228
46.75,46.748894
38.96,39.084206
45.53,45.520214
31.8,31.779467
45.53,45.341408
38.44,38.59888
31.8,31.872602
38.44,38.245502
44.17,44.26174
38.44,38.299232
38.96,38.96967
41.61,41.635643
38.96,39.0336
44.86,45.18823
44.9,44.889904
44.86,44.655746
38.96,38.924
45.61,45.576324
46.75,46.71151
