ytrain,ypred
193.0,196.21371
365.95,365.2036
258.88,258.76474
196.86,197.00778
258.88,258.71576
227.69,228.787
221.53,221.62029
167.66,167.76173
164.25,164.32596
164.25,167.48575
221.53,220.08418
221.53,222.3325
167.66,165.73633
127.49,130.61856
258.88,259.86334
258.88,257.91513
227.69,227.40361
193.0,191.6785
193.0,194.75621
127.49,129.82523
127.49,128.5732
127.49,129.91045
228.4,228.54301
221.53,220.27267
193.0,194.52576
256.95,257.39108
193.0,193.23405
221.53,222.16618
365.95,363.54706
196.86,193.98026
228.4,227.91037
228.4,227.81306
258.88,258.65967
167.66,168.55838
228.4,229.16954
167.66,169.9748
228.4,228.38307
258.88,258.3197
365.95,366.0745
365.95,365.24136
221.53,220.52295
164.25,163.2305
228.4,227.15166
196.86,196.88441
167.66,167.35493
167.66,167.13956
227.69,227.92705
164.25,164.3167
196.86,196.33948
228.4,228.43813
221.53,217.78384
167.66,167.54475
256.95,257.7733
164.25,164.80672
256.95,261.1319
221.53,220.5992
164.25,164.12485
256.95,259.6047
258.88,259.24634
221.53,212.36
256.95,256.6706
193.0,193.6339
193.0,192.45418
127.49,128.41782
221.53,224.02792
164.25,162.7483
365.95,365.01773
365.95,365.6905
127.49,127.566376
365.95,366.1735
227.69,228.13434
227.69,227.53796
227.69,227.83261
127.49,127.45364
127.49,130.08531
196.86,193.20874
228.4,229.93172
196.86,196.36826
256.95,256.84604
227.69,228.13887
258.88,257.699
228.4,227.99243
258.88,258.2215
196.86,197.62463
227.69,227.68468
256.95,258.85233
127.49,129.61652
164.25,163.74396
227.69,228.1205
127.49,127.69154
256.95,256.66858
127.49,127.4156
221.53,218.9064
127.49,126.728676
228.4,228.33986
365.95,368.27643
193.0,193.52943
365.95,360.451
164.25,165.1057
196.86,197.82542
256.95,257.66553
365.95,365.85052
365.95,365.94757
196.86,195.94682
365.95,366.46118
228.4,228.79097
365.95,365.7798
227.69,227.78761
193.0,191.8011
167.66,168.20052
365.95,359.45456
258.88,259.4462
127.49,128.62619
221.53,221.1874
227.69,227.64958
164.25,164.44614
365.95,365.127
167.66,168.48984
258.88,258.42386
196.86,197.44974
258.88,258.048
221.53,222.96404
227.69,227.10583
228.4,233.81325
221.53,222.59256
228.4,228.37524
221.53,222.23947
