ytrain,ypred
62.0,61.932655
72.0,71.97269
71.0,70.53195
45.7,45.74415
71.0,70.9251
70.0,70.07868
65.0,65.11924
44.0,43.883133
58.0,57.435055
58.0,58.174778
65.0,65.02264
65.0,65.00299
44.0,43.853897
32.4,32.89994
71.0,70.98201
71.0,70.98591
70.0,69.964195
62.0,61.973232
62.0,61.994354
32.4,32.875675
32.4,32.424572
32.4,32.45422
68.0,68.12988
65.0,64.828186
62.0,61.97688
67.0,67.20992
62.0,61.93533
65.0,64.98915
72.0,71.67581
45.7,45.26655
68.0,67.85016
68.0,67.97172
71.0,71.05788
44.0,44.26777
68.0,67.77977
44.0,44.19412
68.0,67.98748
71.0,70.95063
72.0,71.94959
72.0,71.98624
65.0,65.19859
58.0,58.127724
68.0,68.019775
45.7,45.914787
44.0,43.79572
44.0,43.943024
70.0,69.966835
58.0,57.894234
45.7,45.882523
68.0,68.10324
65.0,64.758545
44.0,43.652317
67.0,66.90582
58.0,58.03879
67.0,67.50715
65.0,64.774185
58.0,57.896824
67.0,67.1403
71.0,70.99786
65.0,64.093506
67.0,66.77093
62.0,61.89036
62.0,62.01226
32.4,32.533096
65.0,65.166084
58.0,57.934544
72.0,72.00063
72.0,71.60054
32.4,32.444603
72.0,72.049866
70.0,70.00165
70.0,69.99039
70.0,70.04475
32.4,32.15441
32.4,32.604134
45.7,45.79687
68.0,68.06097
45.7,45.884388
67.0,67.41691
70.0,69.88061
71.0,70.94529
68.0,67.952324
71.0,70.93918
45.7,45.811985
70.0,70.085266
67.0,66.81811
32.4,32.45607
58.0,57.65537
70.0,70.06161
32.4,32.43703
67.0,67.26518
32.4,32.539265
65.0,64.63348
32.4,32.39792
68.0,68.08702
72.0,71.92731
62.0,62.18015
72.0,71.77981
58.0,58.441257
45.7,45.79348
67.0,67.08131
72.0,72.03382
72.0,71.97872
45.7,45.670467
72.0,72.00298
68.0,67.96049
72.0,71.99868
70.0,70.21966
62.0,62.0504
44.0,43.850292
72.0,71.79
71.0,70.906456
32.4,32.60107
65.0,64.72149
70.0,69.96929
58.0,58.084347
72.0,71.790634
44.0,44.09362
71.0,70.88533
45.7,45.824615
71.0,70.94199
65.0,65.132
70.0,69.958534
68.0,67.909195
65.0,65.02174
68.0,67.90293
65.0,65.16787
70.0,69.95799
65.0,64.981346
65.0,64.818054
67.0,67.527626
67.0,66.99375
72.0,71.962296
32.4,32.791542
45.7,45.7563
32.4,32.638603
44.0,44.06234
68.0,67.93851
71.0,70.91867
71.0,71.08059
44.0,44.03486
71.0,70.96677
32.4,32.392796
45.7,45.767075
67.0,66.99246
62.0,62.009396
44.0,43.870747
44.0,44.04486
71.0,70.98164
58.0,57.79741
71.0,70.92611
65.0,65.15981
32.4,32.302383
45.7,45.465492
71.0,70.886955
67.0,67.10955
58.0,58.05319
67.0,67.69942
68.0,67.93834
72.0,71.98624
58.0,57.88601
67.0,67.21268
65.0,64.95774
62.0,61.88871
67.0,66.92664
68.0,67.96748
32.4,33.041306
45.7,45.69761
44.0,43.885315
45.7,45.618256
72.0,71.95382
44.0,44.043396
44.0,44.234207
45.7,45.556416
72.0,71.944244
67.0,67.31217
68.0,67.98942
67.0,66.848175
72.0,71.94094
71.0,70.9303
72.0,71.92796
70.0,70.05509
45.7,45.506657
32.4,32.61494
62.0,62.02207
62.0,61.961327
70.0,69.70778
72.0,71.68298
58.0,58.35441
68.0,67.933815
70.0,69.8433
45.7,46.014496
71.0,71.01883
32.4,32.490513
62.0,62.505676
67.0,67.26619
67.0,67.072395
72.0,71.97575
67.0,66.99434
71.0,70.93215
72.0,72.0221
58.0,58.200386
58.0,57.243374
62.0,62.14233
67.0,66.87574
72.0,72.00721
62.0,61.99146
32.4,32.661804
70.0,69.88821
67.0,66.927444
62.0,61.95682
68.0,68.04404
32.4,32.609398
65.0,64.430084
44.0,44.280663
68.0,67.86258
58.0,58.00916
62.0,61.935993
67.0,67.09908
71.0,71.0662
62.0,62.064625
70.0,69.93548
70.0,69.899086
32.4,32.26394
67.0,67.193245
70.0,70.313705
70.0,70.10936
45.7,45.908337
44.0,43.912098
70.0,70.01668
45.7,45.343243
32.4,32.63922
70.0,69.58828
45.7,45.67217
72.0,71.85079
58.0,57.84395
32.4,32.1861
71.0,70.93692
32.4,32.5316
44.0,45.147835
62.0,61.934124
62.0,62.064037
44.0,44.02473
45.7,45.74685
67.0,67.0438
70.0,70.10435
44.0,43.9283
62.0,61.943726
70.0,69.74709
71.0,70.99599
32.4,32.490654
71.0,70.94552
72.0,71.96975
68.0,67.99037
68.0,67.955505
62.0,61.815598
68.0,68.06649
67.0,67.08932
58.0,57.99
32.4,32.2823
70.0,70.02244
62.0,61.95488
70.0,69.62036
65.0,65.000015
62.0,62.067093
71.0,71.0452
62.0,61.97108
65.0,65.1446
58.0,58.027256
65.0,65.25773
45.7,46.24485
68.0,68.02006
44.0,44.37123
65.0,64.9563
65.0,65.27469
72.0,71.76584
58.0,58.154156
44.0,44.6132
32.4,32.450356
58.0,57.749233
44.0,44.09759
71.0,70.661285
65.0,64.65617
62.0,61.982067
32.4,32.384903
32.4,32.117214
62.0,62.01698
67.0,67.09997
72.0,72.071434
67.0,67.105316
65.0,64.775
72.0,71.989655
71.0,70.99684
32.4,32.392776
58.0,57.857307
67.0,67.669266
71.0,70.84917
44.0,43.719875
72.0,72.03382
44.0,43.97403
68.0,67.97675
58.0,58.100323
72.0,71.221535
58.0,57.264782
32.4,32.28238
68.0,67.97561
68.0,68.017044
45.7,45.236984
72.0,71.94716
67.0,66.86125
58.0,58.103313
70.0,70.07513
58.0,56.88013
44.0,44.00492
70.0,70.01716
68.0,67.942375
32.4,32.63467
71.0,71.01244
72.0,72.00721
72.0,71.29627
72.0,71.97655
44.0,44.084274
67.0,67.192245
68.0,68.02153
72.0,72.0003
67.0,67.21908
44.0,43.95032
68.0,68.40464
72.0,71.966995
68.0,68.26631
45.7,45.451942
45.7,45.249043
68.0,67.8324
71.0,70.94585
70.0,69.982025
45.7,45.823135
70.0,70.03914
65.0,64.78125
32.4,32.55165
58.0,58.00594
62.0,62.03173
70.0,70.01228
58.0,58.01332
70.0,70.044266
32.4,32.234543
32.4,32.2715
67.0,67.04114
45.7,45.665646
68.0,67.949936
62.0,62.02364
62.0,61.975933
62.0,61.9861
32.4,32.404503
32.4,32.417614
70.0,69.68447
68.0,67.98946
62.0,61.979958
72.0,71.7847
45.7,45.67432
68.0,68.04359
71.0,70.931755
70.0,69.97375
62.0,61.97515
72.0,71.99838
45.7,45.133144
65.0,64.90234
45.7,45.636497
68.0,67.945496
67.0,67.056725
45.7,45.748684
71.0,71.0419
44.0,43.951504
62.0,62.003128
68.0,67.95988
62.0,62.02106
71.0,70.98897
67.0,66.99191
67.0,67.521034
70.0,70.02386
68.0,67.99681
65.0,64.66632
68.0,68.08378
45.7,45.80033
32.4,32.501987
62.0,61.921436
72.0,71.90954
71.0,71.13499
44.0,43.928326
65.0,65.02271
45.7,45.75062
67.0,67.28029
45.7,45.700123
32.4,32.210358
67.0,66.92238
65.0,65.026474
58.0,57.92272
72.0,72.00625
62.0,62.030525
68.0,68.024414
62.0,62.14816
71.0,71.13663
44.0,43.95505
62.0,61.935
32.4,32.322254
32.4,32.472248
68.0,68.02282
62.0,61.92841
67.0,66.89419
67.0,67.34693
62.0,62.04406
67.0,66.99919
70.0,70.04382
67.0,67.02001
65.0,65.177376
58.0,58.435776
68.0,67.919556
44.0,44.38075
68.0,67.99473
44.0,43.831726
62.0,62.028965
62.0,62.04288
71.0,70.97464
62.0,62.01491
