ytrain,ypred
115.7,115.678154
119.5,119.45533
124.7,124.05554
110.9,110.8729
124.7,124.6841
122.8,122.78849
117.2,117.161095
109.6,109.58898
111.5,111.51143
111.5,111.61876
117.2,117.03036
117.2,117.397224
109.6,109.5913
113.4,112.93375
124.7,124.71292
124.7,124.66732
122.8,122.841576
115.7,115.65371
115.7,115.72598
113.4,113.28645
113.4,113.21136
113.4,113.14889
120.2,120.28634
117.2,117.100204
115.7,115.65627
118.1,118.11245
115.7,115.67984
117.2,117.07431
119.5,119.292404
110.9,110.91311
120.2,120.23623
120.2,120.165634
124.7,124.75863
109.6,109.7288
120.2,119.934044
109.6,109.59577
120.2,120.077896
124.7,124.7079
119.5,119.524254
119.5,119.38817
117.2,116.89377
111.5,111.57368
120.2,120.157295
110.9,110.87067
109.6,109.72477
109.6,109.62931
122.8,122.79504
111.5,111.409
110.9,110.86102
120.2,120.163
117.2,117.2256
109.6,109.845566
118.1,117.95814
111.5,111.836716
118.1,118.11615
117.2,116.80041
111.5,111.50543
118.1,118.20009
124.7,124.721085
117.2,116.31486
118.1,118.20712
115.7,115.66779
115.7,115.63113
113.4,113.302055
117.2,117.10825
111.5,111.555275
119.5,119.391846
119.5,119.41398
113.4,113.32208
119.5,119.461136
122.8,122.84062
122.8,122.85155
122.8,122.849045
113.4,113.36964
113.4,113.19894
110.9,111.014854
120.2,120.25649
110.9,110.87696
118.1,118.092896
122.8,122.77736
124.7,124.55604
120.2,120.24904
124.7,124.71207
110.9,110.886024
122.8,122.830795
118.1,118.08941
113.4,113.36009
111.5,111.42176
122.8,122.82372
113.4,113.4152
118.1,118.117516
113.4,113.33977
117.2,117.06216
113.4,113.30417
120.2,120.21199
119.5,119.51789
115.7,115.68851
119.5,119.4091
111.5,111.64831
110.9,110.89509
118.1,118.197075
119.5,119.555855
119.5,119.49136
110.9,110.92196
119.5,119.51961
120.2,120.30328
119.5,119.46971
122.8,122.86239
115.7,115.765884
109.6,109.70847
119.5,119.41253
124.7,124.70044
113.4,113.15293
117.2,117.29658
122.8,122.7879
111.5,111.58378
119.5,119.43645
109.6,109.53534
124.7,124.74001
110.9,110.71833
124.7,124.739944
117.2,117.15699
122.8,122.69442
120.2,120.10404
117.2,117.253365
120.2,120.22725
117.2,117.313156
122.8,122.84007
117.2,117.292854
117.2,117.187965
118.1,118.180725
