ytrain,ypred
2.08,2.0765636
1.87,1.9006071
1.14,1.1409507
11.68,11.654826
1.14,1.1366256
1.16,1.1599574
2.09,2.0925193
14.49,14.48541
2.97,2.9845223
2.97,2.9233782
2.09,2.131798
2.09,2.1070287
14.49,14.485627
18.47,18.269833
1.14,1.1385138
1.14,1.1426679
1.16,1.1600842
2.08,2.080906
2.08,2.0758607
18.47,18.451456
18.47,18.3438
18.47,18.326063
1.25,1.2520987
2.09,2.1323607
2.08,2.0790508
2.06,2.0446367
2.08,2.075228
2.09,2.0909588
1.87,1.90795
11.68,11.846291
1.25,1.2487222
1.25,1.2544532
1.14,1.256603
14.49,14.501226
1.25,1.2462263
14.49,14.483102
1.25,1.2477005
1.14,1.1438344
1.87,1.8747487
1.87,1.8661656
2.09,2.1546252
2.97,2.9556575
1.25,1.2517715
11.68,11.759205
14.49,14.540948
14.49,14.544998
1.16,1.1608648
2.97,2.9853485
11.68,11.651904
1.25,1.2539935
2.09,2.0998025
14.49,14.113907
2.06,2.0610566
2.97,2.9121177
2.06,2.0112438
2.09,2.155986
2.97,2.8962774
2.06,2.0176105
1.14,1.1428676
2.09,2.284127
2.06,2.0632956
2.08,2.0769088
2.08,2.0857697
18.47,18.41664
2.09,2.0666084
2.97,2.9913328
1.87,1.8867399
1.87,1.8674068
18.47,18.46541
1.87,1.8662456
1.16,1.1641115
1.16,1.16229
1.16,1.2059723
18.47,18.459
18.47,18.426235
11.68,11.956208
1.25,1.2526138
11.68,11.637778
2.06,2.0139294
1.16,1.1613778
1.14,1.1350927
1.25,1.2526692
1.14,1.1426679
11.68,11.623121
1.16,1.1581452
2.06,2.0629056
18.47,18.474352
2.97,2.812245
1.16,1.1665037
18.47,18.454777
2.06,2.067892
18.47,18.477365
2.09,2.0455453
18.47,18.448385
1.25,1.2526405
1.87,1.8619514
2.08,2.0962737
1.87,1.9340733
2.97,2.931914
11.68,11.658316
2.06,2.0411422
1.87,1.8665633
1.87,1.8600107
11.68,11.654927
1.87,1.8665675
1.25,1.2506922
1.87,1.8989556
1.16,1.1593179
2.08,2.0780196
14.49,14.529479
1.87,1.9232509
1.14,1.148384
18.47,18.390991
2.09,2.0910087
1.16,1.1702138
2.97,2.9746275
1.87,1.8662193
14.49,14.496276
1.14,1.1426679
11.68,11.672922
1.14,1.1389037
2.09,2.0865662
1.16,1.1587647
1.25,1.2497497
2.09,2.0794365
1.25,1.2498724
2.09,2.070943
1.16,1.1501894
2.09,2.1783526
2.09,2.0959535
2.06,2.0196197
2.06,2.0639808
1.87,1.897951
18.47,18.3189
11.68,11.64324
18.47,18.467669
14.49,14.525711
1.25,1.2474499
1.14,1.1426679
1.14,1.1387459
14.49,14.495115
1.14,1.1385138
18.47,18.43746
11.68,11.622831
2.06,2.0766237
2.08,2.078218
14.49,14.481793
14.49,14.487072
1.14,1.1385138
2.97,3.0705464
1.14,1.1362175
2.09,2.0334404
18.47,18.452866
11.68,11.847264
1.14,1.143631
2.06,2.0515473
2.97,3.0086374
2.06,2.051321
1.25,1.2510566
1.87,1.8661656
2.97,3.0693886
2.06,2.0029893
2.09,2.151452
2.08,2.1047988
2.06,2.0648959
1.25,1.252
18.47,18.402775
11.68,11.640523
14.49,14.492278
11.68,11.709661
1.87,1.8700488
14.49,14.476001
14.49,14.4888735
11.68,11.700432
1.87,1.8732182
2.06,2.0147965
1.25,1.2447336
2.06,2.0651274
1.87,1.8638576
1.14,1.1408429
1.87,1.8720442
1.16,1.161098
11.68,11.748003
18.47,18.510214
2.08,2.0713134
2.08,2.0790143
1.16,1.1734023
1.87,1.9009774
2.97,2.963668
1.25,1.2480012
1.16,1.1613637
11.68,11.751049
1.14,1.1398432
18.47,18.444185
2.08,2.0737324
2.06,2.0303464
2.06,2.0650904
1.87,1.8989332
2.06,2.0044134
1.14,1.1357607
1.87,1.859276
2.97,2.9788964
2.97,3.153973
2.08,2.0757537
2.06,2.0252032
1.87,1.867593
2.08,2.075644
18.47,18.271317
1.16,1.1628348
2.06,2.041954
2.08,2.0760424
1.25,1.2537245
18.47,18.392204
2.09,2.120912
14.49,14.460169
1.25,1.2655548
2.97,2.9552317
2.08,2.0676913
2.06,2.066816
1.14,1.1405314
2.08,2.0832624
1.16,1.1627854
1.16,1.1697506
18.47,18.453745
2.06,2.0555453
1.16,1.1572782
1.16,1.1598898
11.68,11.605674
14.49,14.471893
1.16,1.1602025
11.68,11.661402
18.47,18.328289
1.16,1.1716907
11.68,11.649713
1.87,1.8998206
2.97,2.9916892
18.47,18.452522
1.14,1.1407797
18.47,18.437595
14.49,14.238451
2.08,2.0743718
2.08,2.0771077
14.49,14.476568
11.68,11.721311
2.06,2.0415657
1.16,1.1559454
14.49,14.47428
2.08,2.08059
1.16,1.1676245
1.14,1.1366256
18.47,18.44292
1.14,1.143001
1.87,1.8842658
1.25,1.2543503
1.25,1.2503717
2.08,2.091823
1.25,1.2532662
2.06,1.9966475
2.97,2.9871035
18.47,18.471899
1.16,1.1505443
2.08,2.0771077
1.16,1.1535509
2.09,2.0981874
2.08,2.0881023
1.14,1.1432793
2.08,2.079236
2.09,2.0869546
2.97,2.9472883
2.09,2.0624595
11.68,11.615402
1.25,1.2489928
14.49,14.457176
