ytrain,ypred
2.86,2.867018
4.32,4.313585
3.06,3.0672598
2.64,2.6373405
3.06,3.0611465
2.53,2.5332904
3.28,3.2658122
3.67,3.661868
3.87,3.847961
3.87,3.8415885
3.28,3.3103306
3.28,3.2772324
3.67,3.6809392
2.74,2.7159836
3.06,3.0617797
3.06,3.0559094
2.53,2.5172646
2.86,2.8454494
2.86,2.879798
2.74,2.7254913
2.74,2.7352612
2.74,2.719537
3.81,3.8056996
3.28,3.3233998
2.86,2.8625855
3.45,3.4522345
2.86,2.8587444
3.28,3.2771618
4.32,4.303317
2.64,2.638141
3.81,3.8068206
3.81,3.7937708
3.06,3.0668359
3.67,3.6689
3.81,3.808833
3.67,3.6733413
3.81,3.8100085
3.06,3.0585003
4.32,4.3046284
4.32,4.326641
3.28,3.2868385
3.87,3.8794541
3.81,3.8249836
2.64,2.634216
3.67,3.7027361
3.67,3.6534123
2.53,2.5310445
3.87,3.8701353
2.64,2.6362915
3.81,3.8151858
3.28,3.257988
3.67,3.6703882
3.45,3.4491143
3.87,3.8491278
3.45,3.4654465
3.28,3.3017344
3.87,3.8690662
3.45,3.464638
3.06,3.0590649
3.28,3.3496718
3.45,3.4719503
2.86,2.864084
2.86,2.863695
2.74,2.7404134
3.28,3.2672935
3.87,3.875772
4.32,4.315079
4.32,4.2954674
2.74,2.744184
4.32,4.337213
2.53,2.5264306
2.53,2.5366516
2.53,2.5328467
2.74,2.7459173
2.74,2.7266667
2.64,2.6727197
3.81,3.8279543
2.64,2.6337595
3.45,3.455757
2.53,2.5158207
3.06,3.0611677
3.81,3.8142211
3.06,3.0387616
2.64,2.6293492
2.53,2.520663
3.45,3.437386
2.74,2.7383947
3.87,3.8821821
2.53,2.5353649
2.74,2.7338448
3.45,3.448988
2.74,2.7500412
3.28,3.3216085
2.74,2.743446
3.81,3.809402
4.32,4.332541
2.86,2.8874507
4.32,4.265919
3.87,3.87495
2.64,2.6355155
3.45,3.4392297
4.32,4.335369
4.32,4.3190055
2.64,2.6392782
4.32,4.3435993
3.81,3.812079
4.32,4.308677
2.53,2.5242195
2.86,2.864627
3.67,3.670772
4.32,4.268542
3.06,3.06292
2.74,2.731904
3.28,3.2804525
2.53,2.5366883
3.87,3.841588
4.32,4.3199487
3.67,3.676005
3.06,3.0630226
2.64,2.6315196
3.06,3.0579498
3.28,3.2888606
2.53,2.5291393
3.81,3.7976894
3.28,3.282374
3.81,3.809256
3.28,3.3074563
2.53,2.5284245
3.28,3.2931433
3.28,3.3070881
3.45,3.460161
3.45,3.453923
4.32,4.326281
2.74,2.7244673
2.64,2.6322136
2.74,2.7618515
3.67,3.6819158
3.81,3.8101387
3.06,3.0628414
3.06,3.053529
3.67,3.6708777
3.06,3.0563338
2.74,2.7382343
2.64,2.6370265
3.45,3.4565883
2.86,2.871681
3.67,3.6687982
3.67,3.6743035
3.06,3.059111
3.87,3.8613555
3.06,3.043462
3.28,3.2663083
2.74,2.742339
2.64,2.6470659
3.06,3.0533319
3.45,3.4314873
3.87,3.883701
3.45,3.4614055
3.81,3.798155
4.32,4.326641
3.87,3.8662815
3.45,3.4522111
3.28,3.2799382
2.86,2.851115
3.45,3.4475493
3.81,3.813275
2.74,2.7305417
2.64,2.6404583
3.67,3.6627035
2.64,2.639757
4.32,4.3170066
3.67,3.6752958
3.67,3.67249
2.64,2.6385703
4.32,4.3251877
3.45,3.4499736
3.81,3.7830641
3.45,3.4373248
4.32,4.3254247
3.06,3.057962
4.32,4.334209
2.53,2.5523307
2.64,2.6375391
2.74,2.7395258
2.86,2.8661537
2.86,2.860163
2.53,2.5612392
4.32,4.3214617
3.87,3.8593712
3.81,3.8131697
2.53,2.5381098
2.64,2.6420922
3.06,3.0586045
2.74,2.7396107
2.86,2.8557186
3.45,3.4361656
3.45,3.4434178
4.32,4.3359594
3.45,3.4468813
3.06,3.0629983
4.32,4.3203034
