ytrain,ypred
53.58,53.66008
53.87,53.966667
77.85,78.097404
32.55,32.58551
77.85,77.81424
55.01,55.056534
58.62,58.987892
31.54,31.545778
47.03,46.57765
47.03,47.148823
58.62,58.00321
58.62,58.706917
31.54,31.561134
29.81,30.215006
77.85,77.790306
77.85,77.7001
55.01,55.082756
53.58,53.618156
53.58,53.674965
29.81,30.04728
29.81,30.070833
29.81,30.32262
85.21,85.24216
58.62,58.81684
53.58,53.740467
72.11,72.14262
53.58,53.613888
58.62,58.349472
53.87,54.840527
32.55,32.29218
85.21,84.8345
85.21,85.195145
77.85,77.74271
31.54,31.832895
85.21,85.18039
31.54,31.735226
85.21,85.262054
77.85,77.920105
53.87,54.21465
53.87,53.303017
58.62,58.43546
47.03,47.112488
85.21,85.24401
32.55,32.534206
31.54,31.60773
31.54,31.485857
55.01,55.06228
47.03,46.861313
32.55,32.605835
85.21,85.296036
58.62,58.335827
31.54,32.199432
72.11,72.12687
47.03,47.205017
72.11,71.063705
58.62,58.193733
47.03,46.96675
72.11,71.118195
77.85,77.92917
58.62,57.384357
72.11,71.88944
53.58,53.45923
53.58,53.493114
29.81,29.836344
58.62,58.61516
47.03,47.12461
53.87,53.94205
53.87,53.809765
29.81,29.787767
53.87,53.988667
55.01,54.962357
55.01,54.966347
55.01,55.03129
29.81,29.72724
29.81,29.988382
32.55,32.51175
85.21,85.20599
32.55,32.712975
72.11,72.12198
55.01,54.945568
77.85,77.80112
85.21,85.18046
77.85,77.491356
32.55,32.657837
55.01,54.984512
72.11,72.45109
29.81,29.730087
47.03,46.62805
55.01,54.98109
29.81,29.878113
72.11,72.140175
29.81,29.883118
58.62,58.599426
29.81,29.74421
85.21,85.20896
53.87,53.77223
53.58,53.718597
53.87,54.675877
47.03,47.147522
32.55,32.804478
72.11,71.65929
53.87,53.816322
53.87,53.77912
32.55,32.59923
53.87,53.900337
85.21,85.24022
53.87,53.935715
55.01,55.10523
53.58,53.48867
31.54,31.547234
53.87,53.799873
77.85,78.08242
29.81,29.761892
58.62,58.74609
55.01,55.27299
47.03,47.300755
53.87,53.938824
31.54,31.574356
77.85,77.67209
32.55,32.710827
77.85,77.80662
58.62,58.67513
55.01,55.034725
85.21,84.92922
58.62,58.86811
85.21,85.29142
58.62,58.95535
55.01,55.28035
58.62,58.553944
58.62,58.48004
72.11,71.577736
72.11,72.02331
53.87,53.879112
29.81,30.182636
32.55,32.620823
29.81,29.99023
31.54,31.517284
85.21,85.27854
77.85,77.76045
77.85,77.836624
31.54,31.585983
77.85,77.85314
29.81,29.763742
32.55,32.481007
72.11,72.21708
53.58,53.467117
31.54,31.42092
31.54,31.666101
77.85,77.75473
47.03,47.34677
77.85,77.96506
58.62,58.673454
29.81,29.8055
32.55,32.09466
77.85,76.79137
72.11,71.366425
47.03,47.07053
72.11,71.52108
85.21,85.14267
53.87,53.303017
47.03,47.041676
72.11,71.71946
58.62,58.499256
53.58,53.602894
72.11,72.05723
85.21,85.22735
29.81,30.091719
32.55,32.752625
31.54,31.838419
32.55,32.622437
53.87,53.863735
31.54,31.567017
31.54,31.584806
32.55,32.59946
53.87,53.664223
72.11,71.96317
85.21,84.40164
72.11,71.939514
53.87,53.877354
77.85,77.96812
53.87,53.950718
55.01,55.329983
32.55,32.457672
29.81,29.651108
53.58,53.738144
53.58,53.729977
55.01,55.115154
53.87,54.009285
47.03,47.019577
85.21,85.23781
55.01,55.031834
32.55,32.62766
77.85,77.73626
29.81,29.738295
53.58,54.106415
72.11,71.78476
72.11,71.671486
53.87,53.69165
72.11,71.531006
77.85,77.962456
53.87,54.117012
47.03,46.83683
47.03,46.567276
53.58,53.725357
72.11,72.12308
53.87,53.844322
53.58,53.965942
29.81,30.288713
55.01,54.949795
72.11,71.96495
53.58,53.400482
85.21,85.20551
29.81,30.013927
58.62,57.801826
31.54,31.481127
85.21,85.194405
47.03,47.035557
53.58,53.71604
72.11,71.65214
77.85,77.975334
53.58,53.334175
55.01,55.02364
55.01,55.00007
29.81,29.762995
72.11,72.143394
55.01,54.925518
55.01,55.011936
32.55,32.614132
31.54,31.372133
55.01,54.98536
32.55,32.576824
29.81,30.003021
55.01,55.026848
32.55,32.397152
53.87,53.752007
47.03,47.06768
29.81,29.766754
77.85,77.675224
29.81,29.895838
31.54,32.59604
53.58,53.53699
53.58,53.67402
31.54,31.57191
32.55,32.372383
72.11,72.18646
55.01,55.04268
31.54,31.64516
53.58,53.623154
55.01,55.013565
77.85,77.928535
29.81,29.792465
77.85,77.81226
53.87,53.78204
85.21,84.86151
85.21,85.21799
53.58,53.745945
85.21,85.27937
72.11,71.82016
47.03,46.950092
29.81,29.816374
55.01,55.14449
53.58,53.68722
55.01,54.99449
58.62,58.817097
53.58,53.393276
77.85,77.84214
53.58,53.761574
58.62,58.350708
47.03,47.37167
58.62,58.505432
32.55,32.565823
85.21,85.26247
31.54,31.608818
58.62,58.942543
58.62,58.63686
53.87,53.83509
47.03,46.82413
31.54,30.924145
29.81,29.728798
47.03,46.847492
31.54,31.860111
77.85,77.791336
58.62,58.38036
53.58,53.660423
29.81,29.758137
29.81,29.745111
53.58,53.57766
72.11,72.47402
53.87,53.8146
72.11,72.18487
58.62,58.742287
53.87,53.97344
77.85,77.76585
29.81,29.689926
47.03,47.206585
72.11,72.56183
77.85,77.89764
31.54,31.153423
53.87,53.816322
31.54,31.554558
85.21,85.08917
47.03,46.784256
53.87,54.639748
47.03,47.14859
29.81,30.030455
85.21,84.966324
85.21,85.32189
32.55,32.58656
53.87,54.20878
72.11,72.32721
47.03,47.615524
55.01,54.941277
47.03,45.635246
31.54,31.684187
55.01,54.88382
85.21,85.20723
29.81,30.179045
77.85,77.823845
53.87,53.844322
53.87,54.80403
53.87,53.734768
31.54,31.489155
72.11,72.14799
85.21,85.25816
53.87,53.939777
72.11,71.9434
31.54,31.578829
85.21,85.2012
53.87,53.890877
85.21,85.11608
32.55,32.17345
32.55,32.521122
85.21,85.1387
77.85,77.47494
55.01,55.099335
32.55,32.573666
55.01,55.363346
58.62,58.57444
29.81,29.839695
47.03,47.090454
53.58,53.512253
55.01,55.193085
47.03,46.844345
55.01,54.99883
29.81,29.783728
29.81,29.848814
72.11,71.97377
32.55,32.55705
85.21,85.05297
53.58,53.642403
53.58,53.54376
53.58,53.586845
29.81,29.792583
29.81,29.894323
55.01,54.953384
85.21,85.245964
53.58,53.528835
53.87,53.894756
32.55,32.582275
85.21,85.08914
77.85,77.914894
55.01,54.67918
53.58,53.50188
53.87,54.06188
32.55,32.200687
58.62,58.386333
32.55,32.408752
85.21,85.10132
72.11,72.29964
32.55,32.571445
77.85,77.703415
31.54,32.202812
53.58,53.562878
85.21,85.126755
53.58,53.45084
77.85,77.95111
72.11,72.01659
72.11,71.438545
55.01,55.030804
85.21,85.21605
58.62,58.488297
85.21,85.1688
32.55,32.664833
29.81,29.711046
53.58,53.49404
53.87,54.031357
77.85,78.0134
31.54,30.884218
58.62,58.686195
32.55,32.437847
72.11,72.19925
32.55,32.596207
29.81,29.918596
72.11,71.95215
58.62,58.841385
47.03,47.20193
53.87,53.772366
53.58,53.58964
85.21,85.16119
53.58,53.28581
77.85,77.91832
31.54,31.779657
53.58,53.48608
29.81,29.779295
29.81,29.775415
85.21,85.162575
53.58,53.578304
72.11,72.132324
72.11,72.37555
53.58,53.742264
72.11,72.09845
55.01,55.087257
72.11,71.99274
58.62,58.276062
47.03,46.80967
85.21,85.13689
31.54,31.583767
85.21,85.295395
31.54,31.635921
53.58,54.04719
53.58,53.58247
77.85,77.8188
53.58,53.66449
85.21,85.21753
55.01,55.194195
72.11,72.09932
32.55,32.320892
53.58,53.83306
72.11,72.05315
31.54,31.223352
58.62,58.184277
47.03,46.913303
31.54,31.672085
29.81,29.856625
55.01,54.987843
32.55,32.36706
55.01,55.072247
53.58,53.480057
72.11,72.43968
55.01,55.10565
47.03,46.948788
55.01,54.913948
53.58,53.623676
31.54,31.461334
53.58,53.581165
85.21,85.25327
72.11,71.9283
31.54,31.376854
53.87,53.880978
58.62,58.23186
77.85,77.814674
31.54,31.486504
58.62,58.826572
32.55,32.37119
55.01,54.9875
29.81,29.798529
72.11,72.23121
72.11,71.81099
53.87,53.944115
53.58,53.893703
58.62,58.492928
29.81,29.955055
55.01,55.09623
31.54,31.65453
77.85,78.00341
55.01,55.437366
47.03,47.208782
29.81,29.844824
58.62,58.659725
53.58,53.631924
77.85,77.98357
55.01,54.93973
85.21,84.90201
77.85,77.80646
29.81,29.701326
77.85,77.87125
53.58,53.596935
29.81,29.784204
53.58,53.607944
53.87,53.898773
53.58,53.77718
85.21,85.20865
32.55,32.66495
85.21,85.33568
47.03,47.140057
72.11,72.39013
47.03,46.960407
85.21,85.19718
31.54,31.660206
55.01,54.88994
32.55,32.48404
29.81,29.769188
31.54,31.21909
31.54,31.364191
53.87,54.159344
85.21,85.23578
72.11,72.550705
47.03,46.686455
31.54,31.347979
32.55,32.573917
53.87,53.848267
58.62,57.680607
72.11,72.038155
32.55,32.38696
58.62,58.688198
77.85,77.83867
31.54,31.714668
85.21,85.31333
32.55,32.39504
72.11,71.81199
29.81,30.298702
58.62,58.743896
