ytrain,ypred
6.65,6.6912823
5.76,5.8179283
7.74,7.748864
4.72,4.7584844
7.74,7.7209344
7.45,7.4553123
10.68,10.828626
4.56,4.5985446
4.96,4.8902745
4.96,5.047993
10.68,10.704654
10.68,10.722808
4.56,4.5538874
3.11,3.2606325
7.74,7.768063
7.74,7.8678565
7.45,7.49957
6.65,6.626858
6.65,6.4895334
3.11,3.115954
3.11,3.138323
3.11,3.185045
6.84,6.7826886
10.68,10.743447
6.65,6.7958684
12.67,12.661882
6.65,6.65424
10.68,10.688892
5.76,5.927144
4.72,4.60151
6.84,6.816648
6.84,6.822434
7.74,7.830228
4.56,4.5891743
6.84,6.81317
4.56,4.542655
6.84,6.8361306
7.74,7.705889
5.76,5.7871437
5.76,5.762716
10.68,10.6989765
4.96,4.9427843
6.84,6.8198404
4.72,4.770277
4.56,4.5945287
4.56,4.6032095
7.45,7.426358
4.96,4.905603
4.72,4.7391996
6.84,6.8233004
10.68,10.621544
4.56,4.57759
12.67,12.722547
4.96,5.012689
12.67,12.427691
10.68,10.553916
4.96,4.9850974
12.67,12.405801
7.74,7.7081504
10.68,10.223683
12.67,12.288784
6.65,6.692476
6.65,6.6611686
3.11,3.1616333
10.68,10.70726
4.96,4.951788
5.76,5.794646
5.76,5.761489
3.11,3.1428308
5.76,5.677341
7.45,7.449706
7.45,7.4593587
7.45,7.48568
3.11,3.0893023
3.11,3.2815042
4.72,4.677215
6.84,6.8566995
4.72,4.7577643
12.67,12.514646
7.45,7.4752197
7.74,7.746945
6.84,6.8485274
7.74,7.735452
4.72,4.7423997
7.45,7.3859186
12.67,12.69753
3.11,3.0832295
4.96,4.900655
7.45,7.4306116
3.11,3.025759
12.67,12.746905
3.11,3.1317194
10.68,10.673834
3.11,3.1286254
6.84,6.855465
5.76,5.776695
6.65,6.7194204
5.76,6.0890923
4.96,4.947438
4.72,4.7537513
12.67,12.603475
5.76,5.783188
5.76,5.7713633
4.72,4.719583
5.76,5.807272
6.84,6.8821325
5.76,5.808985
7.45,7.4542193
6.65,6.6105614
4.56,4.516192
5.76,5.855666
7.74,7.7509475
3.11,3.1777194
10.68,10.69177
7.45,7.4109454
4.96,4.936277
5.76,5.935705
4.56,4.5112925
7.74,7.7524447
4.72,4.7619047
7.74,7.751896
10.68,10.775685
7.45,7.434996
6.84,7.137882
10.68,10.706507
6.84,6.8183823
10.68,10.690896
7.45,7.596766
10.68,10.594339
10.68,10.68991
12.67,12.616292
12.67,12.774916
5.76,5.70346
3.11,3.1996377
4.72,4.7270336
3.11,3.0774677
4.56,4.528866
6.84,6.835774
7.74,7.7034235
7.74,7.7340035
4.56,4.540214
7.74,7.7456417
3.11,3.0784295
4.72,4.726704
12.67,12.7733965
6.65,6.6195865
4.56,4.5949106
4.56,4.5769153
7.74,7.7347946
4.96,4.6930118
7.74,7.6994843
10.68,10.714008
3.11,3.1232634
4.72,4.5225105
7.74,7.749339
12.67,12.68561
4.96,5.0187097
12.67,12.559319
6.84,6.826837
5.76,5.762716
4.96,4.8979707
12.67,12.468288
10.68,10.717004
6.65,6.576707
12.67,12.771625
6.84,6.791968
3.11,3.2362242
4.72,4.752385
4.56,4.5544167
4.72,4.7319193
5.76,5.682374
4.56,4.5183935
4.56,4.4882097
4.72,4.73731
5.76,5.7319813
12.67,12.634471
