ytrain,ypred
60.21,60.23926
63.54,63.5368
65.07,65.01709
55.67,55.744656
65.07,65.026
66.72,66.716774
57.99,57.967567
57.11,57.12202
57.14,57.138157
57.14,57.186344
57.99,57.845528
57.99,57.9721
57.11,57.13307
53.31,53.51346
65.07,65.06898
65.07,65.05851
66.72,66.697586
60.21,60.223457
60.21,60.348053
53.31,53.357742
53.31,53.407246
53.31,53.37663
56.53,56.550667
57.99,57.85825
60.21,60.110138
63.23,63.221394
60.21,60.379368
57.99,57.947742
63.54,63.51596
55.67,55.549904
56.53,56.56488
56.53,56.626274
65.07,65.094
57.11,57.11584
56.53,56.475567
57.11,57.13395
56.53,56.592705
65.07,65.123985
63.54,63.535305
63.54,63.515404
57.99,57.810295
57.14,57.142975
56.53,56.555416
55.67,55.684357
57.11,57.143486
57.11,57.111588
66.72,66.68005
57.14,57.14296
55.67,55.714657
56.53,56.570847
57.99,57.95732
57.11,57.22606
63.23,63.006508
57.14,57.17242
63.23,63.31498
57.99,57.92165
57.14,57.116505
63.23,63.269558
65.07,65.08161
57.99,57.780178
63.23,63.236774
60.21,60.182705
60.21,60.244354
53.31,53.318703
57.99,57.964024
57.14,57.15805
63.54,63.553856
63.54,63.509457
53.31,53.32439
63.54,63.517567
66.72,66.72729
66.72,66.7184
66.72,66.745636
53.31,53.300602
53.31,53.633457
55.67,55.923344
56.53,56.4266
55.67,55.674755
63.23,63.21882
66.72,66.727356
65.07,65.0601
56.53,56.508373
65.07,65.118996
55.67,55.676205
66.72,66.72945
63.23,63.226566
53.31,53.216934
57.14,57.147068
66.72,66.70537
53.31,53.33484
63.23,63.254963
53.31,53.25851
57.99,57.88874
53.31,53.316826
56.53,56.557415
63.54,63.52347
60.21,59.83274
63.54,63.530178
57.14,57.207657
55.67,55.737926
63.23,63.22667
63.54,63.53686
63.54,63.522655
55.67,55.594017
63.54,63.53586
56.53,56.5505
63.54,63.544727
66.72,66.71157
60.21,60.21572
57.11,57.15592
63.54,63.522045
65.07,65.102036
53.31,53.315525
57.99,58.025593
66.72,66.65464
57.14,57.12951
63.54,63.510353
57.11,57.07399
65.07,65.09214
55.67,55.655342
65.07,65.05708
57.99,58.02404
66.72,66.67506
56.53,56.54557
57.99,58.112793
56.53,56.425392
57.99,58.015614
66.72,66.72211
57.99,58.029133
57.99,57.999935
63.23,63.267097
63.23,63.256237
63.54,63.55631
53.31,53.382656
55.67,55.675434
53.31,53.33759
57.11,57.105583
56.53,56.53017
65.07,65.0497
65.07,65.051384
57.11,57.112152
65.07,65.08794
53.31,53.30026
55.67,55.62553
63.23,63.2673
60.21,60.182888
57.11,57.109978
57.11,57.1271
65.07,65.121254
57.14,56.84664
65.07,65.12458
57.99,57.96324
53.31,53.266502
55.67,55.474148
65.07,65.08166
63.23,63.236217
57.14,57.11345
63.23,63.280567
56.53,56.641365
63.54,63.515404
57.14,57.11126
63.23,63.292458
57.99,58.079018
60.21,60.17059
63.23,63.24346
56.53,56.471664
53.31,53.373287
55.67,55.70148
57.11,57.134544
55.67,55.67935
63.54,63.524708
57.11,57.045967
57.11,57.167015
55.67,55.66343
63.54,63.519707
63.23,63.11716
56.53,56.61531
63.23,63.18038
63.54,63.516064
65.07,65.01402
63.54,63.50839
66.72,66.70949
55.67,55.738495
53.31,53.27605
60.21,60.31853
60.21,60.15894
66.72,66.64768
63.54,63.525494
57.14,57.164608
56.53,56.642227
66.72,66.73575
55.67,55.645054
