ytrain,ypred
0.26,0.26026314
0.23,0.22994159
0.21,0.21337827
0.27,0.26984587
0.21,0.21077813
0.19,0.18977255
0.33,0.32928374
0.28,0.28108972
0.24,0.24229181
0.24,0.23903455
0.33,0.32818797
0.33,0.33026785
0.28,0.27850443
0.24,0.24305405
0.21,0.21041793
0.21,0.21000092
0.19,0.18965231
0.26,0.2610243
0.26,0.26014528
0.24,0.24155919
0.24,0.24100518
0.24,0.24419992
0.26,0.26014847
0.33,0.33029294
0.26,0.26271957
0.27,0.26877633
0.26,0.25947672
0.33,0.33003494
0.23,0.23163186
0.27,0.2694844
0.26,0.26065305
0.26,0.25963843
0.21,0.21092056
0.28,0.28052044
0.26,0.25925177
0.28,0.28061828
0.26,0.26008663
0.21,0.21057299
0.23,0.23019294
0.23,0.23003443
0.33,0.3295745
0.24,0.23795551
0.26,0.2602771
0.27,0.26948524
0.28,0.27933112
0.28,0.2789847
0.19,0.19056462
0.24,0.24018683
0.27,0.27118543
0.26,0.25990438
0.33,0.3304639
0.28,0.27854222
0.27,0.27016535
0.24,0.24061944
0.27,0.26876193
0.33,0.3274419
0.24,0.23920067
0.27,0.26942697
0.21,0.20945978
0.33,0.32585204
0.27,0.26854703
0.26,0.26022646
0.26,0.25907108
0.24,0.24044597
0.33,0.33118698
0.24,0.24111797
0.23,0.22982478
0.23,0.2325413
0.24,0.24060427
0.23,0.22871725
0.19,0.18958691
0.19,0.1901673
0.19,0.18960758
0.24,0.23765069
0.24,0.24245977
0.27,0.26487324
0.26,0.26109773
0.27,0.2677374
0.27,0.26924837
0.19,0.19006856
0.21,0.21010575
0.26,0.25969756
0.21,0.20949738
0.27,0.27105486
0.19,0.18964387
0.27,0.27137735
0.24,0.2393501
0.24,0.2373978
0.19,0.18997057
0.24,0.23926091
0.27,0.26975822
0.24,0.2388867
0.33,0.3312363
0.24,0.23953453
0.26,0.26022545
0.23,0.22968832
0.26,0.26452047
0.23,0.24053346
0.24,0.23933592
0.27,0.2703966
0.27,0.26881263
0.23,0.22899285
0.23,0.23019399
0.27,0.26865035
0.23,0.22998683
0.26,0.26082945
0.23,0.23076522
0.19,0.18988772
0.26,0.26069486
0.28,0.2795518
0.23,0.23461433
0.21,0.20923285
0.24,0.24124563
0.33,0.33001715
0.19,0.19009002
0.24,0.24153678
0.23,0.23247194
0.28,0.27991426
0.21,0.20941098
0.27,0.2711965
0.21,0.21096946
0.33,0.33007225
0.19,0.19024736
0.26,0.26068404
0.33,0.33010617
0.26,0.26021707
0.33,0.32712454
0.19,0.18917882
0.33,0.329908
0.33,0.32993633
0.27,0.2695281
0.27,0.26986957
0.23,0.22903685
0.24,0.24004884
0.27,0.272594
0.24,0.23989707
0.28,0.27989838
0.26,0.260165
0.21,0.21064709
0.21,0.2111054
0.28,0.27932435
0.21,0.20938186
