ytrain,ypred
5.49,5.5257564
4.72,4.7493196
6.58,6.6052127
3.43,3.425784
6.58,6.5841804
5.1,5.0971665
5.24,5.2387056
5.95,5.955523
5.31,5.317689
5.31,5.3243732
5.24,5.245393
5.24,5.226191
5.95,5.9522758
2.97,2.989847
6.58,6.581079
6.58,6.5850906
5.1,5.1033735
5.49,5.491619
5.49,5.4316077
2.97,3.0100634
2.97,2.9964385
2.97,3.0126348
6.41,6.4066834
5.24,5.2526765
5.49,5.477669
6.76,6.7569323
5.49,5.5034375
5.24,5.237162
4.72,4.841103
3.43,3.4161923
6.41,6.42392
6.41,6.407846
6.58,6.593117
5.95,5.978317
6.41,6.4004345
5.95,5.956384
6.41,6.405847
6.58,6.5689387
4.72,4.7139463
4.72,4.7340717
5.24,5.3007884
5.31,5.3137083
6.41,6.4051785
3.43,3.4267213
5.95,5.9171133
5.95,5.9416184
5.1,5.1093206
5.31,5.2928333
3.43,3.4356909
6.41,6.4122977
5.24,5.2645955
5.95,5.867282
6.76,6.732233
5.31,5.297304
6.76,6.700396
5.24,5.268814
5.31,5.3272367
6.76,6.724459
6.58,6.5814
5.24,5.2811847
6.76,6.5741634
5.49,5.482763
5.49,5.4873185
2.97,2.984915
5.24,5.235311
5.31,5.3420877
4.72,4.750723
4.72,4.710118
2.97,2.9706614
4.72,4.675472
5.1,5.0970387
5.1,5.1018367
5.1,5.098882
2.97,2.9660997
2.97,2.9738047
3.43,3.5141854
6.41,6.410747
3.43,3.447919
6.76,6.782466
5.1,5.098356
6.58,6.5735416
6.41,6.4019084
6.58,6.5658913
3.43,3.437061
5.1,5.110578
6.76,6.7607155
2.97,2.9689586
5.31,5.3042736
5.1,5.0901475
2.97,2.982482
6.76,6.7947836
2.97,2.9561303
5.24,5.2530866
2.97,2.963391
6.41,6.4027104
4.72,4.7144217
5.49,5.426312
4.72,4.8269973
5.31,5.31734
3.43,3.4359841
6.76,6.7604995
4.72,4.7207026
4.72,4.6846433
3.43,3.4245648
4.72,4.724485
6.41,6.3939085
4.72,4.759676
5.1,5.0854683
5.49,5.478712
5.95,5.9525394
4.72,4.7619104
6.58,6.574458
2.97,2.970885
5.24,5.2103014
5.1,5.133372
5.31,5.346881
4.72,4.7622566
5.95,5.965353
6.58,6.581623
3.43,3.436138
6.58,6.574809
5.24,5.244734
5.1,5.1092134
6.41,6.401284
5.24,5.3004084
6.41,6.404913
5.24,5.239857
5.1,5.0951014
5.24,5.239564
5.24,5.237223
6.76,6.722119
6.76,6.7655144
4.72,4.7336326
2.97,2.9736702
3.43,3.4701927
2.97,2.9858541
5.95,5.9821196
6.41,6.400251
6.58,6.5796556
6.58,6.598099
5.95,5.9635134
6.58,6.576116
2.97,2.9838786
3.43,3.4212177
6.76,6.762924
5.49,5.4970493
5.95,5.9499974
5.95,5.9544373
6.58,6.577358
5.31,5.3368764
6.58,6.5699844
5.24,5.2700853
2.97,2.9621809
3.43,3.400195
6.58,6.560645
6.76,6.7501645
5.31,5.2880735
6.76,6.7406473
6.41,6.4031262
4.72,4.7340717
5.31,5.3699884
6.76,6.683717
5.24,5.237676
5.49,5.5146437
6.76,6.77546
6.41,6.4086742
2.97,2.9787965
3.43,3.4365008
5.95,5.9430137
3.43,3.4372258
4.72,4.7149534
5.95,5.907498
5.95,5.9741354
3.43,3.4349627
4.72,4.7148466
6.76,6.743846
6.41,6.428609
6.76,6.747406
4.72,4.724076
6.58,6.5740795
4.72,4.716862
5.1,5.1686196
3.43,3.404823
2.97,2.957412
5.49,5.453734
5.49,5.49607
5.1,5.09762
4.72,4.724184
5.31,5.30588
6.41,6.403911
5.1,5.1095786
3.43,3.4330082
6.58,6.577971
2.97,2.9772336
5.49,5.468736
6.76,6.6913996
6.76,6.7276015
4.72,4.7107368
6.76,6.756514
6.58,6.5720396
4.72,4.717634
5.31,5.3122573
5.31,5.282329
5.49,5.525685
6.76,6.754855
4.72,4.705853
5.49,5.433093
2.97,2.9707253
5.1,5.1193137
6.76,6.754968
5.49,5.4684267
6.41,6.409866
2.97,2.96355
5.24,5.2852383
5.95,5.946546
6.41,6.423189
5.31,5.2991066
5.49,5.5015173
6.76,6.7736006
6.58,6.570217
5.49,5.516187
5.1,5.099796
5.1,5.1286225
2.97,2.9701054
6.76,6.732764
5.1,5.1050835
5.1,5.0946174
3.43,3.4164557
5.95,5.8608217
5.1,5.1025248
3.43,3.4156055
2.97,2.9745855
5.1,5.133865
3.43,3.4251602
4.72,4.738762
5.31,5.3065844
2.97,2.9564273
6.58,6.56561
2.97,2.970389
5.95,5.8124824
5.49,5.509424
5.49,5.517793
5.95,5.955519
3.43,3.4290261
6.76,6.7883863
5.1,5.0886602
5.95,5.9221463
5.49,5.4705625
5.1,5.109854
6.58,6.565342
2.97,2.97664
6.58,6.5785427
4.72,4.7238007
6.41,6.4217215
6.41,6.4028993
5.49,5.485137
6.41,6.4105997
6.76,6.6389675
5.31,5.2410107
2.97,2.9644568
5.1,5.0799494
5.49,5.5122643
5.1,5.098126
5.24,5.2350307
5.49,5.479409
6.58,6.5987344
5.49,5.517463
5.24,5.236163
5.31,5.2808094
5.24,5.244359
3.43,3.4424543
6.41,6.407657
5.95,5.9781504
5.24,5.239551
5.24,5.266378
4.72,4.6999
5.31,5.3040614
5.95,5.964239
2.97,2.967874
5.31,5.341714
5.95,5.9588532
6.58,6.5795603
5.24,5.2768283
5.49,5.4769373
2.97,2.9594917
2.97,2.9801168
5.49,5.4916606
6.76,6.7616434
4.72,4.718508
6.76,6.7550416
5.24,5.2302866
4.72,4.717139
6.58,6.5751357
2.97,2.970836
5.31,5.292886
6.76,6.7060914
6.58,6.5916953
5.95,5.937514
4.72,4.7207026
5.95,5.947
6.41,6.414295
5.31,5.283047
4.72,4.881244
5.31,5.341698
2.97,2.9630356
6.41,6.416794
6.41,6.411715
3.43,3.4594426
4.72,4.7522893
6.76,6.7665505
5.31,5.312116
5.1,5.098673
5.31,5.2803855
5.95,5.949183
5.1,5.083282
6.41,6.406876
2.97,3.0088491
6.58,6.554998
4.72,4.705853
4.72,4.7855644
4.72,4.7189407
5.95,5.9394417
6.76,6.7864347
6.41,6.4131727
4.72,4.7193537
6.76,6.7543674
5.95,5.9461517
6.41,6.4035296
4.72,4.7038226
6.41,6.4117374
3.43,3.4252892
3.43,3.4299169
6.41,6.444184
6.58,6.508503
5.1,5.110533
3.43,3.4365623
5.1,5.154053
5.24,5.2531304
2.97,2.97486
5.31,5.3153076
5.49,5.4828205
5.1,5.1055584
5.31,5.319058
5.1,5.133535
2.97,2.9818273
2.97,2.952881
6.76,6.742337
3.43,3.4309587
6.41,6.424009
5.49,5.4555187
5.49,5.4882035
5.49,5.4922156
2.97,2.9840732
2.97,2.9786382
5.1,5.093122
6.41,6.4298887
5.49,5.433328
4.72,4.760549
3.43,3.43404
6.41,6.4179296
6.58,6.58298
5.1,5.070904
5.49,5.492171
4.72,4.7170763
3.43,3.438371
5.24,5.243292
3.43,3.437604
6.41,6.423805
6.76,6.767881
3.43,3.4185061
6.58,6.5788894
5.95,5.9492803
5.49,5.4618144
6.41,6.3903866
5.49,5.511034
6.58,6.5973573
6.76,6.765302
6.76,6.6984553
5.1,5.095901
6.41,6.4376364
5.24,5.262366
6.41,6.4073896
3.43,3.4319382
2.97,2.983624
5.49,5.504768
4.72,4.7176747
6.58,6.5966396
5.95,5.929449
5.24,5.2507563
3.43,3.4229124
6.76,6.749786
3.43,3.431477
2.97,2.9589636
6.76,6.7591615
5.24,5.258571
5.31,5.317424
4.72,4.719338
5.49,5.5334897
6.41,6.412941
5.49,5.4491906
6.58,6.5640883
5.95,5.931594
5.49,5.4714622
2.97,2.9973369
2.97,2.9716039
6.41,6.4130096
5.49,5.482819
6.76,6.7687073
6.76,6.768629
5.49,5.4985323
6.76,6.743598
5.1,5.097687
6.76,6.8096633
5.24,5.2443466
5.31,5.2953362
6.41,6.4235425
5.95,5.9473643
6.41,6.428402
5.95,5.9576173
5.49,5.4672537
5.49,5.512672
6.58,6.582233
5.49,5.4875965
6.41,6.4098306
5.1,5.1048846
6.76,6.6934667
3.43,3.459333
5.49,5.462268
6.76,6.7355313
5.95,5.9531145
5.24,5.2522054
5.31,5.230907
5.95,5.9517093
2.97,2.9819293
5.1,5.100085
3.43,3.4339347
5.1,5.112388
5.49,5.5055366
6.76,6.696147
5.1,5.1021986
5.31,5.310278
5.1,5.0960016
5.49,5.433588
5.95,5.928998
5.49,5.467384
6.41,6.4018917
6.76,6.7837067
5.95,5.929974
4.72,4.721189
5.24,5.2280765
6.58,6.5575547
5.95,5.938167
5.24,5.2413473
3.43,3.423764
5.1,5.11168
2.97,2.957124
6.76,6.774185
6.76,6.7145963
4.72,4.719978
5.49,5.50259
5.24,5.238353
2.97,2.9745967
5.1,5.109359
5.95,5.9347606
6.58,6.557691
5.1,5.172861
5.31,5.3100033
2.97,2.9760523
5.24,5.238504
5.49,5.524046
6.58,6.594991
5.1,5.1123576
6.41,6.4032803
6.58,6.638738
2.97,2.963358
6.58,6.562061
5.49,5.4874773
2.97,2.977488
5.49,5.4913096
4.72,4.718146
5.49,5.504275
6.41,6.4098277
3.43,3.4328372
6.41,6.4030995
5.31,5.278421
6.76,6.778057
5.31,5.2980757
6.41,6.4053183
5.95,5.941102
5.1,5.1322527
3.43,3.429281
2.97,2.9676135
5.95,5.9454646
5.95,5.9338136
4.72,4.707567
6.41,6.4235125
6.76,6.7893224
5.31,5.282842
5.95,5.9392424
3.43,3.4417236
4.72,4.7088246
5.24,5.296718
6.76,6.795758
3.43,3.397865
5.24,5.2445188
6.58,6.570186
5.95,5.943013
6.41,6.4186964
3.43,3.424046
6.76,6.7158313
2.97,2.9886286
5.24,5.2448688
6.58,6.5787945
3.43,3.4300823
6.58,6.5843024
6.58,6.562191
6.76,6.765021
4.72,4.7226357
6.41,6.4083524
6.41,6.413922
2.97,2.9683433
6.76,6.779563
5.24,5.255665
5.1,5.086521
5.49,5.5103326
5.1,5.097036
5.49,5.4910994
6.58,6.576124
5.95,5.9523587
5.95,5.9739347
5.49,5.444435
3.43,3.418251
6.76,6.782667
3.43,3.4292421
6.41,6.3831778
2.97,2.9903638
5.24,5.2351813
5.49,5.473088
4.72,4.733551
6.58,6.5723357
4.72,4.746453
5.24,5.2564397
5.95,5.9240584
5.95,5.8740983
5.31,5.283452
5.49,5.509382
3.43,3.4315627
3.43,3.450631
6.76,6.65189
6.58,6.557617
5.1,5.0648527
5.49,5.489554
3.43,3.4167612
2.97,2.9749122
5.49,5.526676
4.72,4.709948
5.24,5.237701
5.31,5.3253365
6.58,6.5832334
5.31,5.3014536
3.43,3.3897321
2.97,2.9917035
5.95,5.944584
5.49,5.4851155
5.1,5.092177
5.95,5.964959
3.43,3.4416192
5.95,5.9656563
5.95,5.950964
5.95,5.977236
5.31,5.322478
6.76,6.7379913
4.72,4.726697
5.24,5.234486
6.76,6.7407613
6.58,6.5664277
6.58,6.6033626
6.41,6.3957734
5.49,5.4311957
3.43,3.439966
5.49,5.4907093
3.43,3.4242225
5.31,5.314963
2.97,2.9755187
6.41,6.418515
6.76,6.6810656
6.58,6.585925
5.95,5.9500575
5.49,5.4486084
4.72,4.727854
5.24,5.2398653
6.76,6.7502084
5.95,5.949674
6.41,6.417006
3.43,3.434495
3.43,3.4068
6.41,6.4179
6.58,6.585256
4.72,4.767728
6.41,6.4103003
5.24,5.2195373
5.31,5.332765
5.95,5.815038
5.49,5.4985356
3.43,3.4218266
6.41,6.4111395
6.41,6.4309945
6.41,6.412508
5.24,5.2589417
5.49,5.485532
5.24,5.232495
4.72,4.7133
5.49,5.485727
3.43,3.383371
6.41,6.4123755
4.72,4.7262025
5.1,5.1050043
3.43,3.4296844
6.76,6.768725
5.31,5.2798595
6.58,6.601931
6.76,6.742222
6.58,6.5681143
5.95,5.9324303
5.31,5.4268837
6.41,6.422934
5.1,5.095308
6.41,6.405887
6.41,6.404359
6.41,6.397446
4.72,4.807456
6.76,6.755983
5.95,5.9547977
2.97,2.9922793
6.41,6.400517
6.76,6.739013
6.41,6.417395
5.1,5.114056
3.43,3.424463
5.31,5.331006
5.31,5.3186936
6.41,6.4245214
5.31,5.333128
6.41,6.41009
6.76,6.753085
3.43,3.4322653
6.76,6.6958694
5.24,5.2419486
5.95,5.9688425
6.58,6.5777707
4.72,4.7380915
6.58,6.571747
5.1,5.0904255
6.41,6.4198
6.58,6.572538
5.95,5.9498987
6.41,6.415093
4.72,4.718146
6.76,6.7485075
6.58,6.5668845
5.31,5.3184905
5.49,5.4849358
2.97,2.9546854
5.31,5.3130913
5.1,5.1172047
3.43,3.4078093
5.49,5.4896064
4.72,4.7199397
2.97,2.9759853
6.58,6.5908613
3.43,3.421547
5.24,5.2603354
6.41,6.4289155
5.31,5.3118176
3.43,3.463663
3.43,3.3519244
5.95,5.965873
5.24,5.241871
2.97,3.0180337
5.24,5.2734046
2.97,2.9767158
2.97,2.9471705
6.58,6.578955
5.95,5.9275985
5.1,5.1087146
5.31,5.32415
6.58,6.591694
6.76,6.7540774
5.1,5.099641
4.72,4.720354
6.58,6.6251535
6.58,6.5761285
5.95,5.936096
6.58,6.5757537
4.72,4.721189
5.31,5.294246
5.1,5.1024733
5.1,5.099099
3.43,3.4515653
2.97,2.9585783
5.1,5.105926
5.31,5.316445
2.97,2.9631934
5.49,5.4735446
5.31,5.3270164
5.24,5.2408113
6.41,6.4107137
3.43,3.4244978
6.41,6.403218
5.31,5.341106
4.72,4.7327385
5.95,5.911573
5.31,5.322007
6.41,6.4143276
5.24,5.233966
6.76,6.7417088
3.43,3.4316752
5.31,5.3335247
5.1,5.1120405
4.72,4.7079415
6.41,6.416639
6.58,6.578504
5.24,5.2439356
4.72,4.7299757
5.24,5.2381577
4.72,4.765456
5.95,5.971108
6.41,6.4193573
4.72,4.8245087
6.41,6.403481
5.24,5.2376046
6.58,6.5976024
5.31,5.33541
5.95,5.9553967
5.1,5.0983405
6.58,6.5740795
6.58,6.576874
5.49,5.4609804
4.72,4.7136307
5.1,5.097086
4.72,4.7240925
5.49,5.5195985
5.1,5.1032257
5.24,5.2052336
5.95,5.9759817
4.72,4.7226048
4.72,4.6993523
5.1,5.0839295
6.41,6.4002533
5.24,5.2411404
5.49,5.488866
5.24,5.2518244
3.43,3.431301
6.76,6.7515473
5.1,5.0998826
5.95,5.9475446
5.95,5.95236
3.43,3.4299822
3.43,3.3592799
4.72,4.7180266
6.76,6.7008214
6.58,6.575467
6.41,6.406377
5.1,5.0835032
5.49,5.4795384
5.24,5.280293
6.58,6.577246
6.76,6.5487294
6.58,6.5810575
5.24,5.259638
5.31,5.2981663
5.49,5.48058
5.49,5.466861
5.95,5.9631467
6.41,6.41696
6.58,6.578644
6.58,6.579466
5.95,5.976403
6.41,6.3919377
3.43,3.4386683
5.1,5.1204233
4.72,4.7358828
6.76,6.7535067
4.72,4.736353
6.58,6.58273
5.95,5.9451876
3.43,3.4018273
5.24,5.225466
5.31,5.3127666
5.49,5.498935
5.31,5.3027177
5.1,5.114998
5.1,5.105877
5.95,5.9482465
5.1,5.094623
6.76,6.7485604
2.97,2.9673133
5.49,5.480751
4.72,4.726677
5.31,5.2677536
2.97,2.9875436
3.43,3.4391446
5.24,5.250181
5.95,5.945298
6.41,6.3991976
5.1,5.0937786
6.58,6.632597
6.41,6.4110055
5.1,5.1136293
5.31,5.308672
5.95,5.95065
6.58,6.57262
2.97,2.9917145
5.95,5.9410844
4.72,4.7151437
5.95,5.9048166
3.43,3.451715
5.24,5.234668
5.1,5.0938535
5.1,5.0999885
2.97,2.9658735
2.97,2.9789765
3.43,3.402122
5.24,5.246097
6.58,6.556135
4.72,4.7250834
4.72,4.7189407
2.97,2.971474
4.72,4.7909803
5.95,5.917691
5.24,5.2418585
3.43,3.4038343
5.24,5.2347565
5.24,5.238502
6.41,6.4097824
3.43,3.4214056
6.58,6.577441
5.31,5.329711
6.58,6.5788956
5.24,5.231266
5.31,5.2789593
5.31,5.3323946
3.43,3.3982134
6.76,6.761464
5.95,5.9695115
5.31,5.285185
5.95,5.915278
5.24,5.24923
5.24,5.237408
3.43,3.4241912
6.76,6.638562
5.31,5.326399
5.1,5.0939035
6.58,6.578656
5.1,5.097454
5.1,5.08737
5.49,5.523199
5.1,5.1013117
5.31,5.3140144
5.24,5.2650266
5.24,5.2762775
5.1,5.0869117
3.43,3.4250722
6.58,6.5703435
5.49,5.477733
6.76,6.7540727
5.95,5.9458156
6.41,6.4128613
3.43,3.4403312
6.58,6.585893
5.95,5.9510765
5.49,5.483543
5.1,5.1064625
5.31,5.319049
3.43,3.367022
5.95,5.939262
5.49,5.4897504
6.58,6.5618286
2.97,2.9491866
3.43,3.409167
5.49,5.4833264
6.58,6.5671244
4.72,4.7134404
5.1,5.0980062
2.97,2.962705
2.97,2.998825
5.49,5.4902387
5.24,5.266925
2.97,2.9662037
6.58,6.592293
5.49,5.443181
5.1,5.100525
6.76,6.6393757
3.43,3.4225674
5.31,5.3053427
4.72,4.7290907
4.72,4.7360806
6.41,6.3915777
6.41,6.40533
5.49,5.4840717
5.95,5.951391
5.95,5.9328628
2.97,2.9786315
6.41,6.4193997
5.95,5.938555
5.31,5.346824
5.95,5.9615417
5.31,5.3279877
5.24,5.240414
5.1,5.102633
5.49,5.4864197
6.58,6.5885377
6.41,6.416713
5.95,5.959904
5.24,5.2831774
5.95,5.9434395
3.43,3.4046433
2.97,2.9676049
6.41,6.4194355
5.31,5.320279
6.58,6.576151
5.1,5.1139083
6.41,6.4017587
2.97,2.969889
4.72,4.716607
5.1,5.1102223
5.95,5.9534116
6.76,6.764356
5.24,5.2287407
3.43,3.4624124
5.1,5.097197
5.31,5.325948
5.31,5.331711
4.72,4.712853
6.76,6.770815
5.31,5.323416
5.49,5.4828243
5.24,5.2581325
6.41,6.410148
2.97,2.9374278
5.24,5.139921
6.76,6.7483582
5.31,5.3282695
5.95,5.965754
5.1,5.093965
6.76,6.748205
5.31,5.3054423
5.24,5.2457995
6.41,6.4189477
5.1,5.098509
5.1,5.091963
4.72,4.7242527
5.31,5.315183
3.43,3.4288857
5.95,5.955028
5.24,5.300769
6.41,6.4148664
6.41,6.4195256
6.76,6.7315483
2.97,2.973908
6.76,6.790746
5.49,5.4583693
5.24,5.269267
4.72,4.7010922
5.1,5.0951724
6.41,6.417616
4.72,4.713149
5.1,5.0941963
3.43,3.440798
5.31,5.327581
5.49,5.478118
6.76,6.7679763
5.1,5.109762
5.24,5.2433867
5.95,5.9115148
4.72,4.799902
5.95,5.944813
6.41,6.4141736
5.31,5.3530383
3.43,3.4290638
6.41,6.4314556
5.1,5.0863104
4.72,4.750723
6.76,6.778124
3.43,3.4246135
6.58,6.5780034
5.31,5.314826
5.1,5.1177044
5.31,5.3117623
6.76,6.7689934
6.41,6.4116716
5.24,5.244962
3.43,3.4268422
2.97,2.970211
2.97,2.993182
5.49,5.4927716
5.24,5.147216
3.43,3.4293873
5.49,5.4992914
6.41,6.4139957
5.31,5.3105593
2.97,2.9794126
2.97,2.9611993
4.72,4.7291164
6.58,6.580253
2.97,2.970368
4.72,4.6729503
3.43,3.4168723
4.72,4.7310653
5.95,5.9518895
5.31,5.310542
5.95,5.925882
5.31,5.3113337
6.58,6.5628443
5.24,5.2453833
6.76,6.773859
4.72,4.7071757
6.58,6.574896
6.76,6.740378
2.97,2.9841247
5.24,5.242252
3.43,3.4378068
6.58,6.576693
2.97,2.956931
5.1,5.1191015
4.72,4.7298384
4.72,4.7509947
5.95,5.957213
5.31,5.3009415
6.76,6.776733
6.41,6.4074965
5.95,5.9290037
6.41,6.4086013
5.95,5.9291177
5.1,5.1055603
5.1,5.098596
4.72,4.7171893
6.58,6.5612006
5.24,5.2401657
5.24,5.252601
2.97,2.973655
6.41,6.398768
6.58,6.5943103
6.41,6.400584
3.43,3.4272976
5.24,5.239885
2.97,2.9807642
