ytrain,ypred
0.00176,-0.00033852647
0.0026,0.0022532674
0.02872,0.02635137
0.09265,0.093177274
0.02872,0.028293325
0.0234,0.025078326
0.00229,0.0018929137
0.117604,0.11856938
0.00323,0.0069050463
0.00323,0.0037775324
0.00229,0.0024280644
0.00229,0.002241659
0.117604,0.11692698
0.15382,0.15187684
0.02872,0.027706975
0.02872,0.028353015
0.0234,0.023749806
0.00176,0.0015999561
0.00176,0.0018279742
0.15382,0.15427774
0.15382,0.14946635
0.15382,0.15192127
0.00097,0.0010375391
0.00229,0.0018393161
0.00176,0.0020516822
0.00058,0.0012483593
0.00176,0.0016040633
0.00229,0.0029138003
0.0026,0.0026662005
0.09265,0.09598978
0.00097,0.000914101
0.00097,0.0012734601
0.02872,0.028529452
0.117604,0.11534995
0.00097,0.00053115893
0.117604,0.11477149
0.00097,0.0014546564
0.02872,0.028975515
0.0026,0.0021135285
0.0026,0.004392834
0.00229,0.0023137932
0.00323,0.0031851593
0.00097,0.0011579066
0.09265,0.09196866
0.117604,0.11478012
0.117604,0.1182963
0.0234,0.022938272
0.00323,0.0034194193
0.09265,0.09273882
0.00097,0.00065147976
0.00229,0.0028714337
0.117604,0.115864165
0.00058,0.0010502296
0.00323,0.0041048764
0.00058,0.0010255949
0.00229,0.0024303733
0.00323,0.005507442
0.00058,0.0011147828
0.02872,0.028667096
0.00229,0.0011291471
0.00058,0.0012424792
0.00176,0.0010116975
0.00176,0.0017407965
0.15382,0.15445141
0.00229,0.0020976323
0.00323,0.002780607
0.0026,0.0023974
0.0026,0.0019703116
0.15382,0.1536722
0.0026,0.0021095125
0.0234,0.02172595
0.0234,0.023112373
0.0234,0.022830877
0.15382,0.15540746
0.15382,0.15280204
0.09265,0.09264962
0.00097,0.001199387
0.09265,0.092555165
0.00058,0.00056614116
0.0234,0.022876184
0.02872,0.028527537
0.00097,0.0010394045
0.02872,0.02819894
0.09265,0.09153154
0.0234,0.021723047
0.00058,0.0004237352
0.15382,0.15307292
