ytrain,ypred
0.153,0.15427676
0.121,0.12136252
0.119,0.12213026
0.207,0.20648499
0.119,0.11957559
0.123,0.12245289
0.143,0.14258353
0.235,0.2349192
0.218,0.21805272
0.218,0.21631676
0.143,0.14676985
0.143,0.140978
0.235,0.23598616
0.187,0.18952183
0.119,0.11927358
0.119,0.11956423
0.123,0.12177168
0.153,0.15350312
0.153,0.15196875
0.187,0.1879438
0.187,0.18893741
0.187,0.18910523
0.149,0.14830801
0.143,0.14201762
0.153,0.1533523
0.147,0.14627813
0.153,0.15264377
0.143,0.14387172
0.121,0.12236139
0.207,0.20649587
0.149,0.14880896
0.149,0.14834237
0.119,0.118967794
0.235,0.23284124
0.149,0.14984962
0.235,0.23592609
0.149,0.14938298
0.119,0.11868528
0.121,0.1215983
0.121,0.12051979
0.143,0.14355814
0.218,0.21680206
0.149,0.1484403
0.207,0.20690125
0.235,0.23271382
0.235,0.23398018
0.123,0.1234795
0.218,0.21928245
0.207,0.20762311
0.149,0.14939865
0.143,0.14367774
0.235,0.23312357
0.147,0.14708234
0.218,0.21576759
0.147,0.14350264
0.143,0.14266036
0.218,0.21900772
0.147,0.14651145
0.119,0.11898994
0.143,0.14741041
0.147,0.14769435
0.153,0.15331906
0.153,0.15164976
0.187,0.18740238
0.143,0.13973106
0.218,0.21752363
0.121,0.121207
0.121,0.1254792
0.187,0.18651325
0.121,0.12047154
0.123,0.12365619
0.123,0.1227405
0.123,0.12307745
0.187,0.18595912
0.187,0.18907876
0.207,0.20690179
0.149,0.14855252
0.207,0.20904908
0.147,0.14736506
0.123,0.122989565
0.119,0.11910183
0.149,0.1489692
0.119,0.119116284
0.207,0.2070715
0.123,0.12235571
0.147,0.14709178
0.187,0.18688174
0.218,0.2160725
0.123,0.12436109
0.187,0.18691637
0.147,0.14731406
0.187,0.18600795
0.143,0.14390054
0.187,0.1868489
0.149,0.14863569
0.121,0.121208906
0.153,0.15497991
0.121,0.120917276
0.218,0.21764895
0.207,0.20720516
0.147,0.14624979
0.121,0.11974017
0.121,0.12092305
0.207,0.20769043
0.121,0.12112437
0.149,0.15008086
0.121,0.122190885
0.123,0.1236868
0.153,0.15275228
0.235,0.23622423
0.121,0.120888144
0.119,0.12003271
0.187,0.18856284
0.143,0.14112294
0.123,0.123217195
0.218,0.21828493
0.121,0.122079566
0.235,0.23436427
0.119,0.119136356
0.207,0.20692639
0.119,0.11906683
0.143,0.14157271
0.123,0.12343573
0.149,0.14995846
0.143,0.14185472
0.149,0.14931291
0.143,0.1437336
0.123,0.12260375
0.143,0.14200737
0.143,0.14187825
0.147,0.14640121
0.147,0.1464951
0.121,0.120684266
0.187,0.18809582
0.207,0.20697564
0.187,0.18749969
0.235,0.23765925
0.149,0.14977446
0.119,0.11921146
0.119,0.11893995
0.235,0.23423283
0.119,0.11739137
0.187,0.18693611
0.207,0.2072553
0.147,0.14881621
0.153,0.15406479
0.235,0.23544505
0.235,0.23458374
0.119,0.11852127
0.218,0.21659605
0.119,0.1191467
0.143,0.14204532
0.187,0.1867123
0.207,0.20385434
0.119,0.11894303
0.147,0.14656289
0.218,0.21757582
0.147,0.1426857
0.149,0.14909653
0.121,0.12051979
0.218,0.2183273
0.147,0.14406703
0.143,0.14227174
0.153,0.15316774
0.147,0.14737834
0.149,0.1476718
0.187,0.19000167
0.207,0.20730178
0.235,0.23613513
0.207,0.2078865
0.121,0.12139337
0.235,0.23334934
0.235,0.23601589
0.207,0.20700185
0.121,0.12160106
0.147,0.14706384
0.149,0.14786275
0.147,0.1481687
0.121,0.121126615
0.119,0.118973434
0.121,0.12140762
0.123,0.122852705
0.207,0.20638071
0.187,0.18718591
0.153,0.15114465
0.153,0.153247
0.123,0.12437414
0.121,0.12018938
0.218,0.217974
0.149,0.1488328
0.123,0.12182733
0.207,0.20740795
0.119,0.11895524
0.187,0.18678543
0.153,0.15103765
0.147,0.14689611
0.147,0.14520474
0.121,0.1209133
0.147,0.1448263
0.119,0.1187183
0.121,0.12112582
0.218,0.21798202
0.218,0.2178497
0.153,0.15220268
0.147,0.14595956
0.121,0.12133314
0.153,0.1537192
0.187,0.18892974
0.123,0.12421234
0.147,0.14676218
0.153,0.15431552
0.149,0.14894305
0.187,0.18854533
0.143,0.1439057
0.235,0.23410608
0.149,0.14858086
0.218,0.21820112
0.153,0.15305705
0.147,0.14566717
0.119,0.11849966
0.153,0.1551858
0.123,0.12370869
0.123,0.12366073
0.187,0.18885195
0.147,0.14507309
0.123,0.12185749
0.123,0.12238156
0.207,0.20744234
0.235,0.23505716
0.123,0.122878134
0.207,0.20539793
0.187,0.18786223
0.123,0.124575414
0.207,0.20621917
0.121,0.121009186
0.218,0.2189193
0.187,0.18690768
0.119,0.11987384
0.187,0.18816812
0.235,0.23157203
0.153,0.15316373
0.153,0.15318964
0.235,0.23502968
0.207,0.20539843
0.147,0.14660224
0.123,0.12379985
0.235,0.23460197
0.153,0.1530873
0.123,0.12387419
0.119,0.118124895
0.187,0.18739544
0.119,0.119478375
0.121,0.122055106
0.149,0.14900862
0.149,0.14900556
0.153,0.15338393
0.149,0.14906582
0.147,0.1445679
0.218,0.21639639
0.187,0.18773659
0.123,0.12324058
0.153,0.15303233
0.123,0.123359196
0.143,0.14214318
0.153,0.15262319
0.119,0.12099315
0.153,0.15358739
0.143,0.14230347
0.218,0.21618612
0.143,0.14360933
0.207,0.20741259
0.149,0.14905937
0.235,0.2344782
0.143,0.1430352
0.143,0.14250095
0.121,0.1210226
0.218,0.21499063
0.235,0.2329579
0.187,0.18710268
0.218,0.21796648
0.235,0.23435
0.119,0.1185027
0.143,0.14339869
0.153,0.15329824
0.187,0.1870616
0.187,0.18687752
0.153,0.1522603
0.147,0.14662784
0.121,0.122198656
0.147,0.1476459
0.143,0.14289148
0.121,0.121276
0.119,0.119282216
0.187,0.18651386
0.218,0.21904643
0.147,0.143965
0.119,0.11856101
0.235,0.23491181
0.121,0.11974017
0.235,0.23586759
0.149,0.14855076
0.218,0.21984166
0.121,0.1254275
0.218,0.21765158
0.187,0.18611862
0.149,0.14988488
0.149,0.14924246
0.207,0.20760663
0.121,0.121188074
0.147,0.14693382
0.218,0.21800803
0.123,0.12339272
0.218,0.21763936
0.235,0.23628014
0.123,0.12240551
0.149,0.14894937
0.187,0.18746318
0.119,0.11950337
0.121,0.12133314
0.121,0.12405513
