ytrain,ypred
101.4,101.34123
72.9,72.8673
75.2,74.95024
64.5,64.61393
75.2,75.22468
78.1,78.10507
71.5,71.7496
65.7,65.70407
69.3,69.172195
69.3,69.29246
71.5,71.06093
71.5,71.79462
65.7,65.76323
68.7,68.14363
75.2,75.07876
75.2,75.02179
78.1,77.871605
101.4,101.25083
101.4,101.01729
68.7,68.34664
68.7,68.56505
68.7,68.30277
70.8,70.90348
71.5,71.26928
101.4,100.64004
67.9,67.840164
101.4,101.477005
71.5,71.46325
72.9,72.449036
64.5,64.45101
70.8,70.81015
70.8,70.63589
75.2,74.930984
65.7,65.89374
70.8,70.93982
65.7,65.768684
70.8,70.65108
75.2,75.30374
72.9,72.83148
72.9,72.789696
71.5,71.12358
69.3,69.30506
70.8,70.636604
64.5,64.38866
65.7,65.689255
65.7,65.7252
78.1,78.06415
69.3,69.09428
64.5,64.49119
70.8,70.856346
71.5,71.53692
65.7,66.14098
67.9,67.86765
69.3,69.331635
67.9,68.25291
71.5,71.1799
69.3,69.24093
67.9,68.02755
75.2,75.18095
71.5,71.445305
67.9,68.158
101.4,101.281715
101.4,101.442635
68.7,68.678696
71.5,71.299995
69.3,69.22456
72.9,72.91895
72.9,72.34489
68.7,68.751274
72.9,72.91267
78.1,78.078094
78.1,78.11906
78.1,78.11367
68.7,68.83574
68.7,68.44082
64.5,64.91146
70.8,70.8325
64.5,64.64396
67.9,68.03961
78.1,78.11415
75.2,75.2898
70.8,71.233986
75.2,75.20657
64.5,64.467415
78.1,78.01307
67.9,67.56194
68.7,68.83366
69.3,69.32232
78.1,78.312874
68.7,68.75661
67.9,67.68799
68.7,68.733315
71.5,71.140945
68.7,68.37201
70.8,70.808136
72.9,72.892075
101.4,100.27135
72.9,72.94163
69.3,69.36119
64.5,64.45617
67.9,68.04644
72.9,72.78402
72.9,72.9216
64.5,64.49613
72.9,72.970276
70.8,70.90163
72.9,72.94944
78.1,78.24272
101.4,101.36869
65.7,65.72213
72.9,73.02493
75.2,75.19901
68.7,68.784004
71.5,71.233765
78.1,78.14305
69.3,69.30916
72.9,72.63095
65.7,65.611145
75.2,75.166534
64.5,64.41335
75.2,75.14731
71.5,71.23956
78.1,78.115486
70.8,70.69954
71.5,71.17712
70.8,70.78188
71.5,71.405815
78.1,78.26262
71.5,71.24065
71.5,71.23586
67.9,68.03089
67.9,67.96524
72.9,72.81175
68.7,68.574715
64.5,64.51669
68.7,68.71065
65.7,65.61558
70.8,70.61496
75.2,75.16789
75.2,75.169846
65.7,65.45428
75.2,75.22101
68.7,68.644485
64.5,64.52055
67.9,67.796425
101.4,101.18525
65.7,65.893616
65.7,65.86279
75.2,75.12056
69.3,69.4549
75.2,75.232086
71.5,71.53861
68.7,68.66416
64.5,64.956314
75.2,75.32982
67.9,67.89474
69.3,69.24456
67.9,68.30558
70.8,70.855
72.9,72.789696
69.3,69.44601
67.9,68.444176
