ytrain,ypred
2.4,2.4103277
2.9,2.8936129
3.3,3.2915542
1.9,1.899142
3.3,3.2981553
3.2,3.2008116
2.8,2.787188
1.7,1.6963956
1.8,1.7714133
1.8,1.8135402
2.8,2.7615926
2.8,2.8034306
1.7,1.6980017
1.3,1.3430053
3.3,3.299315
3.3,3.2992828
3.2,3.191622
2.4,2.399543
2.4,2.4001217
1.3,1.3215431
1.3,1.3086752
1.3,1.3075042
2.5,2.5081296
2.8,2.7865744
2.4,2.40441
2.6,2.610772
2.4,2.404003
2.8,2.8076196
2.9,2.8814385
1.9,1.8891313
2.5,2.500031
2.5,2.5031466
3.3,3.316747
1.7,1.7065493
2.5,2.4970033
1.7,1.7115396
2.5,2.5008714
3.3,3.3023362
2.9,2.9005864
2.9,2.905872
2.8,2.7901924
1.8,1.8071377
2.5,2.5006773
1.9,1.9035338
1.7,1.7116568
1.7,1.7096947
3.2,3.200622
1.8,1.7843112
1.9,1.8985151
2.5,2.4923084
2.8,2.7853117
1.7,1.6820995
2.6,2.5921893
1.8,1.8019611
2.6,2.6140273
2.8,2.777623
1.8,1.8035073
2.6,2.6073194
3.3,3.2999566
2.8,2.7648773
2.6,2.5996149
2.4,2.396814
2.4,2.3869772
1.3,1.3097821
2.8,2.817091
1.8,1.7978646
2.9,2.885666
2.9,2.8885398
1.3,1.3010685
2.9,2.9044425
3.2,3.2104468
3.2,3.2039607
3.2,3.194098
1.3,1.3008833
1.3,1.316953
1.9,1.8814243
2.5,2.4995089
1.9,1.901793
2.6,2.591266
3.2,3.1925874
3.3,3.2977848
2.5,2.5054734
3.3,3.2987857
1.9,1.9143996
3.2,3.1997259
2.6,2.597726
1.3,1.3096259
1.8,1.7791017
3.2,3.1988926
1.3,1.308989
2.6,2.5828838
1.3,1.3091664
2.8,2.7455568
1.3,1.2986364
2.5,2.5026371
2.9,2.9031873
2.4,2.4138334
2.9,2.9006548
1.8,1.8096637
1.9,1.9058229
2.6,2.604665
2.9,2.9016087
2.9,2.8959682
1.9,1.8846627
2.9,2.8988552
2.5,2.5045614
2.9,2.8988276
3.2,3.1979344
2.4,2.39755
1.7,1.6987196
2.9,2.8955185
3.3,3.2997077
1.3,1.3082923
2.8,2.8132133
3.2,3.1994684
1.8,1.7892476
2.9,2.8934681
1.7,1.7052424
3.3,3.29889
1.9,1.9091537
3.3,3.297519
2.8,2.8426814
3.2,3.1718717
2.5,2.498027
2.8,2.8061757
2.5,2.4962535
2.8,2.8162825
3.2,3.1991355
2.8,2.8006246
2.8,2.7826576
2.6,2.6037183
2.6,2.592574
2.9,2.898606
1.3,1.324185
1.9,1.9062337
1.3,1.2823246
1.7,1.6973104
2.5,2.4833438
3.3,3.2975645
3.3,3.2987294
1.7,1.6892189
3.3,3.300036
1.3,1.3094218
1.9,1.9021747
2.6,2.587389
2.4,2.3995378
1.7,1.6940372
1.7,1.6981654
3.3,3.3005693
1.8,1.7594377
3.3,3.3033464
2.8,2.8019893
1.3,1.297581
1.9,1.89677
3.3,3.2987013
2.6,2.613092
1.8,1.8018081
2.6,2.6185145
2.5,2.4975502
2.9,2.905872
1.8,1.7990524
2.6,2.634221
2.8,2.8080764
2.4,2.3994386
2.6,2.5941496
2.5,2.5018437
1.3,1.3214374
1.9,1.8962277
1.7,1.6932787
1.9,1.9073316
2.9,2.9005766
1.7,1.7056147
1.7,1.7016529
1.9,1.8955517
2.9,2.8817897
2.6,2.6020656
2.5,2.5019796
2.6,2.590286
2.9,2.9016163
3.3,3.2978668
2.9,2.901548
3.2,3.2024171
1.9,1.9003981
1.3,1.3036569
2.4,2.413011
2.4,2.3999095
3.2,3.1950037
2.9,2.901463
1.8,1.8104241
2.5,2.5035174
3.2,3.1955183
1.9,1.8996717
3.3,3.2962484
1.3,1.2975233
2.4,2.4170809
2.6,2.610157
2.6,2.618946
2.9,2.9018166
2.6,2.6095285
3.3,3.2996783
2.9,2.898293
1.8,1.7925068
1.8,1.7926347
2.4,2.4018881
2.6,2.6001437
2.9,2.9034505
2.4,2.415766
1.3,1.3110336
3.2,3.1944332
2.6,2.6068926
2.4,2.3990605
2.5,2.4994779
1.3,1.3070532
2.8,2.7784202
1.7,1.7128922
2.5,2.4971826
1.8,1.7951359
2.4,2.3968506
2.6,2.6018066
3.3,3.3002088
2.4,2.3962116
3.2,3.185299
3.2,3.1935575
1.3,1.3022074
2.6,2.612563
3.2,3.2069228
3.2,3.2118297
1.9,1.8998266
1.7,1.7140265
3.2,3.2012615
1.9,1.8969514
1.3,1.2958707
3.2,3.1914473
1.9,1.8929533
2.9,2.898765
1.8,1.7887912
1.3,1.2962943
3.3,3.3005514
1.3,1.2991091
1.7,1.7500767
2.4,2.4012876
2.4,2.403557
1.7,1.6854908
1.9,1.8964381
2.6,2.6019561
3.2,3.2050288
1.7,1.6944724
2.4,2.403017
3.2,3.193884
3.3,3.2989485
1.3,1.3022633
3.3,3.2984343
2.9,2.8999147
2.5,2.4926717
2.5,2.504718
2.4,2.4144466
2.5,2.5014155
2.6,2.6025345
1.8,1.8045975
1.3,1.2976265
3.2,3.2024777
2.4,2.397941
3.2,3.198542
2.8,2.8016067
2.4,2.3996189
3.3,3.2779021
2.4,2.3988426
2.8,2.7965145
1.8,1.8136876
2.8,2.8091333
1.9,1.9178246
2.5,2.5022924
1.7,1.6928157
2.8,2.8025465
2.8,2.80084
2.9,2.8995736
1.8,1.824443
1.7,1.703581
1.3,1.3050337
1.8,1.8181968
1.7,1.7063513
3.3,3.3003156
2.8,2.8030822
2.4,2.3942013
1.3,1.2932203
1.3,1.2970214
2.4,2.3982716
2.6,2.6051345
2.9,2.894661
2.6,2.6069121
2.8,2.7930632
2.9,2.901133
3.3,3.3018973
1.3,1.2941579
1.8,1.7800596
2.6,2.6207883
3.3,3.306517
1.7,1.6867255
2.9,2.9016087
1.7,1.6959739
2.5,2.4885924
1.8,1.8088012
2.9,2.8498027
1.8,1.798803
1.3,1.3053371
2.5,2.496587
2.5,2.4986813
1.9,1.8850583
2.9,2.8972294
2.6,2.5966973
1.8,1.8005681
3.2,3.2008972
1.8,1.8115222
1.7,1.6962448
3.2,3.2005754
2.5,2.499601
1.3,1.313719
3.3,3.3014705
2.9,2.9034505
2.9,2.875799
2.9,2.897259
1.7,1.7052127
2.6,2.6008408
2.5,2.4993327
2.9,2.8878543
2.6,2.6039984
1.7,1.6975389
2.5,2.5117383
2.9,2.8987346
2.5,2.497907
1.9,1.8871777
1.9,1.8935002
2.5,2.4922633
3.3,3.297718
3.2,3.1939595
1.9,1.9044586
3.2,3.2041576
2.8,2.791525
1.3,1.3056983
1.8,1.8047265
2.4,2.4004824
3.2,3.204587
1.8,1.7950618
3.2,3.2031069
1.3,1.3039823
1.3,1.293121
2.6,2.6036673
1.9,1.9066803
2.5,2.4968174
2.4,2.4019005
2.4,2.4019535
2.4,2.3997805
1.3,1.298767
1.3,1.3030266
3.2,3.1952865
2.5,2.4984705
2.4,2.3982406
2.9,2.8956575
1.9,1.9113877
2.5,2.5062308
3.3,3.3043983
3.2,3.1967812
2.4,2.3994832
2.9,2.894389
1.9,1.8768398
2.8,2.8030388
1.9,1.9002986
2.5,2.5000844
2.6,2.601967
1.9,1.9169505
3.3,3.3015604
1.7,1.697173
2.4,2.4036305
2.5,2.5032804
2.4,2.3988137
3.3,3.303311
2.6,2.6122203
2.6,2.61996
3.2,3.2039242
2.5,2.4956923
2.8,2.8095996
2.5,2.5029986
1.9,1.8996007
1.3,1.2899591
2.4,2.3939047
2.9,2.8996253
3.3,3.2954483
1.7,1.6761553
2.8,2.7961962
1.9,1.8898302
2.6,2.5964468
1.9,1.8883175
1.3,1.2877656
2.6,2.6086092
2.8,2.7994218
1.8,1.8066397
2.9,2.8943233
2.4,2.403022
2.5,2.4938166
2.4,2.3877044
3.3,3.2895362
1.7,1.6997427
2.4,2.3993928
1.3,1.3008789
1.3,1.3047564
2.5,2.4784143
2.4,2.39459
2.6,2.5969217
2.6,2.6021686
2.4,2.3997087
2.6,2.604975
3.2,3.204576
2.6,2.6067178
2.8,2.8154342
1.8,1.7997146
2.5,2.4946625
1.7,1.7022365
2.5,2.4995787
1.7,1.6941471
2.4,2.3981142
2.4,2.400314
3.3,3.2994974
2.4,2.4029634
2.5,2.49664
3.2,3.201037
2.6,2.5996037
1.9,1.8971754
2.4,2.4053779
2.6,2.6122355
1.7,1.693172
2.8,2.7886477
1.8,1.8100603
1.7,1.6920526
1.3,1.2979926
3.2,3.18347
1.9,1.9105638
3.2,3.2041905
2.4,2.3942163
2.6,2.6147711
3.2,3.1975315
1.8,1.7881768
3.2,3.2018237
2.4,2.4252653
1.7,1.7042358
2.4,2.4064724
2.5,2.4833975
2.6,2.6030579
1.7,1.69696
2.9,2.903323
2.8,2.7974906
3.3,3.298483
1.7,1.7094814
2.8,2.7864435
1.9,1.8931528
3.2,3.2083418
