ytrain,ypred
110.95,111.093185
164.87,164.90807
192.15,191.9585
61.84,61.81576
192.15,192.07616
131.05,131.2977
117.49,117.183655
53.53,53.89982
48.66,49.80264
48.66,48.24934
117.49,114.09968
117.49,117.27326
53.53,53.359814
39.96,41.632587
192.15,191.93956
192.15,191.84991
131.05,130.99216
110.95,110.87877
110.95,111.30707
39.96,40.657578
39.96,40.381695
39.96,41.053432
129.06,129.1603
117.49,116.835205
110.95,111.035255
126.65,126.67882
110.95,110.83016
117.49,117.91774
164.87,164.26495
61.84,60.90263
129.06,128.77162
129.06,129.13065
192.15,192.11012
53.53,53.718258
129.06,129.27039
53.53,54.95916
129.06,129.0184
192.15,192.1285
164.87,164.76167
164.87,164.8008
117.49,116.44382
48.66,48.482925
129.06,129.22404
61.84,61.92697
53.53,53.429768
53.53,53.928135
131.05,130.95065
48.66,49.074448
61.84,62.28888
129.06,129.14694
117.49,117.18588
53.53,53.867893
126.65,126.72566
48.66,49.092587
126.65,127.39995
117.49,117.224815
48.66,48.674744
126.65,127.224655
192.15,192.01527
117.49,114.63585
126.65,126.621735
110.95,111.02884
110.95,111.00007
39.96,39.950203
117.49,118.22329
48.66,48.434456
164.87,165.45183
164.87,165.12831
39.96,40.341557
164.87,166.12363
131.05,130.74445
131.05,130.99484
131.05,130.99089
39.96,39.849915
39.96,40.106625
61.84,60.839478
129.06,129.29776
61.84,61.55349
126.65,126.581406
131.05,131.0822
192.15,192.07143
129.06,129.01228
192.15,191.97467
61.84,62.178528
131.05,131.02534
126.65,126.15724
39.96,40.098957
48.66,50.151924
131.05,130.88924
39.96,39.85619
126.65,126.67809
39.96,39.520657
117.49,117.938194
39.96,39.8247
129.06,129.32565
164.87,164.97379
110.95,111.2725
164.87,162.79286
48.66,48.927185
61.84,62.27593
126.65,127.09048
164.87,164.8158
164.87,165.02223
61.84,61.516796
164.87,164.94267
129.06,129.25786
164.87,164.84277
131.05,130.85167
110.95,110.94966
53.53,53.65281
164.87,163.1606
192.15,192.05505
39.96,40.238335
117.49,117.95635
131.05,130.89331
48.66,49.527523
164.87,164.71294
53.53,53.56193
192.15,192.5001
61.84,62.046543
192.15,192.10905
117.49,118.55378
131.05,130.76323
129.06,129.25948
117.49,117.81696
129.06,129.19025
117.49,117.2087
131.05,131.25282
117.49,117.19226
117.49,116.74868
126.65,127.83952
126.65,126.81464
164.87,165.6587
39.96,40.164974
61.84,61.84888
39.96,40.35138
53.53,53.27752
129.06,128.54846
192.15,191.94102
192.15,192.5654
53.53,53.00037
192.15,192.15802
39.96,40.58247
61.84,61.76222
126.65,126.33989
110.95,110.906456
53.53,53.640972
53.53,53.60451
192.15,192.35092
48.66,47.429485
192.15,191.9622
117.49,117.410484
39.96,40.036194
61.84,61.7074
192.15,191.5431
126.65,126.840935
48.66,48.63023
126.65,128.48839
129.06,129.10092
164.87,164.8008
48.66,48.6218
126.65,127.30736
117.49,117.0963
110.95,110.90808
126.65,126.75944
129.06,129.0292
39.96,40.897045
61.84,60.826126
53.53,54.242695
61.84,61.691658
164.87,164.9376
53.53,53.520054
53.53,53.392376
61.84,61.696747
164.87,164.42612
126.65,126.976654
129.06,128.95216
126.65,126.39373
164.87,165.15996
192.15,192.4194
164.87,164.95973
131.05,131.05289
61.84,61.645496
39.96,39.948772
110.95,110.843056
110.95,111.08426
131.05,130.59537
164.87,163.78455
48.66,48.469883
129.06,129.10805
131.05,131.00368
61.84,61.481796
192.15,191.96017
39.96,40.012234
110.95,111.52468
126.65,126.846924
126.65,127.07921
164.87,164.81601
126.65,126.1755
192.15,191.94365
164.87,164.98676
48.66,48.092796
48.66,48.50971
110.95,110.8411
126.65,126.68576
164.87,164.9912
110.95,110.92971
39.96,40.64052
131.05,130.99101
126.65,126.545876
110.95,110.82424
129.06,129.15031
39.96,41.213787
117.49,117.365295
53.53,53.372295
129.06,128.79979
48.66,48.703835
110.95,110.97624
126.65,126.598076
192.15,192.98244
110.95,110.457405
131.05,131.17828
131.05,130.79936
39.96,39.879646
126.65,126.88855
131.05,130.84572
131.05,130.74268
61.84,61.644043
53.53,53.981766
131.05,130.99397
61.84,61.701168
39.96,39.780308
131.05,130.55426
61.84,61.13072
164.87,164.72992
48.66,48.620625
39.96,39.587517
192.15,191.93404
39.96,40.1281
53.53,55.124058
110.95,111.06323
110.95,111.041016
53.53,53.63468
61.84,61.4565
126.65,126.26283
