ytrain,ypred
11.85,11.84961
12.01,12.279406
17.81,17.815748
13.75,13.759636
17.81,17.809254
20.8,20.77189
13.53,13.477881
8.02,8.0974245
18.04,17.654049
18.04,17.88822
13.53,13.434354
13.53,13.672931
8.02,8.041863
16.99,16.618881
17.81,17.809649
17.81,17.966629
20.8,20.827837
11.85,11.889797
11.85,11.885394
16.99,16.81635
16.99,16.884808
16.99,16.737293
21.22,21.179438
13.53,14.160994
11.85,11.9680605
21.09,21.062813
11.85,11.868461
13.53,13.604192
12.01,12.237168
13.75,13.791694
21.22,21.250769
21.22,21.22026
17.81,17.812487
8.02,8.106012
21.22,21.186514
8.02,7.9381113
21.22,21.213598
17.81,17.808842
12.01,11.978325
12.01,11.986282
13.53,13.84922
18.04,18.065615
21.22,21.202515
13.75,13.783958
8.02,8.005563
8.02,7.9944015
20.8,20.783522
18.04,18.126364
13.75,13.601657
21.22,21.193304
13.53,13.441896
8.02,8.418821
21.09,21.114267
18.04,17.835886
21.09,20.893385
13.53,13.6247225
18.04,18.014812
21.09,20.751888
17.81,17.79723
13.53,13.353794
21.09,20.673113
11.85,11.836506
11.85,11.832374
16.99,16.968658
13.53,13.420525
18.04,18.124474
12.01,12.172318
12.01,12.085632
16.99,16.934784
12.01,12.100448
20.8,20.77116
20.8,20.809546
20.8,20.808914
16.99,17.029047
16.99,16.615261
13.75,13.846719
21.22,21.268606
13.75,13.800556
21.09,21.120647
20.8,20.801584
17.81,17.808681
21.22,21.164215
17.81,17.818071
13.75,13.535333
20.8,20.770756
21.09,21.192688
16.99,17.09132
18.04,17.854683
20.8,20.753971
16.99,16.925598
21.09,20.985088
16.99,17.185469
13.53,13.70093
16.99,16.925104
21.22,21.221806
12.01,11.972954
11.85,11.961755
12.01,12.618179
18.04,17.78197
13.75,13.637071
21.09,21.083755
12.01,11.929539
12.01,11.942194
13.75,13.860335
12.01,11.944035
21.22,21.263693
12.01,12.081222
20.8,20.800636
11.85,11.838986
8.02,7.9871454
12.01,12.472349
17.81,17.79916
16.99,16.762732
13.53,13.160691
20.8,20.77785
18.04,17.652224
12.01,12.267752
8.02,8.137388
17.81,17.814562
13.75,13.827332
17.81,17.810085
13.53,13.508157
20.8,20.84829
21.22,21.211426
13.53,13.395984
21.22,21.219727
13.53,13.915263
20.8,20.792881
13.53,13.472421
13.53,13.559158
21.09,21.081425
21.09,21.096361
