ytest,ypred
71.5,71.15043
101.4,101.84775
67.9,68.52852
64.5,65.14039
71.5,70.03182
78.1,78.009315
64.5,65.17418
67.9,67.85761
67.9,68.94007
67.9,67.989204
68.7,68.76465
69.3,69.2987
75.2,75.45203
72.9,72.84192
70.8,71.142265
101.4,101.74521
75.2,75.44912
78.1,78.10007
68.7,67.62432
75.2,75.31201
69.3,68.849655
70.8,71.01986
101.4,102.03078
64.5,65.907394
68.7,68.683266
101.4,97.49534
68.7,68.623245
69.3,69.43571
69.3,69.07212
72.9,70.58136
78.1,76.81901
70.8,69.5274
65.7,68.11138
65.7,65.942215
69.3,69.29532
101.4,101.45567
64.5,65.126564
71.5,71.35521
68.7,67.205475
71.5,70.40878
65.7,66.91668
64.5,64.4413
68.7,68.710815
78.1,78.04867
72.9,71.240715
65.7,65.99912
72.9,72.29381
101.4,101.61337
72.9,72.94018
67.9,68.12138
68.7,68.38367
64.5,64.50829
68.7,67.40018
68.7,65.0586
69.3,69.73347
72.9,71.88143
71.5,72.17941
72.9,71.789055
101.4,102.23685
78.1,78.0418
