ytest,ypred
2.8,2.75233
2.4,2.404088
2.6,2.6618786
1.9,1.8928546
2.8,2.5236979
3.2,3.2008367
1.9,1.6381377
2.6,2.599025
2.6,2.6244173
2.6,2.619434
1.3,1.2815399
1.8,1.7524014
3.3,3.2997084
2.9,2.89167
2.5,2.5017953
2.4,2.3986402
3.3,3.3011992
3.2,3.1941519
1.3,1.285974
3.3,3.3058228
1.8,1.7698436
2.5,2.4989016
2.4,2.3989687
1.9,1.826341
1.3,1.2987425
2.4,2.4032903
1.3,1.3182914
1.8,1.766303
1.8,1.805445
2.9,2.7752666
3.2,3.1559253
2.5,2.4944096
1.7,1.7526731
1.7,1.7224646
1.8,1.8597714
2.4,2.428057
1.9,1.8577427
2.8,2.567594
1.3,1.3283849
2.8,2.835692
1.7,1.7008911
1.9,1.8999238
1.3,1.2949399
3.2,3.2401633
2.9,2.9011254
1.7,1.7200925
2.9,2.8370998
2.4,2.4123304
2.9,2.8933654
2.6,2.6547236
1.3,1.289898
1.9,1.9133658
1.3,1.4561574
1.3,1.6554776
1.8,1.9225869
2.9,2.8929386
2.8,2.6368673
2.9,2.7910514
2.4,2.397643
3.2,3.1889331
