ytest,ypred
117.49,111.41437
110.95,110.84948
126.65,135.19878
61.84,61.96838
117.49,113.0614
131.05,131.55907
61.84,50.75909
126.65,126.20473
126.65,126.18445
126.65,126.64549
39.96,39.720695
48.66,52.388096
192.15,192.3713
164.87,165.37665
129.06,129.19577
110.95,111.00108
192.15,192.45837
131.05,130.68912
39.96,41.069862
192.15,192.57965
48.66,48.69462
129.06,129.05785
110.95,110.95458
61.84,55.63161
39.96,40.197548
110.95,110.81093
39.96,40.82289
48.66,44.818146
48.66,49.758842
164.87,164.72548
131.05,129.78369
129.06,129.16176
53.53,55.343975
53.53,54.41889
48.66,51.096336
110.95,110.87544
61.84,59.903
117.49,91.42442
39.96,42.221695
117.49,120.45536
53.53,52.416206
61.84,62.732517
39.96,38.86152
131.05,131.48747
164.87,158.9416
53.53,54.335842
164.87,165.37259
110.95,110.87655
164.87,164.92897
126.65,126.44483
39.96,39.788956
61.84,61.456234
39.96,45.348835
39.96,50.722054
48.66,58.024292
164.87,164.13838
117.49,112.52072
164.87,168.38164
110.95,111.227196
131.05,131.10918
