ytest,ypred
13.53,15.04628
11.85,11.930447
21.09,21.224508
13.75,13.716422
13.53,13.977248
20.8,20.804066
13.75,14.140766
21.09,21.122854
21.09,21.255354
21.09,20.896368
16.99,16.983744
18.04,17.623316
17.81,17.695415
12.01,11.762724
21.22,21.174667
11.85,11.515263
17.81,17.678299
20.8,20.805315
16.99,16.735008
17.81,18.218405
18.04,17.387384
21.22,21.152822
11.85,11.763204
13.75,14.532286
16.99,16.883766
11.85,12.3006935
16.99,17.04142
18.04,17.011427
18.04,18.153482
12.01,11.402962
20.8,21.008919
21.22,21.30033
8.02,8.928657
8.02,8.023259
18.04,18.043854
11.85,11.319065
13.75,13.853678
13.53,15.237489
16.99,15.69751
13.53,12.02394
8.02,6.7783103
13.75,13.6543
16.99,16.757029
20.8,20.66424
12.01,11.88831
8.02,7.9351707
12.01,13.283747
11.85,11.671889
12.01,11.667958
21.09,21.280825
16.99,17.032877
13.75,14.080502
16.99,16.359379
16.99,15.321582
18.04,17.392374
12.01,11.8239355
13.53,15.493556
12.01,11.678738
11.85,11.893626
20.8,20.786995
