参数,拟合结果,值
设备S,均方误差(MSE):,1.4433665464892724
设备S,R方：,0.9845349570219294
设备S,rmse:,1.201401908808735
设备S,vaf:,98.47555100850316
设备S,mape:,0.9853328773793694
设备S,spi:,-0.014851029025026274
设备Z,均方误差(MSE):,0.01504252885806009
设备Z,R方：,0.9637010819258048
设备Z,rmse:,0.12264798758259382
设备Z,vaf:,96.3741643277421
设备Z,mape:,3.34741963715377
设备Z,spi:,-0.0063687794447654265
静态抗压强度,均方误差(MSE):,63.91193938562993
静态抗压强度,R方：,0.971902602678129
静态抗压强度,rmse:,7.994494317067836
静态抗压强度,vaf:,97.19723740642306
静态抗压强度,mape:,5.39331203626221
静态抗压强度,spi:,-0.008352926798521697
弹性模量,均方误差(MSE):,7.990268164183297
弹性模量,R方：,0.9738136133573104
弹性模量,rmse:,2.826706239456675
弹性模量,vaf:,97.38265017700165
弹性模量,mape:,3.1704945940166067
弹性模量,spi:,-0.003590043552106441
泊松比,均方误差(MSE):,0.00010996998871337066
泊松比,R方：,0.9085621477530439
泊松比,rmse:,0.010486657652148785
泊松比,vaf:,90.8721960045249
泊松比,mape:,2.3920814100746464
泊松比,spi:,-0.012641688661137369
抗拉强度,均方误差(MSE):,0.8245647146979928
抗拉强度,R方：,0.8929902195344182
抗拉强度,rmse:,0.9080554579418554
抗拉强度,vaf:,89.32322343710632
抗拉强度,mape:,8.566354094201216
抗拉强度,spi:,-0.0155568260466303
黏聚力,均方误差(MSE):,1.3451250346175245
黏聚力,R方：,0.9211109320074508
黏聚力,rmse:,1.1597952554729325
黏聚力,vaf:,92.11829300526841
黏聚力,mape:,4.929863635691473
黏聚力,spi:,-0.008485166187727723
内摩擦角,均方误差(MSE):,1.5573097986452331
内摩擦角,R方：,0.9337895612005105
内摩擦角,rmse:,1.2479221925445645
内摩擦角,vaf:,93.39516073909616
内摩擦角,mape:,1.5326663140003411
内摩擦角,spi:,0.012729736464319661
回弹均值,均方误差(MSE):,5.799079237323721
回弹均值,R方：,0.9679730661484421
回弹均值,rmse:,2.4081277452252654
回弹均值,vaf:,96.80238493898219
回弹均值,mape:,2.492934232919589
回弹均值,spi:,-0.007126236129941913
动态强度,均方误差(MSE):,149.145097784364
动态强度,R方：,0.9638446088987301
动态强度,rmse:,12.212497606319683
动态强度,vaf:,96.38692437242074
动态强度,mape:,3.454770384156797
动态强度,spi:,0.0049633482123635116
滑动摩擦系数,均方误差(MSE):,7.045724372367962e-05
滑动摩擦系数,R方：,0.9526458135008938
滑动摩擦系数,rmse:,0.008393881326518717
滑动摩擦系数,vaf:,95.29421351140857
滑动摩擦系数,mape:,2.6186639284811535
滑动摩擦系数,spi:,0.017213994690132777
声级,均方误差(MSE):,0.5029998223577804
声级,R方：,0.9758039271744677
声级,rmse:,0.7092248038230053
声级,vaf:,97.60123967953606
声级,mape:,0.3156685649345473
声级,spi:,-0.014438477097427408
波速,均方误差(MSE):,0.0660581330131015
波速,R方：,0.9545743376336429
波速,rmse:,0.257017767893781
波速,vaf:,95.46194431927766
波速,mape:,2.438050728189967
波速,spi:,0.006716067237144127
密度均值,均方误差(MSE):,0.015403381967657885
密度均值,R方：,0.952101818679087
密度均值,rmse:,0.1241103620478882
密度均值,vaf:,95.21021297872345
密度均值,mape:,2.12987044235135
密度均值,spi:,-0.0005577706942924541
渗透率,均方误差(MSE):,0.00017932544042458106
渗透率,R方：,0.9448827719282263
渗透率,rmse:,0.013391244916906757
渗透率,vaf:,94.49395146929369
渗透率,mape:,94.49979903395032
渗透率,spi:,0.0075327793483327245
孔隙度,均方误差(MSE):,1.5760604965559273
孔隙度,R方：,0.9620729465817607
孔隙度,rmse:,1.2554124806436837
孔隙度,vaf:,96.20749883037529
孔隙度,mape:,8.685864672680108
孔隙度,spi:,-0.0014288883763788082
标定温度,均方误差(MSE):,0.23403329990428004
标定温度,R方：,0.9872789784725623
标定温度,rmse:,0.4837698832133725
标定温度,vaf:,98.73565963161259
标定温度,mape:,0.3946056390542139
标定温度,spi:,0.008810098953115273
