ytest,ypred
3.43,3.450999209693352
2.97,2.995226212114458
2.97,2.98633572279065
6.58,6.600014207458166
5.1,5.121946122969908
6.76,6.755104852127817
3.43,3.4425605854576555
5.31,5.315150855466554
6.41,6.494546898001319
5.49,5.499729561490291
3.43,3.4292098519755654
3.43,3.3340021596848155
2.97,3.140295615463573
6.41,6.551795182760209
2.97,2.9699343468180386
3.43,3.4057826343689634
3.43,3.439423862581835
2.97,3.001442118979321
6.76,6.795745039871792
6.58,6.5498742700211805
5.1,5.184208636914806
5.49,5.506382668911261
6.41,6.399885516692061
6.76,6.758075433687631
2.97,3.065064167791266
5.31,5.119785417370116
5.95,5.897669368550728
5.95,5.750753864379127
2.97,2.936631247247638
5.24,5.27985121988478
4.72,4.7484463711430545
5.95,5.557814954650638
2.97,2.9562848352660125
5.49,5.490760467157967
5.95,5.562064492508159
5.1,5.100142302883836
5.24,5.329704301779781
5.95,5.91285867835031
5.49,5.501962379134811
5.24,5.310938757575503
4.72,4.97937591162051
6.58,6.618516156808278
5.95,5.821163365769492
6.41,6.420394263632044
3.43,3.4176930675689405
5.1,5.211146902151653
5.1,5.134456994955965
5.31,5.336002266523158
4.72,5.423122630852276
2.97,2.974199793968191
5.49,5.4691240490399
5.1,5.099112562056622
5.24,5.425856630192004
5.49,5.50354076960416
5.31,5.301053683871724
4.72,5.3903544589038335
5.49,5.50354076960416
5.49,5.50354076960416
6.41,6.474512702339421
6.41,6.422919922737384
5.95,5.854536026266915
5.31,5.296288968272389
6.76,6.582172474754623
4.72,5.154448214572969
6.76,6.7582095058032285
5.49,5.52341644945433
5.49,5.455115901237879
4.72,5.314806970690972
6.58,6.584342666213242
6.58,6.593802582856824
5.49,5.3982832700531285
6.76,5.485809212323744
6.58,6.565940630163687
6.58,6.586023088263165
4.72,4.702428623487937
5.31,5.402800125332884
6.58,6.675702294204913
5.95,5.669604436493316
4.72,4.9082326312108675
4.72,4.891980474561784
5.31,5.331383019701234
3.43,3.4486875577154343
2.97,3.0660217294774124
6.58,6.610279469817494
2.97,2.9947569144390016
5.95,5.942404383678646
6.58,6.569339587890987
5.95,5.691170508172666
6.76,6.336297061479726
6.76,6.712668168944462
5.49,5.478135422438072
6.76,5.880168089444549
6.58,6.594806855451777
3.43,3.450341371383884
5.49,5.569105278761102
2.97,3.1769563794862634
5.24,5.312859802898732
6.76,6.523681528606915
6.76,6.763012504865711
6.41,6.440892892395685
6.76,6.783019559922051
6.41,6.408720668794896
2.97,2.9709617693870256
6.41,6.453900448676315
5.31,5.307207992856537
2.97,2.9709408014159613
5.31,5.624163636628149
3.43,3.568771352037748
5.1,5.104684656774181
5.24,5.2977254672473695
5.31,5.4380496492370884
5.95,5.891233792308406
5.1,5.1084074984971215
4.72,4.73103655972541
6.76,6.781673021817651
5.1,5.19511726228498
2.97,3.1462660544039336
6.76,6.516847209571953
2.97,3.0221583419041247
4.72,5.082338364000639
5.31,5.297248970402204
5.49,5.398921821815092
6.76,6.83970938497961
2.97,3.0229865801544586
5.1,4.6251557910037535
6.41,6.418651053467808
5.95,5.943325526863228
5.31,5.445101800967661
6.76,6.518996135439579
2.97,3.231852225602293
2.97,3.0331946648779096
5.95,5.337174553345408
5.49,5.495309271713841
5.24,5.27289641433492
5.24,5.269869869338263
6.76,5.347626823488629
5.1,5.0893775257840845
5.1,5.091094063150562
3.43,3.4524025910972154
6.41,6.40842707776136
2.97,3.1360965913377585
5.24,5.277270742407946
6.41,6.317407723261309
5.24,5.297338248878954
5.95,6.045223573132526
5.95,5.439085054884561
3.43,3.3458514851692063
5.1,5.131392793690725
6.41,6.40300902410616
2.97,3.2813633053012783
6.58,6.607089848010141
6.41,6.521626338643866
5.49,5.505736747358475
6.41,6.379650939314169
5.95,5.799513383447456
5.49,5.502748230307818
4.72,4.700250149412281
5.1,5.103314218120211
6.41,6.433971246468527
5.31,5.299593507819099
5.49,5.501458356904515
5.1,5.162241654825726
5.1,5.113008069480646
2.97,3.1158452351761223
4.72,5.345479707041251
2.97,3.1983657766388496
3.43,3.435171360939152
2.97,2.943922026264113
2.97,2.9179078017197915
4.72,5.0520495230158815
5.49,5.495309271713841
5.49,5.386202485900953
5.24,5.296857854616121
3.43,3.415549657652279
5.95,5.632516979125617
6.76,6.587529511897318
5.24,5.2952243753211015
5.31,5.443763295080933
2.97,3.1243047627716924
5.1,5.12198472584003
4.72,4.703591282972569
5.24,5.635902810586334
6.58,6.600840316804546
5.24,5.270585163165305
5.1,5.120559575156904
5.49,5.402832074609003
5.31,5.444897063234944
2.97,2.997423408673441
2.97,3.0241633943096327
3.43,3.30218725073226
5.1,5.107099076817839
5.1,5.146452905242208
3.43,3.4344906128573474
5.31,5.296703818989963
5.31,5.2998303008307355
5.1,5.12198472584003
5.31,5.466060606319455
3.43,3.359092259956644
6.76,6.327686084506642
5.24,5.2999462956618
4.72,5.082338364000639
5.1,5.090305526762132
6.76,6.774640068723496
5.95,5.331821373752899
5.31,5.294325574114389
4.72,4.632392717590738
4.72,4.767044796412499
3.43,3.379065496453085
5.24,5.291859182258159
5.31,5.434505807442304
5.1,5.098184917113833
5.95,5.849368537576598
4.72,5.127035818672616
5.49,5.50354076960416
5.95,5.92940914273912
4.72,4.714349735096575
4.72,5.157469833933403
5.49,5.4873595301651426
6.41,6.3953048254184965
5.31,5.778711723515234
5.24,5.296546402528819
5.49,5.50796105938061
5.95,5.629796403813601
5.31,5.340050048580142
2.97,2.981682174963598
4.72,4.80259406942901
6.58,6.596876439201839
6.58,6.595788578432794
6.76,6.6949185412599785
5.1,5.101159752947394
5.31,5.337319746956494
6.58,6.601662226597274
5.1,5.1095107174602035
6.58,6.482366243945333
4.72,4.711040998977833
6.76,6.434235510951011
5.31,5.3358141897624245
5.95,5.93091344780974
2.97,3.3290452006855245
4.72,5.379471847895933
2.97,3.193040610504308
5.1,5.080042483265643
2.97,3.0213454294670887
6.41,6.399762278211887
5.31,5.435814597392078
2.97,2.9668376027190506
6.76,6.731742310546219
2.97,2.9727333589787914
6.76,5.2299848695420454
6.41,6.520237906519691
5.24,5.304495100217674
6.58,6.5810680358380935
6.41,6.415491963142768
6.76,6.578931846411834
4.72,6.415145835764132
2.97,3.0360787503940756
5.24,5.2977254672473695
4.72,4.695181872301477
5.24,5.324143316040392
3.43,3.0818824753103424
6.76,6.707919228842388
5.24,5.3124805056761835
