参数,迭代次数,训练集R平方,测试集R平方
设备S,10,0.200917171,0.232722771
设备S,20,0.982723144,0.968562489
设备S,30,0.997999342,0.98440776
设备S,40,0.999193324,0.985571491
设备S,50,0.999569409,0.985575566
设备S,60,0.99977772,0.985976791
设备S,70,0.999894398,0.986240241
设备S,80,0.999938396,0.986344347
设备S,90,0.999967621,0.986423126
设备S,100,0.999980347,0.98644956
设备Z,10,0.846574201,0.832502335
设备Z,20,0.994685348,0.974864235
设备Z,30,0.998794381,0.978243445
设备Z,40,0.999374246,0.978525077
设备Z,50,0.999682355,0.978875564
设备Z,60,0.999828198,0.979154612
设备Z,70,0.999913531,0.979289511
设备Z,80,0.999952818,0.979407766
设备Z,90,0.999969385,0.979447616
设备Z,100,0.999982249,0.979487371
静态抗压强度,10,0.91131987,0.914818621
静态抗压强度,20,0.996699236,0.991649486
静态抗压强度,30,0.999302149,0.992726359
静态抗压强度,40,0.999705026,0.992739234
静态抗压强度,50,0.999868995,0.992767176
静态抗压强度,60,0.999931712,0.992765183
静态抗压强度,70,0.999964756,0.992835388
静态抗压强度,80,0.999979618,0.992854229
静态抗压强度,90,0.999988773,0.992814302
静态抗压强度,100,0.999993176,0.992820849
弹性模量,10,0.854982864,0.848627123
弹性模量,20,0.995631853,0.985530208
弹性模量,30,0.999047483,0.987226561
弹性模量,40,0.99957062,0.987123814
弹性模量,50,0.999810516,0.987224506
弹性模量,60,0.999894819,0.987091348
弹性模量,70,0.99994494,0.987114669
弹性模量,80,0.999968197,0.987122741
弹性模量,90,0.999981129,0.987133484
弹性模量,100,0.999988402,0.987099925
泊松比,10,0.276016132,0.223211406
泊松比,20,0.971772104,0.935514788
泊松比,30,0.992947584,0.945906105
泊松比,40,0.996936692,0.946581479
泊松比,50,0.998652474,0.947544612
泊松比,60,0.999348849,0.947900496
泊松比,70,0.999632783,0.947894175
泊松比,80,0.999732838,0.948046401
泊松比,90,0.999783822,0.948015836
泊松比,100,0.99981594,0.948226441
抗拉强度,10,0.857067649,0.824867944
抗拉强度,20,0.985101691,0.940454524
抗拉强度,30,0.994643968,0.947032137
抗拉强度,40,0.997463549,0.947691758
抗拉强度,50,0.998755088,0.949229569
抗拉强度,60,0.999386368,0.949223007
抗拉强度,70,0.999665183,0.949415025
抗拉强度,80,0.999817146,0.949157366
抗拉强度,90,0.99989482,0.949121399
抗拉强度,100,0.999936177,0.949095071
黏聚力,10,0.775441157,0.714019502
黏聚力,20,0.987299227,0.949375461
黏聚力,30,0.995892904,0.955555081
黏聚力,40,0.997982136,0.956746892
黏聚力,50,0.999106959,0.957448804
黏聚力,60,0.999610987,0.957239086
黏聚力,70,0.999805378,0.957386518
黏聚力,80,0.999878726,0.957387876
黏聚力,90,0.999932179,0.957562601
黏聚力,100,0.999960686,0.957612215
内摩擦角,10,-0.334830024,-0.152655487
内摩擦角,20,0.960241817,0.917443341
内摩擦角,30,0.992806664,0.935222609
内摩擦角,40,0.996916644,0.938369969
内摩擦角,50,0.998451292,0.940518806
内摩擦角,60,0.99917056,0.941295743
内摩擦角,70,0.999515826,0.941474109
内摩擦角,80,0.999739688,0.941634498
内摩擦角,90,0.99985588,0.942041665
内摩擦角,100,0.999921435,0.942187416
回弹均值,10,0.675810243,0.699769078
回弹均值,20,0.991618426,0.977325531
回弹均值,30,0.998393378,0.982644554
回弹均值,40,0.999248221,0.982610323
回弹均值,50,0.999675472,0.982973679
回弹均值,60,0.999821929,0.983171526
回弹均值,70,0.999890402,0.983235531
回弹均值,80,0.999942919,0.983280771
回弹均值,90,0.999969984,0.983310182
回弹均值,100,0.999983353,0.983331946
动态强度,10,0.782964722,0.797872488
动态强度,20,0.991363258,0.976643686
动态强度,30,0.997761222,0.978890547
动态强度,40,0.998967756,0.979309025
动态强度,50,0.999361049,0.97942085
动态强度,60,0.999681177,0.979949509
动态强度,70,0.999813358,0.980015317
动态强度,80,0.999890319,0.980135166
动态强度,90,0.99993708,0.980070753
动态强度,100,0.999963728,0.980159337
滑动摩擦系数,10,-0.001650028,-0.102540391
滑动摩擦系数,20,0.976761993,0.939206265
滑动摩擦系数,30,0.99605009,0.964294264
滑动摩擦系数,40,0.998378873,0.966830398
滑动摩擦系数,50,0.999185781,0.967098326
滑动摩擦系数,60,0.999554685,0.967276747
滑动摩擦系数,70,0.999738344,0.967415378
滑动摩擦系数,80,0.999801577,0.967607595
滑动摩擦系数,90,0.99984738,0.967549567
滑动摩擦系数,100,0.999860236,0.967548144
声级,10,-6.614771263,-7.301749694
声级,20,0.886367039,0.858783553
声级,30,0.99464755,0.97930346
声级,40,0.998269001,0.983389577
声级,50,0.99928457,0.984016086
声级,60,0.999607672,0.98404361
声级,70,0.999772563,0.984057539
声级,80,0.999874961,0.984206007
声级,90,0.999935118,0.984312095
声级,100,0.999963245,0.984326858
波速,10,0.736200261,0.75469764
波速,20,0.991272889,0.974373195
波速,30,0.997726141,0.978975573
波速,40,0.998872572,0.978846589
波速,50,0.999486942,0.979172792
波速,60,0.999762228,0.979180128
波速,70,0.999874621,0.979165817
波速,80,0.99993262,0.979299943
波速,90,0.9999601,0.979352568
波速,100,0.999977241,0.97920037
密度均值,10,0.597722936,0.622430912
密度均值,20,0.985550625,0.976107468
密度均值,30,0.996880465,0.97953241
密度均值,40,0.998669764,0.978449465
密度均值,50,0.999419231,0.978178295
密度均值,60,0.999672619,0.978216633
密度均值,70,0.999824243,0.978177396
密度均值,80,0.999896054,0.978207152
密度均值,90,0.999939286,0.978239008
密度均值,100,0.99996516,0.978220844
渗透率,10,-0.039845511,0.05669218
渗透率,20,0.977686458,0.956020466
渗透率,30,0.996800347,0.969865469
渗透率,40,0.99871532,0.971549897
渗透率,50,0.999405681,0.97209875
渗透率,60,0.999721237,0.972544615
渗透率,70,0.999850602,0.97279509
渗透率,80,0.999896403,0.97283286
渗透率,90,0.999913905,0.9728486
渗透率,100,0.999917995,0.97287831
孔隙度,10,0.969193518,0.954101678
孔隙度,20,0.997903257,0.97750706
孔隙度,30,0.999517036,0.978328773
孔隙度,40,0.999832928,0.979223501
孔隙度,50,0.999917602,0.979500262
孔隙度,60,0.999959393,0.979668803
孔隙度,70,0.999978808,0.979648154
孔隙度,80,0.999987825,0.979713207
孔隙度,90,0.999994192,0.979757347
孔隙度,100,0.999996922,0.979760316
标定温度,10,-1.660906634,-1.610676178
标定温度,20,0.956155899,0.948695796
标定温度,30,0.99760794,0.987650512
标定温度,40,0.999188812,0.988752177
标定温度,50,0.999634806,0.989147481
标定温度,60,0.999801027,0.989318823
标定温度,70,0.999888746,0.989386799
标定温度,80,0.999938113,0.98939755
标定温度,90,0.999965924,0.989434198
标定温度,100,0.999980011,0.989462223
