参数,拟合结果,值
设备S,均方误差(MSE):,3.0095254255300223
设备S,R方：,0.9682254107604052
设备S,rmse:,1.7347983818098351
设备S,vaf:,96.8545673843511
设备S,mape:,1.8300257149839596
设备S,spi:,-0.017895895705600476
设备Z,均方误差(MSE):,0.031046223575526614
设备Z,R方：,0.918094233358996
设备Z,rmse:,0.17619938585456707
设备Z,vaf:,92.03979019100302
设备Z,mape:,6.7035638963219055
设备Z,spi:,0.04799654728242691
静态抗压强度,均方误差(MSE):,128.0553930132619
静态抗压强度,R方：,0.9425838442900116
静态抗压强度,rmse:,11.316156282645707
静态抗压强度,vaf:,95.06457573536213
静态抗压强度,mape:,9.256541187147459
静态抗压强度,spi:,-0.08978815658877046
弹性模量,均方误差(MSE):,20.67066971958783
弹性模量,R方：,0.925926351735921
弹性模量,rmse:,4.54650082146565
弹性模量,vaf:,93.86873811073593
弹性模量,mape:,6.54778646421353
弹性模量,spi:,0.11296472622654528
泊松比,均方误差(MSE):,0.00025207741960294274
泊松比,R方：,0.8241599319908594
泊松比,rmse:,0.01587694616741339
泊松比,vaf:,82.50751625085213
泊松比,mape:,5.165409619505679
泊松比,spi:,0.030252777023968943
抗拉强度,均方误差(MSE):,1.7115958726624354
抗拉强度,R方：,0.7713196866841863
抗拉强度,rmse:,1.308279737923979
抗拉强度,vaf:,77.89542773705031
抗拉强度,mape:,9.364127195055186
抗拉强度,spi:,-0.08737614483551522
黏聚力,均方误差(MSE):,2.316999298056237
黏聚力,R方：,0.8644974358385504
黏聚力,rmse:,1.5221692737853556
黏聚力,vaf:,87.44085931972106
黏聚力,mape:,7.471277733601781
黏聚力,spi:,0.09955479575922059
内摩擦角,均方误差(MSE):,3.5876929044745673
内摩擦角,R方：,0.7923531515308417
内摩擦角,rmse:,1.8941206150809318
内摩擦角,vaf:,80.60809859483427
内摩擦角,mape:,3.1106409532562616
内摩擦角,spi:,-0.11716584151322043
回弹均值,均方误差(MSE):,8.240535671045865
回弹均值,R方：,0.943764723138245
回弹均值,rmse:,2.8706333222907214
回弹均值,vaf:,95.62785894924254
回弹均值,mape:,4.167205499475389
回弹均值,spi:,0.11186539390794781
动态强度,均方误差(MSE):,557.2337518253504
动态强度,R方：,0.8437307871639239
动态强度,rmse:,23.60579911431406
动态强度,vaf:,84.51165045910867
动态强度,mape:,9.320204193526372
动态强度,spi:,0.03722522568316798
滑动摩擦系数,均方误差(MSE):,0.00023704997940442356
滑动摩擦系数,R方：,0.8490642652869167
滑动摩擦系数,rmse:,0.015396427488363121
滑动摩擦系数,vaf:,85.27732502762181
滑动摩擦系数,mape:,6.915611363899779
滑动摩擦系数,spi:,-0.06090143667682588
声级,均方误差(MSE):,5.325388422665617
声级,R方：,0.7635718998249299
声级,rmse:,2.3076803120591936
声级,vaf:,90.01525553750194
声级,mape:,1.554592836951152
声级,spi:,-0.3695682014866668
波速,均方误差(MSE):,0.19423277389223
波速,R方：,0.8442900500530365
波速,rmse:,0.44071847464365504
波速,vaf:,88.41812275879676
波速,mape:,6.789784289290803
波速,spi:,0.1997277585488085
密度均值,均方误差(MSE):,0.07903982396818045
密度均值,R方：,0.7409930702333347
密度均值,rmse:,0.28114022118540855
密度均值,vaf:,74.3890880206558
密度均值,mape:,6.362124891409832
密度均值,spi:,-0.053831310342804375
渗透率,均方误差(MSE):,0.00034867795557516065
渗透率,R方：,0.8657788889865583
渗透率,rmse:,0.018672920381535413
渗透率,vaf:,87.34251860945706
渗透率,mape:,458.4145346327647
渗透率,spi:,0.087443107835965
孔隙度,均方误差(MSE):,2.7168875578460763
孔隙度,R方：,0.9188594596892232
孔隙度,rmse:,1.648298382528502
孔隙度,vaf:,92.00078387607181
孔隙度,mape:,18.42300903890844
孔隙度,spi:,0.03388774220119947
标定温度,均方误差(MSE):,1.96126975099164
标定温度,R方：,0.8852182423364158
标定温度,rmse:,1.4004534090756606
标定温度,vaf:,94.72242884117237
标定温度,mape:,1.9357027347983256
标定温度,spi:,-0.24901013247518264
