ytest,ypred
41.61,33.867958
44.9,42.765167
38.44,37.93058
44.17,43.61854
44.9,40.77026
38.96,39.92842
31.8,34.638405
45.61,46.066006
38.44,38.296936
46.75,47.33069
38.96,39.633327
45.61,46.64831
44.17,43.448353
38.96,36.629356
46.75,49.905396
46.75,47.391346
44.17,43.725662
41.61,41.05567
31.8,34.598625
44.86,42.560394
41.61,39.879303
46.75,46.35376
44.86,42.310772
46.34,44.937725
44.86,45.016556
45.61,45.1414
31.8,35.605583
44.86,42.933243
38.44,38.670086
45.53,46.600555
31.8,39.708466
41.61,32.85214
44.86,42.679016
38.44,37.933723
38.96,39.170555
44.9,45.668076
44.86,44.337723
45.61,45.466835
46.75,45.994797
46.34,45.42795
44.86,44.545998
38.44,37.120277
44.86,43.785778
38.44,37.924164
31.8,33.538628
44.17,44.171345
44.17,42.889023
46.34,45.990696
46.75,45.064705
45.61,47.062874
44.86,44.795006
44.17,43.26733
44.9,43.383682
46.75,51.552803
44.86,43.97641
44.17,44.025253
46.75,49.47592
45.53,45.87369
46.75,46.85787
38.96,38.563484
31.8,32.576027
46.34,45.763695
44.9,43.697975
41.61,38.36577
44.9,43.66387
45.53,46.538174
44.9,45.843292
44.9,43.31931
38.44,37.767868
44.9,44.118393
46.75,48.833748
44.17,44.5975
44.17,43.758137
45.53,44.656277
38.96,38.659874
44.9,45.443096
38.44,37.79603
44.86,42.807693
31.8,31.552965
31.8,34.82296
46.34,45.82872
44.86,42.450497
41.61,35.9492
44.17,43.809464
44.9,45.33351
38.96,39.29432
41.61,39.064045
38.44,39.06803
44.17,43.054253
44.9,43.85399
46.34,45.000168
44.9,43.489647
44.86,44.231026
38.96,39.84645
46.75,47.566395
38.44,38.439262
44.9,44.77993
45.61,46.487988
41.61,38.646027
46.34,44.678345
38.44,39.084816
38.96,39.186638
44.17,43.250168
46.34,44.4999
31.8,35.104206
44.9,45.255745
45.53,44.30934
38.96,40.27003
44.17,42.834023
44.17,43.614136
46.34,46.434067
44.9,45.174408
46.34,44.71814
31.8,34.199085
45.61,45.530945
44.9,44.629356
46.75,47.30036
45.53,46.251602
45.53,46.012905
45.61,46.447433
44.17,43.2013
44.86,44.390038
45.53,45.362625
41.61,33.637993
46.34,44.796474
41.61,36.77935
38.44,37.530777
46.34,45.033813
31.8,32.941982
38.44,37.964417
46.34,45.76367
41.61,36.28688
46.34,45.537605
41.61,41.558693
46.75,46.65674
45.53,45.595413
44.86,45.54821
46.34,45.59935
46.75,48.57447
45.61,42.913136
38.44,38.07985
46.34,45.135475
45.53,45.666595
44.17,44.835674
44.17,44.488556
46.75,46.900185
44.9,44.273544
38.96,36.846657
31.8,33.603855
31.8,30.510384
41.61,38.23619
46.75,49.65129
45.61,45.507866
38.44,38.15013
44.86,43.96627
44.86,43.803665
46.34,45.472656
45.53,44.02382
44.9,43.620018
45.53,45.169773
46.75,48.218735
44.9,44.09488
46.34,44.243294
44.86,42.95407
45.53,46.426067
46.75,48.317677
46.75,48.879467
45.61,45.548313
38.44,37.069347
44.86,43.6399
46.34,45.055275
46.75,46.267303
44.86,44.851463
46.75,46.496613
41.61,37.01535
46.75,45.5207
44.17,44.010994
38.44,38.29692
45.53,45.8051
41.61,37.055286
38.96,38.914337
46.75,46.20157
45.61,45.465538
45.53,45.047653
44.86,43.711643
44.86,43.736855
46.34,45.492714
46.34,45.62194
45.53,45.002953
46.34,44.82798
38.44,38.621006
38.96,39.801582
45.61,46.305866
45.61,44.61469
41.61,39.611465
31.8,34.76049
45.61,45.593204
45.61,47.006462
41.61,38.56268
38.44,37.047836
44.17,44.09247
31.8,29.519392
38.44,39.045868
41.61,38.568024
45.53,45.199677
46.75,46.392033
46.75,45.935158
44.17,43.210236
45.61,45.594658
46.75,48.36733
31.8,33.170364
44.17,43.727814
44.9,44.359947
45.53,45.020596
38.44,37.684875
45.53,44.850395
31.8,34.02633
46.34,45.820618
38.44,38.853947
41.61,39.86039
44.9,44.386627
46.34,44.59488
46.34,43.90519
44.9,44.38209
46.34,45.572178
45.53,44.824074
45.61,46.382626
31.8,33.401684
46.34,45.14955
41.61,36.681396
44.86,43.63734
41.61,38.045486
45.61,46.05532
38.96,40.20038
45.53,44.826107
44.9,44.44406
45.61,46.555397
41.61,38.331398
41.61,39.416325
45.61,46.26699
38.44,38.744644
44.17,43.435593
44.9,40.77893
31.8,31.93942
45.53,45.979156
44.17,43.41302
45.53,44.686523
44.86,43.978798
45.61,48.292503
