ytest,ypred
196.86,150.08034
256.95,268.20374
193.0,198.47656
365.95,377.86206
256.95,251.36122
228.4,231.08687
127.49,155.09859
167.66,194.83675
193.0,200.06824
227.69,239.37135
228.4,229.31523
167.66,184.05571
365.95,330.08386
228.4,210.03217
227.69,253.70543
227.69,237.83238
365.95,372.03156
196.86,158.20937
127.49,152.96722
164.25,172.29347
196.86,159.95892
227.69,204.41699
164.25,177.05795
221.53,195.51741
164.25,180.48326
167.66,164.87285
127.49,155.28651
164.25,174.47705
193.0,208.33406
258.88,280.37448
127.49,152.5584
196.86,151.96336
164.25,173.08302
193.0,212.62498
228.4,226.53984
256.95,264.8606
164.25,181.63364
167.66,160.7997
227.69,234.5759
221.53,195.1026
164.25,190.4355
193.0,190.65733
164.25,179.99548
193.0,201.8263
127.49,154.91364
365.95,384.84003
365.95,362.60193
221.53,199.42442
227.69,222.80962
167.66,177.1411
164.25,174.08391
365.95,373.64963
256.95,285.17606
227.69,254.53827
164.25,178.98668
365.95,344.06018
227.69,252.06534
258.88,280.67215
227.69,211.09865
228.4,215.57858
127.49,148.70358
221.53,202.40402
256.95,253.38368
196.86,158.62494
256.95,251.48494
258.88,280.48932
256.95,273.52258
256.95,248.32372
193.0,195.27553
256.95,261.88965
227.69,256.54428
365.95,334.74802
365.95,381.98016
258.88,267.3522
228.4,222.30408
256.95,291.3205
193.0,190.56737
164.25,172.94908
127.49,152.4237
127.49,152.97258
221.53,190.24301
164.25,173.16168
196.86,150.41858
365.95,359.8884
256.95,280.15872
228.4,225.81789
196.86,158.78256
193.0,217.33026
365.95,354.70795
256.95,251.37929
221.53,192.25636
256.95,276.21704
164.25,180.72813
228.4,228.67154
227.69,252.12794
193.0,198.05467
256.95,351.51013
167.66,188.53606
196.86,156.23178
221.53,190.02766
193.0,210.18718
228.4,221.0883
365.95,365.75214
221.53,185.20895
127.49,152.68027
256.95,363.55444
258.88,249.65147
228.4,230.43541
365.95,355.6085
365.95,377.73038
221.53,197.91469
256.95,281.81778
221.53,190.39412
127.49,154.28624
167.66,160.50009
256.95,260.57196
227.69,252.02383
258.88,265.8177
258.88,254.7387
167.66,192.90082
365.95,363.76782
164.25,183.86281
258.88,261.32257
196.86,148.61903
221.53,192.59575
196.86,155.67787
193.0,209.32732
221.53,196.25058
127.49,151.03282
193.0,197.64436
221.53,192.11098
196.86,155.7192
221.53,196.31099
196.86,160.06152
227.69,241.003
258.88,269.24725
164.25,181.17867
221.53,199.3793
227.69,245.304
167.66,160.28117
193.0,197.34543
221.53,201.66469
258.88,282.1784
365.95,330.85178
365.95,357.62692
227.69,237.80049
256.95,322.35135
228.4,211.30392
127.49,153.91666
127.49,150.76
196.86,157.44826
227.69,249.47627
167.66,187.283
193.0,209.57878
164.25,177.61804
164.25,174.2754
221.53,194.47688
258.88,256.7211
256.95,284.05493
258.88,264.25342
227.69,242.76083
256.95,288.03934
221.53,186.5829
164.25,170.17259
258.88,278.27936
227.69,236.64946
227.69,250.50565
167.66,175.23514
193.0,197.4957
164.25,175.56195
221.53,191.72913
227.69,216.68047
164.25,185.39177
227.69,248.42662
196.86,159.2339
227.69,238.50731
365.95,369.1045
193.0,203.02692
258.88,276.54715
196.86,155.69397
228.4,219.78157
227.69,251.43103
167.66,171.23769
258.88,281.9112
164.25,171.11226
164.25,172.926
221.53,198.89876
221.53,200.38197
258.88,292.29315
221.53,193.79623
193.0,203.74156
228.4,231.37169
167.66,191.46999
167.66,157.79237
196.86,160.75957
127.49,152.80669
167.66,173.80836
167.66,191.79234
196.86,157.84981
193.0,194.53358
365.95,378.92917
127.49,151.6951
193.0,210.70969
196.86,155.3994
258.88,264.788
227.69,239.87779
227.69,221.7557
365.95,376.43527
167.66,168.55981
227.69,237.63531
127.49,149.5667
365.95,369.2373
256.95,254.29485
258.88,267.30225
193.0,192.6251
258.88,254.46068
127.49,154.11543
221.53,193.72423
193.0,204.06505
196.86,158.02635
256.95,265.66788
221.53,192.15596
221.53,197.91641
256.95,263.5813
221.53,193.27568
258.88,267.1514
167.66,173.83977
127.49,149.21843
221.53,191.71939
196.86,158.52394
164.25,182.5435
196.86,157.36101
167.66,190.01216
228.4,230.7484
258.88,264.6419
256.95,256.82422
167.66,204.11888
196.86,157.88892
196.86,155.22447
167.66,184.63919
193.0,210.14952
365.95,379.9294
256.95,311.3991
127.49,149.44406
258.88,280.64682
365.95,351.0971
258.88,262.89722
164.25,177.51292
167.66,174.04102
