ytest,ypred
45.7,40.08922
67.0,69.64206
62.0,64.23254
72.0,73.16701
67.0,69.31609
68.0,67.92063
32.4,36.76173
44.0,52.932213
62.0,64.16886
70.0,70.48857
68.0,67.80309
44.0,46.82553
72.0,70.86854
68.0,66.68006
70.0,71.55188
70.0,69.24448
72.0,72.69081
45.7,44.95202
32.4,40.759193
58.0,59.229633
45.7,45.240326
70.0,69.43662
58.0,60.20877
65.0,65.424614
58.0,60.92058
44.0,45.024094
32.4,39.93357
58.0,60.625168
62.0,65.76027
71.0,72.43777
32.4,41.94863
45.7,37.71433
58.0,61.49284
62.0,65.157394
68.0,67.91814
67.0,69.74664
58.0,54.681213
44.0,45.756004
70.0,70.56282
65.0,65.48377
58.0,64.156685
62.0,62.27733
58.0,61.95907
62.0,63.37529
32.4,39.334282
72.0,73.34924
72.0,72.69574
65.0,66.267365
70.0,70.17911
44.0,47.007935
58.0,49.102024
72.0,72.96256
67.0,70.80736
70.0,73.64879
58.0,60.7713
72.0,71.49602
70.0,71.22047
71.0,72.29031
70.0,68.50823
68.0,67.38228
32.4,35.882004
65.0,65.91821
67.0,68.688354
45.7,45.263145
67.0,69.0585
71.0,73.14891
67.0,70.13776
67.0,68.70743
62.0,63.249367
67.0,68.971664
70.0,71.663475
72.0,71.561165
72.0,73.35509
71.0,72.24129
68.0,67.52242
67.0,70.14446
62.0,64.08516
58.0,60.504158
32.4,34.677353
32.4,39.14963
65.0,65.83732
58.0,60.1485
45.7,40.38498
72.0,72.6367
67.0,69.52811
68.0,67.60443
45.7,44.0132
62.0,66.98441
72.0,71.976395
67.0,69.18053
65.0,65.445045
67.0,70.1265
58.0,61.302483
68.0,67.80536
70.0,70.86871
62.0,64.17978
67.0,72.48854
44.0,47.403008
45.7,43.907135
65.0,65.48448
62.0,66.239685
68.0,67.77711
72.0,72.37402
65.0,63.901745
32.4,39.59189
67.0,72.4245
71.0,69.4653
68.0,68.32705
72.0,72.366554
72.0,73.29295
65.0,65.99289
67.0,69.50771
65.0,60.7725
32.4,40.408157
44.0,45.67089
67.0,69.92665
70.0,71.65349
71.0,71.17178
71.0,70.77426
44.0,54.608097
72.0,72.21005
58.0,63.39947
71.0,70.66206
45.7,40.796974
65.0,64.73584
45.7,43.432922
62.0,65.050026
65.0,65.195786
32.4,36.92781
62.0,64.83683
65.0,63.731792
45.7,41.962505
65.0,65.05733
45.7,45.259323
70.0,69.90385
71.0,71.43675
58.0,56.631187
65.0,65.770676
70.0,71.085075
44.0,43.221497
62.0,63.64349
65.0,66.802895
71.0,70.90054
72.0,71.40986
72.0,72.0002
70.0,69.680664
67.0,71.456345
68.0,66.78607
32.4,36.263706
32.4,33.34285
45.7,43.14841
70.0,71.472916
44.0,45.918655
62.0,65.73037
58.0,62.482704
58.0,61.657883
65.0,64.524086
71.0,70.101715
67.0,70.02283
71.0,72.2959
70.0,71.27138
67.0,70.53654
65.0,64.28456
58.0,59.80528
71.0,72.64664
70.0,70.346375
70.0,71.359375
44.0,48.170914
62.0,62.79992
58.0,60.809822
65.0,65.46345
70.0,69.23561
58.0,63.827827
70.0,70.57301
45.7,44.977673
70.0,69.14605
72.0,72.94632
62.0,63.214867
71.0,71.13907
45.7,44.69043
68.0,67.52564
70.0,69.91574
44.0,46.275967
71.0,72.13132
58.0,62.311867
58.0,62.079113
65.0,63.99374
65.0,66.35872
71.0,70.2339
65.0,65.454185
62.0,64.51177
68.0,68.51893
44.0,45.98708
44.0,44.51767
45.7,44.384792
32.4,36.428303
44.0,50.27864
44.0,46.619934
45.7,46.078186
62.0,63.41703
72.0,73.666626
32.4,33.9662
62.0,65.19322
45.7,44.902794
71.0,71.50231
70.0,70.07544
70.0,69.78689
72.0,73.180984
44.0,45.868687
70.0,71.13591
32.4,34.59755
72.0,73.263405
67.0,69.32512
71.0,71.010086
62.0,62.872265
71.0,70.47055
32.4,38.803352
65.0,64.58609
62.0,64.628174
45.7,45.305603
67.0,69.046616
65.0,63.836266
65.0,63.810585
67.0,68.971
65.0,64.70695
71.0,71.227554
44.0,47.290325
32.4,37.145245
65.0,65.45076
45.7,44.897617
58.0,62.080605
45.7,46.456554
44.0,45.44835
68.0,67.91283
71.0,70.20793
67.0,69.07916
44.0,45.96675
45.7,45.30661
45.7,43.24607
44.0,47.395557
62.0,66.473366
72.0,73.79152
67.0,70.0673
32.4,35.98107
71.0,71.8766
72.0,72.297775
71.0,70.94681
58.0,61.269226
44.0,48.267876
