ytest,ypred
110.9,110.81083
118.1,117.096725
115.7,113.903435
119.5,117.013985
118.1,117.07276
120.2,118.27868
113.4,112.24024
109.6,110.73602
115.7,114.33051
122.8,120.65816
120.2,117.63401
109.6,110.405716
119.5,117.550026
120.2,118.2883
122.8,122.78809
122.8,121.08253
119.5,116.87519
110.9,109.61435
113.4,111.09918
111.5,110.30739
110.9,109.0898
122.8,120.552925
111.5,112.00245
117.2,112.412636
111.5,110.552895
109.6,108.1287
113.4,110.79279
111.5,111.247154
115.7,114.527855
124.7,122.18516
113.4,111.014175
110.9,110.89395
111.5,110.32696
115.7,115.4782
120.2,117.92803
118.1,118.185616
111.5,109.71995
109.6,108.67242
122.8,121.31533
117.2,112.19233
111.5,111.22605
115.7,113.1038
111.5,111.49521
115.7,115.65598
113.4,111.24492
119.5,117.5475
119.5,116.8244
117.2,112.88249
122.8,121.3961
109.6,108.5351
111.5,111.05207
119.5,117.00457
118.1,116.760666
122.8,123.46117
111.5,111.60699
119.5,118.20019
122.8,120.942955
124.7,122.82711
122.8,119.46497
120.2,117.701866
113.4,111.24592
117.2,112.492455
118.1,117.71769
110.9,109.70502
118.1,118.35781
124.7,124.08817
118.1,118.75877
118.1,117.27895
115.7,115.026146
118.1,117.357155
122.8,121.92481
119.5,117.26116
119.5,117.42222
124.7,122.00446
120.2,117.55857
118.1,118.14219
115.7,113.705956
111.5,110.646996
113.4,111.955086
113.4,111.100395
117.2,112.06869
111.5,110.54804
110.9,110.143745
119.5,117.21869
118.1,117.67266
120.2,117.949394
110.9,110.5004
115.7,115.53082
119.5,118.30262
118.1,117.95658
117.2,111.49447
118.1,117.17521
111.5,110.5812
120.2,117.833
122.8,120.65038
115.7,114.72959
118.1,116.887474
109.6,108.72703
110.9,110.05666
117.2,111.436226
115.7,114.76664
120.2,117.79627
119.5,116.95266
117.2,112.505135
113.4,111.3036
118.1,117.37156
124.7,122.515884
120.2,117.86426
119.5,117.33308
119.5,117.11817
117.2,111.72647
118.1,117.414894
117.2,111.71959
113.4,110.61225
109.6,106.90211
118.1,118.29682
122.8,121.75596
124.7,123.28663
124.7,121.17903
109.6,110.32425
119.5,117.21595
111.5,110.930046
124.7,120.67885
110.9,110.64171
117.2,111.89432
110.9,110.563675
115.7,115.90159
117.2,112.93943
113.4,111.25157
115.7,115.06493
117.2,111.80041
110.9,110.56444
117.2,112.04566
110.9,108.80389
122.8,120.709076
124.7,123.30704
111.5,110.866844
117.2,111.79182
122.8,121.393074
109.6,109.45986
115.7,113.20397
117.2,113.47336
124.7,123.310295
119.5,117.19831
119.5,116.80514
122.8,120.77976
118.1,117.511635
120.2,117.03765
113.4,112.25468
113.4,111.95788
110.9,110.550156
122.8,121.34981
109.6,109.50173
115.7,114.63933
111.5,111.22641
111.5,110.76267
117.2,111.48317
124.7,121.4273
118.1,117.12291
124.7,124.23049
122.8,122.732834
118.1,117.094124
117.2,112.690926
111.5,110.67034
124.7,122.19741
122.8,120.258736
122.8,121.36172
109.6,108.53269
115.7,114.84367
111.5,111.08771
117.2,112.93855
122.8,121.11785
111.5,111.02541
122.8,119.83068
110.9,110.13348
122.8,122.18136
119.5,116.594536
115.7,115.125244
124.7,122.38509
110.9,110.20313
120.2,117.79656
122.8,120.361305
109.6,109.041985
124.7,122.27715
111.5,109.600716
111.5,110.56411
117.2,113.059814
117.2,112.45004
124.7,120.04861
117.2,112.67905
115.7,114.16184
120.2,118.360466
109.6,109.802025
109.6,107.857506
110.9,109.86462
113.4,111.75115
109.6,107.41661
109.6,110.53813
110.9,109.689674
115.7,115.50733
119.5,117.11994
113.4,111.89103
115.7,115.34298
110.9,109.84869
124.7,122.750496
122.8,120.56427
122.8,120.03965
119.5,117.2745
109.6,108.80868
122.8,122.36415
113.4,111.64494
119.5,116.81324
118.1,117.55815
124.7,121.99148
115.7,114.46074
124.7,120.64058
113.4,110.85114
117.2,110.66838
115.7,113.52555
110.9,109.28686
118.1,117.69819
117.2,111.6536
117.2,112.425545
118.1,117.61257
117.2,112.83102
124.7,123.69242
109.6,108.68702
113.4,110.937836
117.2,112.82598
110.9,109.72524
111.5,110.94875
110.9,109.51072
109.6,110.47775
120.2,117.8038
124.7,122.513885
118.1,117.79616
109.6,111.61408
110.9,110.2721
110.9,109.67408
109.6,108.98668
115.7,114.722435
119.5,117.01908
118.1,117.15967
113.4,111.422134
124.7,122.6988
119.5,117.56867
124.7,121.9801
111.5,110.94669
109.6,107.92981
