ytest,ypred
11.68,17.09524
2.06,1.9008309
2.08,1.9379545
1.87,2.0099902
2.06,1.844462
1.25,1.6521622
18.47,15.832571
14.49,8.922444
2.08,2.0055513
1.16,1.304072
1.25,1.656716
14.49,16.008804
1.87,1.7926446
1.25,1.716098
1.16,1.4439646
1.16,1.453139
1.87,1.9937192
11.68,15.790175
18.47,17.15355
2.97,3.839305
11.68,14.396031
1.16,0.6928526
2.97,2.0460703
2.09,2.1138306
2.97,2.3466706
14.49,15.229016
18.47,15.11588
2.97,2.47952
2.08,2.1294913
1.14,1.7645131
18.47,14.211923
11.68,16.863317
2.97,2.3762746
2.08,1.9327637
1.25,1.6807033
2.06,1.8723413
2.97,5.991178
14.49,15.578399
1.16,1.2871767
2.09,1.7651044
2.97,2.3870199
2.08,2.1357965
2.97,2.2102299
2.08,1.8264233
18.47,16.49606
1.87,1.9490734
1.87,1.9973923
2.09,1.6223398
1.16,0.91737616
14.49,15.669728
2.97,7.1121917
1.87,1.9566895
2.06,1.9168087
1.16,1.2043587
2.97,2.5377374
1.87,1.9050857
1.16,1.4186541
1.14,1.3964587
1.16,0.74630415
1.25,1.4696566
18.47,16.725868
2.09,1.986635
2.06,1.8796397
11.68,15.123287
2.06,1.8855401
1.14,1.6037875
2.06,1.8922774
2.06,1.9553162
2.08,1.7187687
2.06,1.9101092
1.16,1.1648546
1.87,1.9351989
1.87,1.9859844
1.14,1.4239074
1.25,1.6534339
2.06,1.9553014
2.08,2.162157
2.97,2.2437167
18.47,17.269745
18.47,14.412427
2.09,2.4582062
2.97,2.3886073
11.68,16.152111
1.87,2.0096078
2.06,1.8865391
1.25,1.6779543
11.68,14.5556135
2.08,2.1909304
1.87,2.0289521
2.06,1.8264505
2.09,1.9167136
2.06,1.9718238
2.97,2.605452
1.25,1.6341053
1.16,1.3565928
2.08,2.0866241
2.06,2.0442367
14.49,15.439961
11.68,15.161929
2.09,3.0352378
2.08,2.2671628
1.25,1.4346348
1.87,2.0573153
2.09,2.0687377
18.47,15.9281435
2.06,1.9612919
1.14,1.5452443
1.25,1.6014415
1.87,2.0836086
1.87,1.9816796
2.09,2.2153678
2.06,1.9723421
2.09,4.1941247
18.47,17.070572
14.49,17.538027
2.06,1.742498
1.16,1.3549763
1.14,1.4176441
1.14,1.4333411
14.49,6.7412305
1.87,2.0704427
2.97,2.2143583
1.14,1.408909
11.68,16.548096
2.09,2.3038201
11.68,15.229951
2.08,2.073626
2.09,2.0928078
18.47,15.556327
2.08,1.7957858
2.09,3.0935664
11.68,15.385549
2.09,1.8803449
11.68,14.235073
1.16,1.1082903
1.14,1.380602
2.97,3.9058714
2.09,1.810155
1.16,1.0768477
14.49,15.60881
2.08,2.2839527
2.09,1.3030754
1.14,1.6022168
1.87,1.9842745
1.87,1.9646422
1.16,1.3585526
2.06,2.007999
1.25,1.6933566
18.47,16.705843
18.47,16.94645
11.68,15.310665
1.16,1.1043841
14.49,12.175563
2.08,2.1775703
2.97,2.1138334
2.97,2.2306938
2.09,2.159332
1.14,1.7374693
2.06,1.9762546
1.14,1.7585841
1.16,1.3998953
2.06,1.9664665
2.09,1.8001695
2.97,2.9938931
1.14,1.5128585
1.16,1.3203341
1.16,1.2253033
14.49,15.744508
2.08,2.252911
2.97,2.4925027
2.09,2.0308306
1.16,1.1356207
2.97,2.5354013
1.16,1.3300711
11.68,16.06807
1.16,1.2305285
1.87,2.012735
2.08,1.8968822
1.14,1.8943173
11.68,15.66179
1.25,1.6762358
1.16,1.634605
14.49,15.579513
1.14,1.322991
2.97,1.9465352
2.97,1.7407326
2.09,2.1894462
2.09,1.8039762
1.14,1.6922699
2.09,1.8060986
2.08,2.109725
1.25,1.6183349
14.49,13.618353
14.49,16.070457
11.68,14.754442
18.47,14.771741
14.49,15.493792
14.49,13.428205
11.68,15.222325
2.08,1.7577306
1.87,2.0474339
18.47,18.686281
2.08,1.9032139
11.68,14.52402
1.14,1.6919347
1.16,1.2898651
1.16,1.1715676
1.87,2.0394964
14.49,14.703431
1.16,1.1376005
18.47,16.320038
1.87,2.052618
2.06,2.0110946
1.14,1.5821768
2.08,2.069459
1.14,1.7478777
18.47,17.098011
2.09,1.8240759
2.08,2.0366597
11.68,14.195607
2.06,1.893509
2.09,2.0617151
2.09,2.0330255
2.06,2.0022063
2.09,1.9840609
1.14,1.6991678
14.49,14.628726
18.47,16.520042
2.09,1.7732983
11.68,17.256248
2.97,2.4789128
11.68,16.2888
14.49,12.421233
1.25,1.5181643
1.14,1.5758063
2.06,1.9224912
14.49,13.36452
11.68,15.079007
11.68,13.89783
14.49,8.486675
2.08,2.021563
1.87,1.9201962
2.06,2.037963
18.47,17.085903
1.14,1.8049656
1.87,2.057351
1.14,1.660205
2.97,2.8133187
14.49,16.554136
