ytest,ypred
2.64,2.6000242
3.45,3.2927523
2.86,3.0088105
4.32,3.9681892
3.45,3.449037
3.81,3.552565
2.74,2.5345216
3.67,3.61334
2.86,2.8682532
2.53,2.7570786
3.81,3.634697
3.67,3.4841204
4.32,4.034295
3.81,3.4739509
2.53,2.664749
2.53,3.08464
4.32,4.0934644
2.64,2.61968
2.74,2.6215537
3.87,3.3664145
2.64,2.5872931
2.53,2.653906
3.87,3.5470757
3.28,3.542789
3.87,3.6407237
3.67,3.6856208
2.74,2.546163
3.87,3.6545515
2.86,2.9713292
3.06,2.9285686
2.74,2.6563406
2.64,2.6480842
3.87,3.6179566
2.86,2.9602528
3.81,3.634697
3.45,3.2116857
3.87,3.588655
3.67,3.185048
2.53,3.570858
3.28,3.618795
3.87,3.7569752
2.86,2.8349714
3.87,3.6854897
2.86,3.0197754
2.74,2.624972
4.32,4.042358
4.32,4.1256437
3.28,3.4765458
2.53,2.9265385
3.67,3.562419
3.87,3.5549798
4.32,4.1428323
3.45,3.4228363
2.53,2.7397537
3.87,3.6553607
4.32,3.4349189
2.53,3.603428
3.06,3.1566472
2.53,2.5289707
3.81,3.601069
2.74,2.6512122
3.28,3.5080738
3.45,3.2723622
2.64,2.5936694
3.45,3.4939995
3.06,3.0783648
3.45,3.4389267
3.45,3.634697
2.86,2.7430792
3.45,3.634667
2.53,3.1862307
4.32,3.4774256
4.32,4.076551
3.06,3.006443
3.81,3.634697
3.45,3.3807678
2.86,3.1564713
3.87,3.2759342
2.74,2.6756225
2.74,2.5466385
3.28,3.5483356
3.87,3.5303493
2.64,2.6988146
4.32,3.7193103
3.45,3.4920607
3.81,3.580165
2.64,2.5534286
2.86,3.3868628
4.32,3.600563
3.45,3.5851798
3.28,3.6252103
3.45,3.544056
3.87,3.7563238
3.81,3.6198225
2.53,2.5543964
2.86,2.727997
3.45,3.6395059
3.67,3.4473877
2.64,2.5736394
3.28,3.5795412
2.86,2.881597
3.81,3.4437227
4.32,4.2332644
3.28,3.356104
2.74,2.6527839
3.45,3.4958715
3.06,3.1530252
3.81,3.634697
4.32,4.3324137
4.32,4.0327225
3.28,3.5748487
3.45,3.4039412
3.28,3.648353
2.74,2.6001306
3.67,3.4884238
3.45,3.0756946
2.53,2.6125855
3.06,2.7899756
3.06,3.1413631
3.67,3.6876035
4.32,4.221866
3.87,3.586422
3.06,3.1093721
2.64,2.6402068
3.28,3.468361
2.64,2.5389166
2.86,2.9621148
3.28,3.5034366
2.74,2.587895
2.86,2.7617965
3.28,3.60576
2.64,2.6209517
3.28,3.5554209
2.64,2.585617
2.53,3.4522758
3.06,3.0492845
3.87,3.7330384
3.28,3.4337797
2.53,2.9395313
3.67,3.2780347
2.86,2.8211622
3.28,3.2846808
3.06,2.978466
4.32,3.5787234
4.32,3.750959
2.53,2.965456
3.45,3.5620718
3.81,3.634697
2.74,2.5707326
2.74,2.6039581
2.64,2.573689
2.53,2.6650753
3.67,3.5341587
2.86,2.883844
3.87,3.6808434
3.87,3.6616964
3.28,3.708743
3.06,2.779521
3.45,3.3035579
3.06,2.9653902
2.53,3.100473
3.45,3.2678423
3.28,3.454248
3.87,3.637218
3.06,3.0531156
2.53,3.0803533
2.53,2.8723588
3.67,3.1257887
2.86,3.180172
3.87,3.682311
3.28,3.3908963
2.53,2.7665935
3.87,3.7528424
2.53,3.2617912
2.64,2.5568948
2.53,2.5657773
4.32,4.3490787
2.86,2.9782214
3.06,2.9940994
2.64,2.6023507
3.81,3.5966778
2.53,2.6845226
3.67,3.5033684
3.06,3.1566296
3.87,3.7155752
3.87,3.6300392
3.28,3.3292422
3.28,3.451017
3.06,3.1338634
3.28,3.470346
2.86,2.9055712
3.81,3.634697
3.67,3.7320852
3.67,3.4435353
2.64,2.622119
2.74,2.6013334
3.67,3.0758753
3.67,3.6758184
2.64,2.5530393
2.86,3.26655
4.32,4.1762757
2.74,2.6707768
2.86,3.0766265
2.64,2.5423827
3.06,2.815837
2.53,3.4646964
2.53,3.0709727
4.32,3.9786606
3.67,3.2426605
2.53,3.046914
2.74,2.5986733
4.32,3.7989998
3.45,3.6160998
3.06,3.0224648
2.86,2.8297534
3.06,3.0546956
2.74,2.622357
3.28,3.5767908
2.86,2.8002625
2.64,2.5615125
3.45,3.6315527
3.28,3.5439157
3.28,3.0544605
3.45,3.2939115
3.28,3.3861694
3.06,2.600554
3.67,3.46308
2.74,2.6312432
3.28,3.468233
2.64,2.6442003
3.87,3.6725035
2.64,2.6061888
3.67,3.6297278
3.81,3.6072454
3.06,3.042108
3.45,3.634697
3.67,3.669835
2.64,2.620908
2.64,2.504068
3.67,3.6756396
2.86,2.9622984
4.32,3.9958463
3.45,3.2813234
2.74,2.6363168
3.06,2.925788
4.32,4.080078
3.06,2.8564239
3.87,3.7221918
3.67,3.5047212
