ytest,ypred
32.55,32.345375
72.11,68.88066
53.58,56.486732
53.87,63.799843
72.11,68.13774
85.21,87.126465
29.81,31.780403
31.54,42.48119
53.58,54.48372
55.01,55.823994
85.21,90.360634
31.54,33.94723
53.87,66.93834
85.21,87.897224
55.01,58.122074
55.01,56.804222
53.87,64.46277
32.55,32.743484
29.81,32.448254
47.03,47.186943
32.55,31.987537
55.01,55.22493
47.03,52.110535
58.62,56.24894
47.03,50.956543
31.54,34.132774
29.81,31.990784
47.03,53.010788
53.58,56.104958
77.85,76.0961
29.81,31.941854
32.55,32.239677
47.03,50.233208
53.58,57.322247
85.21,87.855225
72.11,74.26117
47.03,43.424484
31.54,34.642963
55.01,53.87428
58.62,57.346397
47.03,53.86721
53.58,56.97885
47.03,52.40462
53.58,58.328712
29.81,32.030888
53.87,63.58512
53.87,63.660507
58.62,56.998077
55.01,51.704857
31.54,34.49282
47.03,40.007545
53.87,63.50863
72.11,68.02493
55.01,61.136703
47.03,52.104485
53.87,67.73892
55.01,58.35442
77.85,77.37239
55.01,55.57848
85.21,75.52823
29.81,31.982378
58.62,57.828224
72.11,72.467285
32.55,32.099205
72.11,75.3539
77.85,78.40661
72.11,73.08195
72.11,73.35785
53.58,56.663544
72.11,71.327385
55.01,57.1519
53.87,68.45624
53.87,63.99878
77.85,76.51143
85.21,88.95748
72.11,70.16582
53.58,55.15005
47.03,47.9377
29.81,31.288216
29.81,31.467417
58.62,55.81069
47.03,50.75099
32.55,32.18022
53.87,65.34504
72.11,70.78461
85.21,84.68802
32.55,31.921509
53.58,55.383324
53.87,66.42664
72.11,75.18213
58.62,56.265144
72.11,69.22407
47.03,54.10945
85.21,85.15775
55.01,53.60766
53.58,55.076435
72.11,66.66128
31.54,33.456387
32.55,32.78138
58.62,55.592285
53.58,55.17688
85.21,82.61426
53.87,60.63687
58.62,56.972023
29.81,32.572765
72.11,66.52174
77.85,81.78606
85.21,91.96696
53.87,61.0326
53.87,64.076
58.62,56.405132
72.11,71.30354
58.62,49.33638
29.81,32.634518
31.54,34.360233
72.11,75.87953
55.01,58.49756
77.85,85.80721
77.85,72.98445
31.54,45.49086
53.87,61.51069
47.03,55.088593
77.85,78.545006
32.55,32.929485
58.62,54.43325
32.55,31.775356
53.58,55.93499
58.62,56.503128
29.81,31.962965
53.58,56.64745
58.62,52.83291
32.55,32.173443
58.62,56.50534
32.55,32.311455
55.01,54.495384
77.85,78.787796
47.03,48.313232
58.62,58.308624
55.01,57.291195
31.54,33.30989
53.58,56.553513
58.62,58.92054
77.85,78.89775
53.87,67.59091
53.87,65.87884
55.01,55.127125
72.11,68.10513
85.21,88.28992
29.81,32.278923
29.81,31.744673
32.55,32.10266
55.01,57.542175
31.54,32.97989
53.58,55.830612
47.03,51.1042
47.03,53.005234
58.62,56.041016
77.85,79.05781
72.11,69.20657
77.85,80.179596
55.01,58.475025
72.11,69.06822
58.62,56.403187
47.03,52.250214
77.85,78.024414
55.01,57.433884
55.01,56.946312
31.54,34.311295
53.58,60.78828
47.03,52.13569
58.62,57.722435
55.01,56.320488
47.03,54.11895
55.01,54.608257
32.55,32.296024
55.01,54.16904
53.87,60.27467
53.58,57.13269
77.85,76.843124
32.55,32.43575
85.21,85.612076
55.01,54.01481
31.54,34.345222
77.85,74.13816
47.03,52.87305
47.03,51.604286
58.62,55.512238
58.62,57.726845
77.85,70.83865
58.62,57.139572
53.58,55.250977
85.21,91.153534
31.54,34.746727
31.54,32.2044
32.55,32.242455
29.81,31.279242
31.54,34.2592
31.54,33.012466
32.55,32.546574
53.58,60.937084
53.87,62.237373
29.81,32.03236
53.58,55.672462
32.55,32.40107
77.85,81.45326
55.01,54.84337
55.01,55.72898
53.87,62.989212
31.54,34.239037
55.01,58.022507
29.81,31.074224
53.87,64.27914
72.11,75.27266
77.85,76.73302
53.58,56.64305
77.85,73.01537
29.81,32.0879
58.62,56.99926
53.58,55.174545
32.55,32.05114
72.11,71.08595
58.62,56.612267
58.62,56.678375
72.11,71.01227
58.62,56.72567
77.85,79.245056
31.54,34.487473
29.81,31.853626
58.62,57.738876
32.55,32.610622
47.03,52.917698
32.55,32.87962
31.54,33.127678
85.21,83.62067
77.85,80.83408
72.11,72.766205
31.54,32.400295
32.55,32.872097
32.55,31.624264
31.54,40.29374
53.58,55.70935
53.87,63.79941
72.11,66.05558
29.81,32.209885
77.85,78.73997
53.87,62.010437
77.85,76.372505
47.03,54.206966
31.54,34.59431
