ytest,ypred
4.72,3.7301617
12.67,9.585461
6.65,6.7850885
5.76,5.9276066
12.67,9.372078
6.84,6.9934673
3.11,3.7023692
4.56,5.0882835
6.65,6.4372344
7.45,7.975363
6.84,6.8007545
4.56,4.7711267
5.76,6.7168574
6.84,6.1568184
7.45,8.005184
7.45,7.8430943
5.76,5.9845915
4.72,4.6114225
3.11,3.159009
4.96,4.888299
4.72,4.6171536
7.45,7.8992033
4.96,6.531116
10.68,10.791072
4.96,5.078582
4.56,5.9745636
3.11,3.9329672
4.96,5.8009634
6.65,6.3618965
7.74,8.079221
3.11,3.6352487
4.72,3.47689
4.96,4.9332366
6.65,6.8700275
6.84,6.800312
12.67,11.456698
4.96,4.941069
4.56,4.7556543
7.45,7.4306517
10.68,9.519734
4.96,5.3605833
6.65,7.119177
4.96,4.9120903
6.65,6.9088926
3.11,3.6906366
5.76,6.23793
5.76,5.8499966
10.68,10.012815
7.45,7.6884747
4.56,4.853066
4.96,4.9408813
5.76,6.022876
12.67,8.558193
7.45,8.063487
4.96,5.107434
5.76,6.685218
7.45,7.794201
7.74,7.70426
7.45,8.596003
6.84,6.5035563
3.11,3.434547
10.68,10.783951
12.67,11.284204
4.72,4.105894
12.67,11.012257
7.74,7.915415
12.67,9.679112
12.67,12.561042
6.65,7.4449925
12.67,11.8329
7.45,7.7917705
5.76,6.6816688
5.76,6.2233844
7.74,8.168394
6.84,6.6470976
12.67,8.170528
6.65,6.7409062
4.96,4.8523026
3.11,3.317813
3.11,4.1981316
10.68,10.028182
4.96,4.8894134
4.72,4.152292
5.76,6.1530724
12.67,8.99589
6.84,6.788458
4.72,4.091087
6.65,6.0781307
5.76,6.4839587
12.67,11.278367
10.68,9.184564
12.67,8.918104
4.96,5.7449875
6.84,6.9161253
7.45,7.5212817
6.65,6.424284
12.67,6.290353
4.56,5.0338507
4.72,4.135252
10.68,7.0506268
6.65,6.879572
6.84,6.7543325
5.76,6.1312637
10.68,9.458147
3.11,3.2125435
12.67,6.207406
7.74,7.936675
6.84,6.869611
5.76,6.4150577
5.76,5.949895
10.68,9.204508
12.67,9.196832
10.68,5.6244187
3.11,3.6026883
4.56,4.8548446
12.67,10.103389
7.45,7.4780116
7.74,7.866088
7.74,8.355766
4.56,5.1564345
5.76,6.4455166
4.96,5.5358543
7.74,7.723915
4.72,3.8180676
10.68,9.017249
4.72,4.251439
6.65,6.4213924
10.68,9.465381
3.11,3.8342957
6.65,6.648139
10.68,7.9032145
4.72,3.931418
10.68,9.328898
4.72,4.751579
7.45,7.698415
7.74,7.770556
4.96,5.0630994
10.68,11.488368
7.45,7.842261
4.56,4.1628375
6.65,6.9907227
10.68,12.830928
7.74,7.8323708
5.76,6.32658
5.76,6.2407036
7.45,7.8241787
12.67,6.818035
6.84,6.351845
3.11,3.2994456
3.11,3.5214734
4.72,4.5032067
7.45,7.796379
4.56,5.0911407
6.65,6.5413337
4.96,4.803059
4.96,5.015105
10.68,9.32907
7.74,7.9128304
12.67,8.3478775
7.74,7.745328
7.45,7.775428
12.67,8.421339
10.68,9.5039215
4.96,5.028262
7.74,7.894196
7.45,7.797828
7.45,7.7558646
4.56,5.1058283
6.65,6.7652597
4.96,5.5292397
10.68,11.492948
7.45,8.246512
4.96,5.5110626
7.45,7.4908996
4.72,4.0429177
7.45,7.6554413
5.76,6.146615
6.65,6.528801
7.74,7.512809
4.72,4.1277294
6.84,6.695313
7.45,7.7450604
4.56,4.860457
7.74,8.291435
4.96,5.286978
4.96,5.046134
10.68,11.091921
10.68,11.089139
7.74,7.235097
10.68,11.14878
6.65,6.970148
6.84,6.7859836
4.56,4.892584
4.56,4.3908515
4.72,4.6121383
3.11,4.0266953
4.56,4.9054337
4.56,5.180974
4.72,4.293009
6.65,6.674932
5.76,6.3935647
3.11,3.1603065
6.65,6.242425
4.72,4.517874
7.74,7.4839163
7.45,7.4665284
7.45,7.359523
5.76,6.380893
4.56,5.0969605
7.45,8.143888
3.11,3.6665797
5.76,5.9583673
12.67,12.999156
7.74,8.755922
6.65,6.452566
7.74,8.410253
3.11,3.5375385
10.68,10.82703
6.65,6.7099524
4.72,4.568871
12.67,10.718243
10.68,10.105044
10.68,10.226155
12.67,10.6009
10.68,9.147162
7.74,7.4975996
4.56,4.824245
3.11,3.1553726
10.68,11.519978
4.72,3.9104714
4.96,5.13594
4.72,4.0677333
4.56,4.7337413
6.84,6.9600973
7.74,7.8430204
12.67,11.893444
4.56,5.740308
4.72,4.1762996
4.72,4.622592
4.56,4.785265
6.65,7.0962563
5.76,6.472205
12.67,7.807727
3.11,3.549745
7.74,8.030419
5.76,6.771217
7.74,7.750932
4.96,5.4387903
4.56,4.7230034
