ytest,ypred
55.67,53.536507
63.23,60.832844
60.21,59.276276
63.54,61.614105
63.23,60.426643
56.53,57.514236
53.31,53.58103
57.11,56.733986
60.21,59.051033
66.72,65.86973
56.53,56.78147
57.11,57.03113
63.54,62.594692
56.53,54.726456
66.72,67.70213
66.72,66.1333
63.54,61.61102
55.67,54.408302
53.31,53.73156
57.14,55.558365
55.67,54.118176
66.72,65.384384
57.14,56.30501
57.99,57.00753
57.14,56.887028
57.11,57.54965
53.31,53.47174
57.14,56.34401
60.21,59.32002
65.07,63.243988
53.31,54.12278
55.67,53.391373
57.14,55.617126
60.21,58.756393
56.53,56.03081
63.23,62.443844
57.14,56.192024
57.11,56.04483
66.72,64.6395
57.99,57.103786
57.14,56.805504
60.21,58.428818
57.14,56.173378
60.21,59.68573
53.31,53.580856
63.54,62.081787
63.54,61.793022
57.99,57.2613
66.72,64.03286
57.11,56.588593
57.14,57.258152
63.54,61.526516
63.23,61.090675
66.72,70.227356
57.14,56.49566
63.54,62.118423
66.72,67.50743
65.07,63.733757
66.72,64.760544
56.53,56.58234
53.31,53.43599
57.99,57.161842
63.23,61.62868
55.67,53.809593
63.23,61.319344
65.07,64.17069
63.23,63.030674
63.23,60.783978
60.21,59.592194
63.23,61.569103
66.72,66.45133
63.54,62.063007
63.54,62.08118
65.07,62.770687
56.53,56.02189
63.23,62.47306
60.21,58.643883
57.14,55.896675
53.31,53.423252
53.31,53.443974
57.99,57.633
57.14,55.737408
55.67,53.881298
63.54,61.593132
63.23,62.506466
56.53,56.88926
55.67,53.741455
60.21,59.133495
63.54,61.837563
63.23,60.974163
57.99,56.823483
63.23,61.171875
57.14,57.188427
56.53,57.156258
66.72,63.809464
60.21,58.32367
63.23,61.882545
57.11,56.73497
55.67,53.931435
57.99,57.024353
60.21,58.763214
56.53,56.988472
63.54,61.630898
57.99,57.28296
53.31,53.810783
63.23,62.283585
65.07,62.631264
56.53,57.629963
63.54,61.436775
63.54,61.90188
57.99,57.136105
63.23,62.00728
57.99,56.605385
53.31,53.496162
57.11,56.278664
63.23,62.67614
66.72,64.37176
65.07,64.33361
65.07,62.65954
57.11,57.095024
63.54,61.700806
57.14,56.896152
65.07,63.539536
55.67,53.685387
57.99,57.062347
55.67,53.632168
60.21,58.74346
57.99,56.813004
53.31,53.3678
60.21,58.984596
57.99,57.76231
55.67,53.636242
57.99,57.338673
55.67,54.30075
66.72,65.55479
65.07,63.261353
57.14,57.13899
57.99,57.09639
66.72,67.44411
57.11,55.43799
60.21,58.868275
57.99,57.97719
65.07,63.796993
63.54,62.14085
63.54,61.537113
66.72,66.66355
63.23,62.076473
56.53,54.296204
53.31,53.32628
53.31,53.066177
55.67,54.067467
66.72,67.872604
57.11,56.61643
60.21,58.631096
57.14,56.42871
57.14,56.74687
57.99,56.20211
65.07,63.00958
63.23,61.35716
65.07,63.185513
66.72,67.0004
63.23,61.510784
57.99,56.646507
57.14,56.543182
65.07,63.202873
66.72,66.58171
66.72,66.76291
57.11,56.079063
60.21,58.76475
57.14,56.784645
57.99,57.14823
66.72,63.910877
57.14,57.066814
66.72,64.11617
55.67,53.905342
66.72,63.05122
63.54,61.764652
60.21,58.923683
65.07,63.297153
55.67,53.8563
56.53,56.23478
66.72,64.2466
57.11,56.66816
65.07,63.317375
57.14,56.179386
57.14,56.09095
57.99,57.363773
57.99,57.14968
65.07,63.2298
57.99,57.878548
60.21,59.161198
56.53,57.111626
57.11,56.93959
57.11,56.18181
55.67,54.680325
53.31,53.594467
57.11,55.999775
57.11,57.16421
55.67,53.997738
60.21,59.724396
63.54,62.239937
53.31,53.074577
60.21,58.96074
55.67,53.913372
65.07,63.707336
66.72,64.48874
66.72,64.10771
63.54,61.97108
57.11,56.550564
66.72,67.33189
53.31,53.233955
63.54,61.522118
63.23,61.405605
65.07,63.73192
60.21,58.34796
65.07,62.93804
53.31,53.43145
57.99,57.387783
60.21,59.28866
55.67,53.81629
63.23,61.79226
57.99,56.917572
57.99,57.274574
63.23,61.429863
57.99,57.17194
65.07,63.67755
57.11,56.715107
53.31,53.897537
57.99,56.824215
55.67,53.911476
57.14,56.07467
55.67,53.9106
57.11,56.85766
56.53,57.98792
65.07,63.05305
63.23,61.387493
57.11,57.28837
55.67,53.864334
55.67,53.9058
57.11,57.04075
60.21,59.233864
63.54,62.3484
63.23,59.815933
53.31,53.17707
65.07,63.60738
63.54,61.856514
65.07,63.876823
57.14,56.773262
57.11,56.857628
